isco,nace,skills1,skills2
OC0,A-S,OC0_A-S,NA
OC0,B-S,OC0_B-S,NA
OC0,A,OC0_A,F08
OC0,B,OC0_B,F00
OC0,C,OC0_C,F07
OC0,D,OC0_D,F07
OC0,E,OC0_E,F07
OC0,F,OC0_F,F07
OC0,G,OC0_G,F00
OC0,H,OC0_H,F00
OC0,I,OC0_I,F10
OC0,J,OC0_J,F03
OC0,K,OC0_K,F05
OC0,L,OC0_L,F00
OC0,M,OC0_M,F06
OC0,N,OC0_N,F04
OC0,O,OC0_O,F04
OC0,P,OC0_P,F01
OC0,Q,OC0_Q,F09
OC0,R,OC0_R,F02
OC0,S,OC0_S,F10
OC1,A-S,OC1_A-S,F04
OC1,B-S,OC1_B-S,F04
OC1,A,OC1_A,F04
OC1,B,OC1_B,F04
OC1,C,OC1_C,F04
OC1,D,OC1_D,F04
OC1,E,OC1_E,F04
OC1,F,OC1_F,F04
OC1,G,OC1_G,F04
OC1,H,OC1_H,F04
OC1,I,OC1_I,F04
OC1,J,OC1_J,F04
OC1,K,OC1_K,F04
OC1,L,OC1_L,F04
OC1,M,OC1_M,F04
OC1,N,OC1_N,F04
OC1,O,OC1_O,F04
OC1,P,OC1_P,F04
OC1,Q,OC1_Q,F04
OC1,R,OC1_R,F04
OC1,S,OC1_S,F04
OC2,A-S,OC2_A-S,NA
OC2,B-S,OC2_B-S,NA
OC2,A,OC2_A,F08
OC2,B,OC2_B,F07
OC2,C,OC2_C,F07
OC2,D,OC2_D,F07
OC2,E,OC2_E,F07
OC2,F,OC2_F,F07
OC2,G,OC2_G,F07
OC2,H,OC2_H,F00
OC2,I,OC2_I,F10
OC2,J,OC2_J,F03
OC2,K,OC2_K,F05
OC2,L,OC2_L,F00
OC2,M,OC2_M,F06
OC2,N,OC2_N,F04
OC2,O,OC2_O,F04
OC2,P,OC2_P,F01
OC2,Q,OC2_Q,F09
OC2,R,OC2_R,F02
OC2,S,OC2_S,F10
OC3,A-S,OC3_A-S,NA
OC3,B-S,OC3_B-S,NA
OC3,A,OC3_A,F08
OC3,B,OC3_B,F00
OC3,C,OC3_C,F07
OC3,D,OC3_D,F07
OC3,E,OC3_E,F07
OC3,F,OC3_F,F07
OC3,G,OC3_G,F00
OC3,H,OC3_H,F00
OC3,I,OC3_I,F10
OC3,J,OC3_J,F03
OC3,K,OC3_K,F04
OC3,L,OC3_L,F00
OC3,M,OC3_M,F06
OC3,N,OC3_N,F06
OC3,O,OC3_O,F04
OC3,P,OC3_P,F01
OC3,Q,OC3_Q,F09
OC3,R,OC3_R,F02
OC3,S,OC3_S,F10
OC4,A-S,OC4_A-S,F00
OC4,B-S,OC4_B-S,F00
OC4,A,OC4_A,F00
OC4,B,OC4_B,F00
OC4,C,OC4_C,F00
OC4,D,OC4_D,F00
OC4,E,OC4_E,F00
OC4,F,OC4_F,F00
OC4,G,OC4_G,F00
OC4,H,OC4_H,F00
OC4,I,OC4_I,F00
OC4,J,OC4_J,F00
OC4,K,OC4_K,F00
OC4,L,OC4_L,F00
OC4,M,OC4_M,F00
OC4,N,OC4_N,F00
OC4,O,OC4_O,F00
OC4,P,OC4_P,F00
OC4,Q,OC4_Q,F00
OC4,R,OC4_R,F00
OC4,S,OC4_S,F00
OC5,A-S,OC5_A-S,F10
OC5,B-S,OC5_B-S,F10
OC5,A,OC5_A,F10
OC5,B,OC5_B,F10
OC5,C,OC5_C,F10
OC5,D,OC5_D,F10
OC5,E,OC5_E,F10
OC5,F,OC5_F,F10
OC5,G,OC5_G,F10
OC5,H,OC5_H,F10
OC5,I,OC5_I,F10
OC5,J,OC5_J,F10
OC5,K,OC5_K,F10
OC5,L,OC5_L,F10
OC5,M,OC5_M,F10
OC5,N,OC5_N,F10
OC5,O,OC5_O,F10
OC5,P,OC5_P,F10
OC5,Q,OC5_Q,F10
OC5,R,OC5_R,F10
OC5,S,OC5_S,F10
OC6,A-S,OC6_A-S,F08
OC6,B-S,OC6_B-S,F08
OC6,A,OC6_A,F08
OC6,B,OC6_B,F08
OC6,C,OC6_C,F08
OC6,D,OC6_D,F08
OC6,E,OC6_E,F08
OC6,F,OC6_F,F08
OC6,G,OC6_G,F08
OC6,H,OC6_H,F08
OC6,I,OC6_I,F08
OC6,J,OC6_J,F08
OC6,K,OC6_K,F08
OC6,L,OC6_L,F08
OC6,M,OC6_M,F08
OC6,N,OC6_N,F08
OC6,O,OC6_O,F08
OC6,P,OC6_P,F08
OC6,Q,OC6_Q,F08
OC6,R,OC6_R,F08
OC6,S,OC6_S,F08
OC7,A-S,OC7_A-S,F00
OC7,B-S,OC7_B-S,F00
OC7,A,OC7_A,F00
OC7,B,OC7_B,F00
OC7,C,OC7_C,F00
OC7,D,OC7_D,F00
OC7,E,OC7_E,F00
OC7,F,OC7_F,F00
OC7,G,OC7_G,F00
OC7,H,OC7_H,F00
OC7,I,OC7_I,F00
OC7,J,OC7_J,F00
OC7,K,OC7_K,F00
OC7,L,OC7_L,F00
OC7,M,OC7_M,F00
OC7,N,OC7_N,F00
OC7,O,OC7_O,F00
OC7,P,OC7_P,F00
OC7,Q,OC7_Q,F00
OC7,R,OC7_R,F00
OC7,S,OC7_S,F00
OC8,A-S,OC8_A-S,F00
OC8,B-S,OC8_B-S,F00
OC8,A,OC8_A,F00
OC8,B,OC8_B,F00
OC8,C,OC8_C,F00
OC8,D,OC8_D,F00
OC8,E,OC8_E,F00
OC8,F,OC8_F,F00
OC8,G,OC8_G,F00
OC8,H,OC8_H,F00
OC8,I,OC8_I,F00
OC8,J,OC8_J,F00
OC8,K,OC8_K,F00
OC8,L,OC8_L,F00
OC8,M,OC8_M,F00
OC8,N,OC8_N,F00
OC8,O,OC8_O,F00
OC8,P,OC8_P,F00
OC8,Q,OC8_Q,F00
OC8,R,OC8_R,F00
OC8,S,OC8_S,F00
OC9,A-S,OC9_A-S,F00
