unit,iscedf13,isced11,sex,geo\time	2015 	2014 	2013 
NR,F00,ED35,F,AT	0 	: 	: 
NR,F00,ED35,F,BE	3026 	: 	: 
NR,F00,ED35,F,BG	0 	: 	: 
NR,F00,ED35,F,CH	0 	: 	: 
NR,F00,ED35,F,CY	0 	: 	: 
NR,F00,ED35,F,CZ	0 	: 	: 
NR,F00,ED35,F,DE	0 	0 	0 
NR,F00,ED35,F,DK	0 	: 	: 
NR,F00,ED35,F,EE	0 	: 	: 
NR,F00,ED35,F,ES	0 	: 	: 
NR,F00,ED35,F,FI	0 	: 	: 
NR,F00,ED35,F,FR	0 	: 	: 
NR,F00,ED35,F,HR	: d	: 	: 
NR,F00,ED35,F,HU	0 	: 	: 
NR,F00,ED35,F,LI	0 	: 	: 
NR,F00,ED35,F,LT	0 	: 	: 
NR,F00,ED35,F,LU	0 	: 	: 
NR,F00,ED35,F,LV	0 	: 	: 
NR,F00,ED35,F,MK	0 	: 	: 
NR,F00,ED35,F,MT	0 	: 	: 
NR,F00,ED35,F,NL	0 	: 	: 
NR,F00,ED35,F,NO	3655 	: 	: 
NR,F00,ED35,F,PL	0 	: 	: 
NR,F00,ED35,F,PT	0 	: 	: 
NR,F00,ED35,F,RO	0 	: 	: 
NR,F00,ED35,F,SE	0 	: 	: 
NR,F00,ED35,F,SI	0 	: 	: 
NR,F00,ED35,F,SK	0 	: 	: 
NR,F00,ED35,F,UK	97673 	: 	: 
NR,F00,ED35,M,AT	0 	: 	: 
NR,F00,ED35,M,BE	2536 	: 	: 
NR,F00,ED35,M,BG	0 	: 	: 
NR,F00,ED35,M,CH	0 	: 	: 
NR,F00,ED35,M,CY	0 	: 	: 
NR,F00,ED35,M,CZ	0 	: 	: 
NR,F00,ED35,M,DE	0 	0 	0 
NR,F00,ED35,M,DK	0 	: 	: 
NR,F00,ED35,M,EE	0 	: 	: 
NR,F00,ED35,M,ES	0 	: 	: 
NR,F00,ED35,M,FI	0 	: 	: 
NR,F00,ED35,M,FR	0 	: 	: 
NR,F00,ED35,M,HR	: d	: 	: 
NR,F00,ED35,M,HU	0 	: 	: 
NR,F00,ED35,M,LI	0 	: 	: 
NR,F00,ED35,M,LT	0 	: 	: 
NR,F00,ED35,M,LU	0 	: 	: 
NR,F00,ED35,M,LV	0 	: 	: 
NR,F00,ED35,M,MK	0 	: 	: 
NR,F00,ED35,M,MT	0 	: 	: 
NR,F00,ED35,M,NL	0 	: 	: 
NR,F00,ED35,M,NO	3113 	: 	: 
NR,F00,ED35,M,PL	0 	: 	: 
NR,F00,ED35,M,PT	0 	: 	: 
NR,F00,ED35,M,RO	0 	: 	: 
NR,F00,ED35,M,SE	0 	: 	: 
NR,F00,ED35,M,SI	0 	: 	: 
NR,F00,ED35,M,SK	0 	: 	: 
NR,F00,ED35,M,UK	106825 	: 	: 
NR,F00,ED35,T,AT	0 	: 	: 
NR,F00,ED35,T,BE	5562 	: 	: 
NR,F00,ED35,T,BG	0 	: 	: 
NR,F00,ED35,T,CH	0 	: 	: 
NR,F00,ED35,T,CY	0 	: 	: 
NR,F00,ED35,T,CZ	0 	: 	: 
NR,F00,ED35,T,DE	0 	0 	0 
NR,F00,ED35,T,DK	0 	: 	: 
NR,F00,ED35,T,EE	0 	: 	: 
NR,F00,ED35,T,ES	0 	: 	: 
NR,F00,ED35,T,FI	0 	: 	: 
NR,F00,ED35,T,FR	0 	: 	: 
NR,F00,ED35,T,HU	0 	: 	: 
NR,F00,ED35,T,LI	0 	: 	: 
NR,F00,ED35,T,LT	0 	: 	: 
NR,F00,ED35,T,LU	0 	: 	: 
NR,F00,ED35,T,LV	0 	: 	: 
NR,F00,ED35,T,MK	0 	: 	: 
NR,F00,ED35,T,MT	0 	: 	: 
NR,F00,ED35,T,NL	0 	: 	: 
NR,F00,ED35,T,NO	6768 	: 	: 
NR,F00,ED35,T,PL	0 	: 	: 
NR,F00,ED35,T,PT	0 	: 	: 
NR,F00,ED35,T,RO	0 	: 	: 
NR,F00,ED35,T,SE	0 	: 	: 
NR,F00,ED35,T,SI	0 	: 	: 
NR,F00,ED35,T,SK	0 	: 	: 
