unit,isced11,geo\time	2014 	2013 	2012 
PC_GDP,ED0,AT	: 	0.56 	0.54 
PC_GDP,ED0,BG	: 	1.08 	0.89 
PC_GDP,ED0,CH	: 	0.19 	0.19 
PC_GDP,ED0,CY	: 	0.39 	0.38 
PC_GDP,ED0,CZ	: 	0.57 	0.54 
PC_GDP,ED0,DE	: 	0.67 	0.62 
PC_GDP,ED0,DK	: 	1.22 	1.25 
PC_GDP,ED0,EE	: 	0.36 	0.44 
PC_GDP,ED0,ES	0.62 	0.63 	0.65 
PC_GDP,ED0,EU28	: 	: d	: d
PC_GDP,ED0,FI	1.11 	1.17 	1.13 d
PC_GDP,ED0,FR	: 	0.72 	0.70 
PC_GDP,ED0,IE	: 	0.12 	: 
PC_GDP,ED0,IS	: 	1.53 	1.53 
PC_GDP,ED0,IT	: 	0.47 	0.46 
PC_GDP,ED0,JP	: 	0.11 	0.10 
PC_GDP,ED0,LT	0.63 	0.63 	0.63 
PC_GDP,ED0,LU	: 	0.55 	0.65 
PC_GDP,ED0,LV	: 	0.57 	0.55 
PC_GDP,ED0,MT	0.55 	0.46 	0.48 
PC_GDP,ED0,NL	0.37 	0.42 	0.41 
PC_GDP,ED0,NO	: 	1.46 	1.42 
PC_GDP,ED0,PL	: 	0.59 	0.56 
PC_GDP,ED0,PT	: 	0.43 	0.39 
PC_GDP,ED0,SE	: 	1.90 	1.85 
PC_GDP,ED0,SI	: 	0.98 	1.00 
PC_GDP,ED0,SK	: 	0.45 	0.42 
PC_GDP,ED0,UK	: 	0.36 	0.38 
PC_GDP,ED01,AT	: 	0.08 	0.07 
PC_GDP,ED01,BG	: 	: z	: z
PC_GDP,ED01,CH	: z	: z	: z
PC_GDP,ED01,CY	: 	: z	: z
PC_GDP,ED01,CZ	: 	: z	: z
PC_GDP,ED01,DE	: 	0.21 	0.18 
PC_GDP,ED01,DK	: 	: d	: 
PC_GDP,ED01,EE	: 	: d	0.00 
PC_GDP,ED01,ES	0.14 	0.14 	0.15 
PC_GDP,ED01,EU28	: 	: d	: d
PC_GDP,ED01,FI	0.34 	0.36 	0.35 d
PC_GDP,ED01,FR	: 	: z	: z
PC_GDP,ED01,IE	: 	: z	: 
PC_GDP,ED01,IS	: 	0.58 	0.60 
PC_GDP,ED01,IT	: 	: z	: z
PC_GDP,ED01,JP	: 	: z	: z
PC_GDP,ED01,LI	: 	: d	: 
PC_GDP,ED01,LT	0.12 	: d	: d
PC_GDP,ED01,LU	: 	: z	0.00 
PC_GDP,ED01,LV	: 	: z	: z
PC_GDP,ED01,MT	: z	: z	: z
PC_GDP,ED01,NL	: z	: z	: z
PC_GDP,ED01,NO	: 	0.72 	0.69 
PC_GDP,ED01,PL	: 	: z	: z
PC_GDP,ED01,PT	: 	: z	: z
PC_GDP,ED01,SE	: 	0.56 	0.56 
PC_GDP,ED01,SI	: 	0.36 	0.32 
PC_GDP,ED01,SK	: z	: z	: z
PC_GDP,ED01,UK	: 	0.03 	0.04 
PC_GDP,ED02,AT	: 	0.48 	0.47 
PC_GDP,ED02,BE	: 	0.72 	0.70 
PC_GDP,ED02,BG	: 	1.08 	0.89 
PC_GDP,ED02,CH	: 	0.19 	0.19 
PC_GDP,ED02,CY	: 	0.39 	0.38 
PC_GDP,ED02,CZ	: 	0.57 	0.54 
PC_GDP,ED02,DE	: 	0.46 	0.44 
PC_GDP,ED02,DK	: 	: d	: 
PC_GDP,ED02,EE	: 	0.36 d	0.44 
