unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
PC_LW95,AT	: 	: 	7.9 e	6.8 e	6.7 e	7.4 e	6.9 e	6.1 e	6.5 e	: 	: 	: 	: 	: 
PC_LW95,AT11	: 	: 	0.8 e	2.6 e	2.4 e	4.1 e	3.6 e	3.6 e	2.1 e	: 	: 	: 	: 	: 
PC_LW95,AT12	: 	: 	4.5 e	4.2 e	4.1 e	5.1 e	3.8 e	3.9 e	4.3 e	: 	: 	: 	: 	: 
PC_LW95,AT13	: 	: 	12.6 e	11.3 e	11.3 e	13.0 e	10.6 e	8.4 e	9.8 e	: 	: 	: 	: 	: 
PC_LW95,AT21	: 	: 	4.2 e	4.2 e	4.5 e	6.4 e	5.8 e	5.1 e	4.0 e	: 	: 	: 	: 	: 
PC_LW95,AT22	: 	: 	5.0 e	5.0 e	4.7 e	4.9 e	6.1 e	5.7 e	4.1 e	: 	: 	: 	: 	: 
PC_LW95,AT31	: 	: 	4.8 e	3.9 e	3.4 e	3.2 e	3.8 e	3.6 e	3.3 e	: 	: 	: 	: 	: 
PC_LW95,AT32	: 	: 	3.0 e	1.6 e	2.0 e	2.7 e	3.0 e	2.4 e	2.8 e	: 	: 	: 	: 	: 
PC_LW95,AT33	: 	: 	5.3 e	2.3 e	3.1 e	2.5 e	2.2 e	2.3 e	4.5 e	: 	: 	: 	: 	: 
PC_LW95,AT34	: 	: 	2.3 e	1.4 e	1.6 e	2.1 e	2.2 e	0.9 e	2.2 e	: 	: 	: 	: 	: 
PC_UP95,AT	: 	: 	10.0 e	8.7 e	8.6 e	9.6 e	8.7 e	7.9 e	8.2 e	: 	: 	: 	: 	: 
PC_UP95,AT11	: 	: 	5.3 e	10.6 e	8.9 e	11.7 e	10.6 e	11.7 e	10.0 e	: 	: 	: 	: 	: 
PC_UP95,AT12	: 	: 	8.3 e	7.8 e	7.6 e	10.0 e	7.4 e	7.5 e	7.9 e	: 	: 	: 	: 	: 
PC_UP95,AT13	: 	: 	19.1 e	17.3 e	17.7 e	20.4 e	16.0 e	13.7 e	15.2 e	: 	: 	: 	: 	: 
PC_UP95,AT21	: 	: 	10.2 e	15.1 e	11.2 e	12.9 e	12.5 e	11.3 e	8.7 e	: 	: 	: 	: 	: 
PC_UP95,AT22	: 	: 	10.0 e	9.1 e	8.5 e	9.2 e	11.4 e	11.7 e	9.2 e	: 	: 	: 	: 	: 
PC_UP95,AT31	: 	: 	10.2 e	7.7 e	7.2 e	5.7 e	8.3 e	6.6 e	6.4 e	: 	: 	: 	: 	: 
PC_UP95,AT32	: 	: 	12.0 e	6.7 e	7.3 e	6.7 e	7.6 e	7.5 e	7.2 e	: 	: 	: 	: 	: 
PC_UP95,AT33	: 	: 	12.0 e	5.6 e	8.2 e	7.0 e	5.8 e	6.0 e	11.5 e	: 	: 	: 	: 	: 
PC_UP95,AT34	: 	: 	10.5 e	7.5 e	7.7 e	8.9 e	7.9 e	6.2 e	8.9 e	: 	: 	: 	: 	: 
PC_Y_LT60,AT	: 	8.1 	9.1 	7.7 	7.6 	8.5 	7.8 	7.0 	7.3 b	8.1 	8.0 	7.3 	6.7 	1.0 
PC_Y_LT60,BE	: 	14.8 	14.5 	14.0 	13.8 	13.7 	12.6 	12.3 	11.7 	13.8 	14.3 	15.1 	14.7 	15.4 
PC_Y_LT60,BE1	: 	: 	: 	: 	: 	27.1 	23.1 	20.1 u	21.2 u	23.4 u	23.9 u	28.8 u	27.2 u	26.2 u
PC_Y_LT60,BE2	: 	: 	: 	: 	: 	8.5 	7.7 	8.0 	7.7 	9.9 	9.7 	10.0 	10.4 	11.2 
PC_Y_LT60,BE3	: 	: 	: 	: 	: 	18.3 	17.8 	17.3 	15.7 	17.5 	19.3 	19.7 	18.4 	19.5 
PC_Y_LT60,BG	: 	11.5 	12.0 	13.0 	12.4 	11.0 	7.9 	6.9 	8.1 	15.9 	14.7 	: 	: 	: 
PC_Y_LT60,BG3	: 	13.8 	12.9 	14.3 	14.5 	12.9 	10.3 	8.6 	9.8 	: 	: 	: 	: 	: 
PC_Y_LT60,BG31	: 	19.3 	16.7 	17.4 	17.8 	15.8 	14.5 	15.7 	15.1 	: 	: 	: 	: 	: 
PC_Y_LT60,BG32	: 	13.2 	14.0 	10.8 	12.7 	12.6 	8.9 	5.8 	7.7 	: 	: 	: 	: 	: 
PC_Y_LT60,BG33	: 	15.1 	13.4 	13.1 	12.6 	13.0 	9.0 	8.0 	9.2 	: 	: 	: 	: 	: 
PC_Y_LT60,BG34	: 	9.4 	9.1 	15.7 	15.0 	11.0 	9.3 	5.7 	7.6 	: 	: 	: 	: 	: 
PC_Y_LT60,BG4	: 	9.3 	11.2 	11.6 	10.3 	9.0 	5.5 	5.1 	6.2 	: 	: 	: 	: 	: 
PC_Y_LT60,BG41	: 	5.4 	8.2 	6.6 	8.3 	6.4 	4.1 	3.8 	5.1 	: 	: 	: 	: 	: 
PC_Y_LT60,BG42	: 	15.1 	15.4 	18.6 	13.2 	12.6 	7.4 	6.7 	7.7 	: 	: 	: 	: 	: 
PC_Y_LT60,CH	: 	: 	4.7 b	4.1 	3.5 	4.7 	4.1 	4.0 	3.3 	4.5 	: 	: 	: 	: 
PC_Y_LT60,CH01	: 	: 	6.9 b	5.2 	4.9 	6.5 	6.4 	5.0 	3.5 	: 	: 	: 	: 	: 
PC_Y_LT60,CH02	: 	: 	4.8 b	3.6 	2.9 	5.7 	4.1 	5.4 	3.1 	: 	: 	: 	: 	: 
PC_Y_LT60,CH03	: 	: 	4.6 b	2.8 	3.2 	4.1 	1.8 	2.9 	3.7 	: 	: 	: 	: 	: 
PC_Y_LT60,CH04	: 	: 	4.5 b	3.0 	2.8 	4.1 	4.4 	3.5 	3.3 	: 	: 	: 	: 	: 
PC_Y_LT60,CH05	: 	: 	3.2 b	4.5 	3.1 	2.4 	1.9 	2.7 	3.2 	: 	: 	: 	: 	: 
PC_Y_LT60,CH06	: 	: 	3.2 b	4.0 	2.5 	2.5 	1.8 	2.1 	2.1 	: 	: 	: 	: 	: 
PC_Y_LT60,CH07	: 	: 	4.8 b	10.2 	7.7 	8.2 	12.7 	7.1 	5.3 	: 	: 	: 	: 	: 
PC_Y_LT60,CY	: 	10.9 	9.7 	7.9 	6.4 	4.9 	4.8 	4.0 	4.5 b	3.7 	3.8 	4.4 	: 	: 
PC_Y_LT60,CZ	: 	6.8 	7.6 	6.9 	6.8 	6.6 	6.4 	6.0 	7.2 	8.6 	8.9 	8.8 	: 	: 
PC_Y_LT60,CZ01	: 	4.0 	5.7 	5.9 	4.5 	3.7 	2.3 	4.7 	2.7 	4.6 	4.7 	2.8 	: 	: 
PC_Y_LT60,CZ02	: 	4.2 	3.9 	4.6 	5.1 	5.5 	6.1 	5.1 	6.1 	7.8 	8.9 	5.1 	: 	: 
PC_Y_LT60,CZ03	: 	5.0 	5.8 	5.2 	4.8 	3.4 	4.5 	3.5 	5.0 	6.7 	5.7 	7.9 	: 	: 
PC_Y_LT60,CZ04	: 	14.0 	18.1 	14.0 	13.5 	14.1 	11.1 	9.6 	10.2 	13.6 	11.1 	14.9 	: 	: 
PC_Y_LT60,CZ05	: 	3.8 	6.2 	5.7 	6.4 	4.7 	4.6 	5.3 	7.3 	8.0 	7.2 	7.9 	: 	: 
PC_Y_LT60,CZ06	: 	4.5 	4.3 	3.2 	4.9 	5.3 	6.2 	4.1 	6.3 	5.9 	7.2 	6.0 	: 	: 
PC_Y_LT60,CZ07	: 	6.1 	6.2 	6.8 	7.1 	7.3 	6.8 	7.1 	7.9 	8.7 	8.8 	8.4 	: 	: 
PC_Y_LT60,CZ08	: 	15.3 	12.9 	12.1 	9.5 	9.7 	10.0 	9.2 	11.9 	14.5 	17.6 	18.3 	: 	: 
PC_Y_LT60,DE	: 	9.7 	9.9 	9.9 	9.8 	11.1 	11.1 	10.8 	11.6 	11.4 	13.5 	11.9 	: 	: 
PC_Y_LT60,DK	: 	11.1 	11.7 	11.4 	9.9 	10.3 	10.3 	8.5 	8.3 	9.9 	9.3 	9.9 	9.1 	9.5 
PC_Y_LT60,DK01	: 	13.2 	11.7 	12.5 	11.1 	10.3 	11.7 	11.8 	11.3 	10.4 	: 	: 	: 	: 
PC_Y_LT60,DK02	: 	11.0 	14.3 	10.7 	10.0 	8.3 	8.5 	7.4 	6.7 	5.6 	: 	: 	: 	: 
PC_Y_LT60,DK03	: 	9.2 	9.9 	8.8 	8.4 	12.9 	8.3 	6.5 	6.0 	6.2 	: 	: 	: 	: 
PC_Y_LT60,DK04	: 	9.1 	12.8 	13.8 	9.9 	9.6 	11.9 	7.6 	7.8 	7.4 	: 	: 	: 	: 
