unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
AVG,AT	: 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 	1.7 	1.6 b	1.6 	1.6 	1.6 	1.6 	1.6 
AVG,BE	: 	2.2 	2.2 	2.2 	2.3 	2.2 	2.1 	2.3 	2.2 	2.2 	2.2 	2.2 	2.1 	1.8 
AVG,BE1	: 	: 	: 	: 	: 	2.0 	1.8 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.6 
AVG,BE2	: 	: 	: 	: 	: 	2.3 	2.1 	2.2 	2.1 	2.1 	2.1 	2.2 	2.1 	1.7 
AVG,BE3	: 	: 	: 	: 	: 	2.3 	2.3 	2.5 	2.4 	2.3 	2.3 	2.4 	2.3 	1.9 
AVG,BG	: 	1.2 	1.1 	1.1 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 	1.0 	: 	: 
AVG,BG3	: 	1.2 	1.2 	1.1 	1.1 	1.1 	1.1 	1.1 	1.0 	: 	: 	: 	: 	: 
AVG,BG31	: 	1.2 	1.2 	1.2 	1.2 	1.1 	1.2 	1.1 	1.0 	: 	: 	: 	: 	: 
AVG,BG32	: 	1.3 	1.3 	1.3 	1.2 	1.1 	1.1 	1.1 	1.1 	: 	: 	: 	: 	: 
AVG,BG33	: 	1.2 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.0 	: 	: 	: 	: 	: 
AVG,BG34	: 	1.2 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 	: 	: 	: 	: 	: 
AVG,BG4	: 	1.2 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 	: 	: 	: 	: 	: 
AVG,BG41	: 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 	1.0 	: 	: 	: 	: 	: 
AVG,BG42	: 	1.2 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 	: 	: 	: 	: 	: 
AVG,CH	: 	: 	1.9 b	1.8 	1.8 	1.8 	1.8 	1.7 	1.7 	1.7 	: 	: 	: 	: 
AVG,CH01	: 	: 	1.8 	1.7 	1.8 	1.7 	1.7 	1.6 	1.6 	: 	: 	: 	: 	: 
AVG,CH02	: 	: 	1.9 	1.9 	1.9 	1.8 	1.8 	1.8 	1.7 	: 	: 	: 	: 	: 
AVG,CH03	: 	: 	1.9 	1.9 	1.9 	1.8 	1.8 	1.8 	1.8 	: 	: 	: 	: 	: 
AVG,CH04	: 	: 	1.8 	1.8 	1.7 	1.7 	1.7 	1.7 	1.7 	: 	: 	: 	: 	: 
AVG,CH05	: 	: 	2.0 	1.9 	2.0 	1.9 	1.9 	1.8 	1.8 	: 	: 	: 	: 	: 
AVG,CH06	: 	: 	1.8 	1.7 	1.8 	1.8 	1.7 	1.7 	1.7 	: 	: 	: 	: 	: 
AVG,CH07	: 	: 	1.7 	1.8 	1.9 	1.8 	1.9 	1.7 	1.6 	: 	: 	: 	: 	: 
AVG,CY	: 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 	1.8 	: 	: 
AVG,CZ	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.3 	1.2 	1.2 	1.2 	1.2 	: 	: 
AVG,CZ0	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.3 	1.2 	1.2 	1.2 	1.2 	: 	: 
AVG,CZ01	: 	1.4 	1.4 	1.3 	1.3 	1.3 	1.3 	1.2 	1.2 	1.2 	1.2 	1.1 	: 	: 
AVG,CZ02	: 	1.5 	1.5 	1.4 	1.5 	1.4 	1.4 	1.4 	1.3 	1.3 	1.3 	1.2 	: 	: 
AVG,CZ03	: 	1.5 	1.5 	1.5 	1.4 	1.4 	1.4 	1.3 	1.3 	1.2 	1.2 	1.2 	: 	: 
AVG,CZ04	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.3 	1.2 	1.2 	1.2 	1.2 	: 	: 
AVG,CZ05	: 	1.5 	1.5 	1.5 	1.4 	1.4 	1.4 	1.3 	1.3 	1.2 	1.2 	1.2 	: 	: 
AVG,CZ06	: 	1.5 	1.4 	1.4 	1.4 	1.4 	1.4 	1.3 	1.3 	1.2 	1.2 	1.2 	: 	: 
AVG,CZ07	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.3 	1.3 	1.2 	1.2 	1.2 	1.2 	: 	: 
AVG,CZ08	: 	1.3 	1.3 	1.3 	1.3 	1.3 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	: 	: 
AVG,DE	: 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.7 	1.7 	1.7 	1.7 	1.7 	: 	: 
AVG,DK	: 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 
AVG,DK0	: 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	: 	: 	: 	: 
AVG,DK01	: 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.7 	: 	: 	: 	: 
AVG,DK02	: 	2.0 	2.0 	2.0 	2.0 	1.9 	2.0 	1.9 	1.9 	1.9 	: 	: 	: 	: 
AVG,DK03	: 	2.0 	2.0 	1.9 	2.0 	1.9 	2.1 	2.0 	2.0 	1.9 	: 	: 	: 	: 
AVG,DK04	: 	1.9 	2.0 	2.0 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	: 	: 	: 	: 
AVG,DK05	: 	2.0 	2.0 	1.9 	2.0 	1.9 	2.0 	2.0 	2.0 	2.0 	: 	: 	: 	: 
AVG,EE	: 	1.6 	1.6 b	1.5 	1.6 	1.6 	1.2 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	: 
AVG,EL	: 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.1 
