unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
PC_LW95,AT	: 	: 	3.2 e	3.5 e	3.3 e	3.3 e	3.6 e	3.8 e	5.0 e	: 	: 	: 	: 	: 
PC_LW95,AT11	: 	: 	0.0 e	0.4 e	0.0 e	0.0 e	0.1 e	1.0 e	0.4 e	: 	: 	: 	: 	: 
PC_LW95,AT12	: 	: 	1.3 e	1.6 e	0.9 e	0.7 e	1.7 e	2.4 e	3.5 e	: 	: 	: 	: 	: 
PC_LW95,AT13	: 	: 	6.8 e	8.0 e	9.3 e	8.2 e	7.5 e	6.7 e	9.4 e	: 	: 	: 	: 	: 
PC_LW95,AT21	: 	: 	0.3 e	0.5 e	0.2 e	2.0 e	1.0 e	1.6 e	2.9 e	: 	: 	: 	: 	: 
PC_LW95,AT22	: 	: 	0.8 e	1.2 e	1.4 e	1.2 e	2.4 e	2.0 e	2.6 e	: 	: 	: 	: 	: 
PC_LW95,AT31	: 	: 	0.6 e	0.8 e	0.7 e	0.5 e	0.6 e	1.0 e	1.4 e	: 	: 	: 	: 	: 
PC_LW95,AT32	: 	: 	0.9 e	0.4 e	1.0 e	0.9 e	1.8 e	3.0 e	1.8 e	: 	: 	: 	: 	: 
PC_LW95,AT33	: 	: 	1.0 e	0.8 e	0.8 e	0.4 e	0.1 e	0.6 e	0.6 e	: 	: 	: 	: 	: 
PC_LW95,AT34	: 	: 	0.4 e	0.4 e	0.0 e	1.0 e	0.1 e	0.1 e	2.0 e	: 	: 	: 	: 	: 
PC_POP,AT	: 	3.6 	4.0 	4.2 	4.0 	4.0 	4.3 	4.6 	5.9 b	3.3 	3.6 	3.5 	3.8 	3.3 
PC_POP,BE	: 	5.8 	5.9 	5.1 	6.3 	5.7 	5.9 	5.2 	5.6 	5.7 	6.4 	6.5 	4.7 	4.5 
PC_POP,BE1	: 	: 	: 	: 	: 	16.1 	21.7 	16.6 u	16.2 u	16.5 u	18.0 u	18.7 u	14.4 u	9.9 u
PC_POP,BE2	: 	: 	: 	: 	: 	2.9 	1.6 	2.1 	2.7 	2.0 	2.9 	2.6 	2.2 	2.0 
PC_POP,BE3	: 	: 	: 	: 	: 	7.4 	8.6 	7.3 	7.6 	9.1 	9.2 	9.8 	6.4 	7.2 
PC_POP,BG	: 	34.2 	33.1 b	43.0 	44.1 	43.6 	45.7 	41.9 	41.2 	57.6 	57.7 	: 	: 	: 
PC_POP,BG3	: 	37.2 	36.6 b	46.4 	47.9 	48.2 	49.8 	45.6 	47.4 	: 	: 	: 	: 	: 
PC_POP,BG31	: 	35.7 	36.0 b	45.0 	44.4 	45.4 	46.3 	43.6 	46.2 	: 	: 	: 	: 	: 
PC_POP,BG32	: 	36.3 	35.8 b	43.3 	47.0 	51.6 	55.2 	52.9 	51.3 	: 	: 	: 	: 	: 
