unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
PC_LW95,AT	: 	: 	17.7 e	17.5 e	17.2 e	17.8 e	17.6 e	17.8 e	19.3 e	: 	: 	: 	: 	: 
PC_LW95,AT11	: 	: 	6.6 e	6.4 e	4.8 e	11.5 e	10.5 e	11.7 e	9.6 e	: 	: 	: 	: 	: 
PC_LW95,AT12	: 	: 	12.6 e	13.6 e	11.2 e	12.3 e	10.8 e	12.9 e	14.3 e	: 	: 	: 	: 	: 
PC_LW95,AT13	: 	: 	27.0 e	25.7 e	27.7 e	26.9 e	25.1 e	23.7 e	27.3 e	: 	: 	: 	: 	: 
PC_LW95,AT21	: 	: 	12.4 e	15.1 e	14.0 e	19.1 e	17.7 e	14.9 e	15.4 e	: 	: 	: 	: 	: 
PC_LW95,AT22	: 	: 	12.5 e	12.3 e	14.6 e	13.2 e	15.7 e	15.2 e	16.1 e	: 	: 	: 	: 	: 
PC_LW95,AT31	: 	: 	12.7 e	12.2 e	10.6 e	10.6 e	11.9 e	13.0 e	13.1 e	: 	: 	: 	: 	: 
PC_LW95,AT32	: 	: 	12.3 e	10.8 e	10.0 e	9.4 e	13.4 e	12.5 e	12.8 e	: 	: 	: 	: 	: 
PC_LW95,AT33	: 	: 	12.4 e	12.7 e	12.4 e	14.4 e	11.0 e	11.9 e	14.2 e	: 	: 	: 	: 	: 
PC_LW95,AT34	: 	: 	12.5 e	13.4 e	13.7 e	10.7 e	13.6 e	14.1 e	15.2 e	: 	: 	: 	: 	: 
PC_POP,AT	: 	18.3 	19.2 	18.8 	18.5 	19.2 	18.9 	19.1 	20.6 b	16.7 	17.8 	17.4 	17.9 	15.7 
PC_POP,BE	: 	21.1 	21.2 	20.8 	21.6 	21.0 	20.8 	20.2 	20.8 	21.6 	21.5 	22.6 	21.6 	23.4 
PC_POP,BE1	: 	: 	: 	: 	: 	40.4 	40.2 	35.2 u	34.6 u	37.4 u	36.3 u	40.5 u	38.9 u	37.1 u
PC_POP,BE2	: 	: 	: 	: 	: 	15.0 	14.8 	14.6 	15.2 	15.9 	16.5 	17.0 	16.6 	18.8 
PC_POP,BE3	: 	: 	: 	: 	: 	25.4 	25.7 	25.4 	26.6 	26.8 	26.1 	27.1 	25.5 	27.5 
PC_POP,BG	: 	41.3 	40.1 b	48.0 	49.3 	49.1 	49.2 	46.2 	44.8 	60.7 	61.3 	: 	: 	: 
PC_POP,BG3	: 	45.1 	44.0 b	51.8 	53.7 	54.5 	53.8 	50.3 	51.3 	: 	: 	: 	: 	: 
PC_POP,BG31	: 	44.8 	46.1 b	52.8 	52.6 	53.9 	53.3 	53.0 	52.5 	: 	: 	: 	: 	: 
PC_POP,BG32	: 	44.9 	43.7 b	48.4 	53.9 	59.5 	58.7 	56.3 	54.5 	: 	: 	: 	: 	: 
PC_POP,BG33	: 	48.3 	45.6 b	54.7 	51.0 	52.1 	52.7 	45.0 	48.3 	: 	: 	: 	: 	: 
PC_POP,BG34	: 	42.5 	41.2 b	51.1 	56.7 	53.2 	51.1 	47.8 	50.1 	: 	: 	: 	: 	: 
PC_POP,BG4	: 	37.5 	36.1 b	44.1 	44.6 	43.3 	44.2 	41.7 	37.7 	: 	: 	: 	: 	: 
PC_POP,BG41	: 	30.0 	28.6 b	37.1 	39.1 	37.4 	36.9 	33.8 	33.8 	: 	: 	: 	: 	: 
PC_POP,BG42	: 	48.6 	46.9 b	54.2 	52.6 	51.6 	54.3 	52.5 	43.1 	: 	: 	: 	: 	: 
PC_POP,CH	: 	: 	16.4 b	16.3 	17.5 	17.2 	17.2 	17.9 	18.1 	17.9 	: 	: 	: 	: 
PC_POP,CH01	: 	: 	16.7 b	15.6 	18.3 	21.5 	20.0 	17.8 	19.5 	: 	: 	: 	: 	: 
