nace_r2,sizeclas,isco08,indic_em,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
A,GE10,OC0,CH_Y_Y,HU	0 p	0 p	: 	0 p	0 p	0 p	: 	: 
A,GE10,OC0,CH_Y_Y,LV	: 	0 	0 	0 	0 	0 	: 	: 
A,GE10,OC0,CH_Y_Y,LV0	0 	0 	: 	: 	0 	0 	: 	: 
A,GE10,OC0,CH_Y_Y,LV00	: 	: 	: 	: 	0 	0 	: 	: 
A,GE10,OC0,JOBOCC,HU	0 p	: c	0 p	0 p	: c	: c	: c	: 
A,GE10,OC0,JOBOCC,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,HU2	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,HU23	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,HU3	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,HU31	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,HU32	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBOCC,LV	: 	0 	0 	0 	0 	0 	0 	: 
A,GE10,OC0,JOBOCC,LV0	0 	0 	: 	: 	0 	0 	0 	: 
A,GE10,OC0,JOBOCC,LV00	: 	: 	: 	: 	0 	0 	0 	: 
A,GE10,OC0,JOBRATE,HU	0 p	0 p	0 p	0 p	0 p	0 p	0 p	: 
A,GE10,OC0,JOBRATE,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,HU2	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,HU23	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,HU3	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,HU31	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,HU32	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBRATE,LV	: 	0 	0 	0 	0 	0 	0 	: 
A,GE10,OC0,JOBRATE,LV0	0 	0 	: 	: 	0 	0 	0 	: 
A,GE10,OC0,JOBRATE,LV00	: 	: 	: 	: 	0 	0 	0 	: 
A,GE10,OC0,JOBVAC,HU	0 p	0 p	: c	: c	0 p	0 p	0 p	: 
A,GE10,OC0,JOBVAC,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,HU2	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,HU23	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,HU3	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,HU31	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,HU32	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC0,JOBVAC,LV	: 	0 	0 	0 	0 	0 	0 	: 
A,GE10,OC0,JOBVAC,LV0	0 	0 	: 	: 	0 	0 	0 	: 
A,GE10,OC0,JOBVAC,LV00	: 	: 	: 	: 	0 	0 	0 	: 
A,GE10,OC1,CH_Y_Y,HU	0 p	0 p	0.1 p	-0.1 p	0 p	0 p	: 	: 
A,GE10,OC1,CH_Y_Y,LV	: 	0.2 	0.1 	0 	0 	-0.1 	: 	: 
A,GE10,OC1,CH_Y_Y,LV0	0 	0.3 	: 	: 	0 	-0.1 	: 	: 
