unit,worktime,isco08,isced11,mgstatus,time\geo	BE 	BG 	CZ 	DE 	EE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 
THS_PER,ATYP,NRP,ED0-2,NBO,2014	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: c	: 	: 	: c	: 	: 	: u	: u	: 	: 
THS_PER,ATYP,NRP,ED0-2,NBO_NAT,2014	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: c	: 	: 	: c	: 	: 	: u	: u	: 	: 
THS_PER,ATYP,NRP,ED0-2,TOTAL,2014	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: c	: 	: 	: c	: 	: 	: u	: u	: 	: 
THS_PER,ATYP,NRP,ED3_4,FBO,2014	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 
THS_PER,ATYP,NRP,ED3_4,IMG,2014	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 
THS_PER,ATYP,NRP,ED3_4,NBO,2014	: 	: 	: 	: 	: c	: 	: 	: u	: c	: 	: 	: c	: 	: c	: 	: 	: 	7.4 u	: 	: 	2.9 u	: 	: u	: u	: u	: 	: c
THS_PER,ATYP,NRP,ED3_4,NBO_IMG,2014	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: 	: 	: 
THS_PER,ATYP,NRP,ED3_4,NBO_IMGFOR,2014	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,NRP,ED3_4,NBO_IMGMIX,2014	: 	: 	: 	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
THS_PER,ATYP,NRP,ED3_4,NBO_NAT,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: c	: 	: c	: 	: 	: 	7.4 u	: 	: 	2.6 u	: 	: u	: u	: u	: 	: c
THS_PER,ATYP,NRP,ED3_4,NRP,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,NRP,ED3_4,TOTAL,2014	: 	: 	: 	: 	: c	: 	: 	: u	: c	: 	: 	: c	: 	: u	: 	: 	: 	7.4 u	: 	: 	3.2 u	: 	: u	: u	: u	: 	: c
