unit,sex,age,isced11,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS,F,Y15-24,ED0-2,AT	58.3 	56.8 b	65.4 	68.2 	72.3 	70.7 	74.3 	81.3 	79.3 b	67.7 b	57.4 b	48.5 b	67.0 	63.8 	63.3 	67.2 	70.3 
THS,F,Y15-24,ED0-2,AT1	21.4 	19.6 b	22.7 	23.4 	22.4 	25.5 	28.0 	29.3 	31.1 b	24.5 b	20.3 b	18.2 b	20.6 	22.2 	21.8 	23.6 	27.3 
THS,F,Y15-24,ED0-2,AT11	: u	: bu	: u	: u	: u	: u	: u	: u	: bu	: bu	: bu	: bu	: u	: u	: u	: u	: u
THS,F,Y15-24,ED0-2,AT12	11.2 	10.7 b	11.6 	13.0 	12.6 	11.5 	13.2 	13.4 	13.5 b	11.5 b	8.9 b	7.5 bu	8.1 	11.3 	11.5 	12.9 	15.0 
THS,F,Y15-24,ED0-2,AT13	9.1 	7.9 b	10.0 	8.7 	8.2 	12.5 	13.0 	14.1 	16.1 b	11.4 b	9.8 b	9.4 b	11.3 	9.6 	8.7 	8.5 	10.1 
THS,F,Y15-24,ED0-2,AT2	11.0 	11.2 b	13.4 	15.1 	16.2 	13.9 	14.1 	16.0 	14.5 b	13.2 b	11.8 b	9.4 b	16.2 	15.0 	12.8 	12.0 	14.6 
THS,F,Y15-24,ED0-2,AT21	: u	3.4 bu	3.8 u	4.3 u	4.5 u	5.4 u	4.7 u	5.2 u	4.3 bu	4.3 bu	3.4 bu	: bu	4.3 u	4.5 u	: u	: u	4.7 u
THS,F,Y15-24,ED0-2,AT22	8.4 	7.8 b	9.6 	10.9 	11.7 	8.4 	9.4 	10.8 	10.2 b	8.8 b	8.4 b	5.7 bu	12.0 	10.5 	8.8 	8.4 	10.0 
THS,F,Y15-24,ED0-2,AT3	25.9 	26.0 b	29.3 	29.6 	33.6 	31.3 	32.1 	36.1 	33.6 b	30.1 b	25.3 b	20.9 b	30.2 	26.7 	28.7 	31.7 	28.4 
THS,F,Y15-24,ED0-2,AT31	12.3 	12.3 b	15.4 	13.9 	17.3 	15.7 	14.9 	19.3 	17.2 b	14.1 b	12.3 b	9.9 b	15.2 	12.3 	12.3 	15.1 	12.8 
THS,F,Y15-24,ED0-2,AT32	4.8 u	3.8 bu	4.0 u	4.6 u	4.8 u	4.8 u	5.2 u	4.9 u	4.5 bu	4.8 bu	4.1 bu	: bu	4.3 u	5.1 u	5.6 u	5.9 u	4.9 u
THS,F,Y15-24,ED0-2,AT33	5.2 u	6.5 b	6.3 	6.8 	7.1 	7.2 	8.3 	7.8 	7.6 b	7.3 b	5.4 bu	4.4 bu	6.5 u	5.1 u	5.9 u	6.0 u	6.2 u
THS,F,Y15-24,ED0-2,AT34	3.6 u	3.4 bu	3.5 u	4.3 u	4.4 u	3.6 u	3.7 u	4.0 u	4.3 bu	4.0 bu	3.6 bu	: bu	4.2 u	4.2 u	4.9 u	4.6 u	4.5 u
THS,F,Y15-24,ED0-2,BE	16.8 	20.2 b	19.6 	24.7 	25.1 b	25.5 	24.7 	26.7 b	25.6 	23.4 	25.5 b	23.6 	22.2 	26.2 	29.2 b	26.8 	36.2 b
THS,F,Y15-24,ED0-2,BE1	: u	2.4 bu	2.2 u	2.9 u	2.7 bu	3.1 u	2.7 u	3.7 bu	3.1 u	3.3 u	2.5 bu	: u	: c	: u	: bu	: u	: bu
THS,F,Y15-24,ED0-2,BE10	: u	2.4 bu	2.2 u	2.9 u	2.7 bu	3.1 u	2.7 u	3.7 bu	3.1 u	3.3 u	2.5 bu	: u	: c	: u	: bu	: u	: bu
THS,F,Y15-24,ED0-2,BE2	8.6 	11.3 b	10.6 	12.3 	14.3 b	14.9 	15.3 	13.9 b	16.1 	13.3 	15.7 b	15.6 	15.0 	17.2 	19.4 b	17.4 	23.1 b
THS,F,Y15-24,ED0-2,BE21	2.3 u	3.2 bu	2.8 u	3.4 u	3.8 bu	4.2 u	4.4 u	5.3 b	5.3 	3.5 u	4.8 bu	5.0 u	: u	5.1 u	8.2 bu	7.9 u	6.6 bu
THS,F,Y15-24,ED0-2,BE22	: u	: bu	: u	: u	2.1 bu	2.2 u	: u	: bu	2.4 u	: u	2.4 bu	: u	: u	: u	: bu	: u	: bu
THS,F,Y15-24,ED0-2,BE23	2.4 u	2.6 bu	: u	3.2 u	2.8 bu	4.2 u	3.2 u	2.5 bu	3.8 u	2.3 u	3.8 bu	5.9 u	: u	: u	: bu	: u	6.9 bu
THS,F,Y15-24,ED0-2,BE24	: u	: bu	2.2 u	: u	: bu	: u	3.0 u	: bu	: u	2.2 u	: bu	: c	: c	: u	: bu	: c	: bu
THS,F,Y15-24,ED0-2,BE25	2.2 u	2.7 bu	2.2 u	3.1 u	3.6 bu	2.5 u	3.0 u	3.3 bu	3.1 u	3.7 u	2.9 bu	: u	: u	: u	: bu	: u	: bu
THS,F,Y15-24,ED0-2,BE3	6.2 	6.5 b	6.7 	9.4 	8.1 b	7.4 	6.8 	9.1 b	6.4 	6.8 	7.2 b	6.1 u	6.4 u	5.6 u	5.9 bu	6.5 u	8.7 bu
