unit,sex,worktime,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS,F,FT,AT	1027.7 	1029.0 	1046.8 	1051.2 	1056.8 	1050.2 	1051.7 	1069.3 	1049.2 b	1037.7 	1029.8 b	990.0 b	1087.2 	1063.4 	1085.3 	1087.3 	1089.4 
THS,F,FT,AT1	464.9 	462.8 	470.1 	466.0 	467.2 	472.6 	467.3 	476.0 	468.3 b	463.8 	458.3 b	452.2 b	489.9 	486.3 	497.9 	495.3 	496.9 
THS,F,FT,AT11	33.9 	35.3 	34.3 	34.2 	34.4 	35.7 	35.1 	35.4 	33.9 b	34.4 	31.7 b	31.0 b	35.5 	33.7 	36.2 	38.6 	35.1 
THS,F,FT,AT12	205.7 	201.1 	201.3 	201.3 	204.6 	206.1 	204.1 	205.9 	204.8 b	198.9 	200.8 b	197.6 b	206.1 	202.8 	209.3 	213.5 	205.6 
THS,F,FT,AT13	225.3 	226.4 	234.5 	230.4 	228.2 	230.9 	228.1 	234.7 	229.6 b	230.5 	225.8 b	223.6 b	248.3 	249.7 	252.3 	243.3 	256.2 
THS,F,FT,AT2	200.5 	203.3 	206.3 	211.3 	217.1 	215.1 	214.1 	222.2 	215.7 b	216.4 	215.7 b	201.8 b	225.5 	213.2 	220.5 	224.3 	232.5 
THS,F,FT,AT21	63.2 	64.3 	65.7 	67.0 	67.6 	69.3 	67.7 	68.9 	68.2 b	69.4 	68.0 b	67.6 b	71.1 	71.6 	68.9 	74.1 	74.8 
THS,F,FT,AT22	137.3 	139.0 	140.6 	144.3 	149.4 	145.8 	146.4 	153.4 	147.5 b	147.1 	147.6 b	134.2 b	154.4 	141.6 	151.6 	150.2 	157.7 
THS,F,FT,AT3	362.3 	362.8 	370.4 	373.9 	372.6 	362.4 	370.2 	371.0 	365.2 b	357.5 	355.8 b	336.0 b	371.8 	364.0 	367.0 	367.7 	360.0 
THS,F,FT,AT31	164.4 	167.0 	170.9 	174.6 	172.9 	168.0 	172.5 	171.4 	166.4 b	165.0 	161.9 b	151.5 b	172.5 	170.5 	175.1 	169.7 	165.0 
THS,F,FT,AT32	65.3 	65.8 	69.0 	69.4 	69.0 	66.6 	68.0 	69.0 	69.3 b	66.2 	67.0 b	64.7 b	73.2 	71.5 	68.5 	71.4 	69.5 
THS,F,FT,AT33	87.9 	87.2 	87.6 	87.6 	89.1 	86.6 	86.7 	87.4 	88.3 b	85.2 	87.0 b	81.4 b	84.4 	82.5 	81.4 	82.8 	85.0 
THS,F,FT,AT34	44.7 	42.8 	42.8 	42.3 	41.6 	41.2 	43.0 	43.3 	41.2 b	41.1 	40.0 b	38.5 b	41.7 	39.5 	42.0 	43.8 	40.6 
THS,F,FT,BE	1237.3 	1236.2 	1190.7 	1160.2 	1158.1 b	1172.9 	1165.7 	1173.8 	1151.1 	1103.0 	1099.0 b	1061.5 	1050.7 	1072.7 	1074.0 b	903.4 	848.7 b
THS,F,FT,BE1	134.4 	135.4 	129.5 	129.5 	124.6 b	126.0 	125.8 	121.6 	118.9 	114.6 	116.8 b	119.0 	115.4 	111.3 	107.0 b	95.0 	98.2 b
THS,F,FT,BE10	134.4 	135.4 	129.5 	129.5 	124.6 b	126.0 	125.8 	121.6 	118.9 	114.6 	116.8 b	119.0 	115.4 	111.3 	107.0 b	95.0 	98.2 b
THS,F,FT,BE2	743.8 	738.0 	715.4 	688.0 	690.5 b	708.9 	698.9 	704.3 	691.9 	660.0 	661.5 b	625.6 	630.4 	642.4 	656.6 b	544.7 	512.1 b
