unit,sex,age,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS,F,Y15-24,AT	236.2 	243.6 	244.2 	247.4 	245.7 	242.1 	250.9 	254.6 	250.8 b	241.6 	239.3 b	218.4 b	217.9 	218.5 	215.6 	222.6 	234.4 
THS,F,Y15-24,AT1	96.0 	95.9 	93.8 	91.0 	90.3 	87.2 	93.9 	97.0 	97.1 b	90.1 	87.5 b	80.9 b	78.7 	81.1 	81.1 	84.7 	92.6 
THS,F,Y15-24,AT11	5.6 u	5.9 u	6.6 	6.8 	7.0 	6.8 	7.2 	7.3 	7.2 b	7.0 	7.3 b	7.4 bu	7.4 u	6.8 u	7.3 u	8.1 	8.6 
THS,F,Y15-24,AT12	45.4 	45.8 	46.4 	46.8 	44.8 	40.9 	43.1 	46.1 	46.6 b	43.2 	43.1 b	39.7 b	38.4 	40.3 	40.4 	42.5 	45.8 
THS,F,Y15-24,AT13	45.0 	44.2 	40.9 	37.4 	38.5 	39.4 	43.5 	43.6 	43.3 b	39.8 	37.2 b	33.9 b	32.9 	34.1 	33.4 	34.0 	38.3 
THS,F,Y15-24,AT2	45.6 	50.0 	49.4 	52.6 	52.3 	52.3 	52.5 	54.5 	52.7 b	50.8 	52.8 b	46.7 b	45.5 	45.6 	44.5 	44.2 	50.7 
THS,F,Y15-24,AT21	12.4 	15.0 	14.4 	14.4 	14.6 	15.6 	16.1 	15.5 	15.3 b	15.4 	15.2 b	13.3 b	12.6 	15.1 	13.7 	14.8 	15.2 
THS,F,Y15-24,AT22	33.2 	35.0 	35.0 	38.2 	37.7 	36.6 	36.3 	39.0 	37.4 b	35.4 	37.6 b	33.4 b	32.9 	30.5 	30.8 	29.4 	35.5 
THS,F,Y15-24,AT3	94.7 	97.7 	100.9 	103.8 	103.1 	102.7 	104.5 	103.1 	101.0 b	100.8 	98.9 b	90.7 b	93.7 	91.8 	90.1 	93.7 	91.2 
THS,F,Y15-24,AT31	43.7 	46.1 	46.4 	49.5 	49.4 	49.2 	48.0 	49.8 	47.1 b	48.1 	46.4 b	40.4 b	46.2 	43.1 	41.1 	44.2 	41.6 
THS,F,Y15-24,AT32	16.4 	15.6 	16.7 	16.9 	17.6 	17.3 	17.5 	16.0 	17.1 b	16.1 	17.2 b	16.1 b	17.3 	17.3 	17.6 	16.9 	16.7 
THS,F,Y15-24,AT33	21.9 	23.5 	25.5 	24.8 	23.9 	24.3 	26.4 	24.9 	24.6 b	23.9 	23.2 b	22.0 b	19.4 	20.6 	19.4 	20.3 	20.6 
THS,F,Y15-24,AT34	12.6 	12.5 	12.4 	12.7 	12.2 	11.9 	12.7 	12.5 	12.3 b	12.7 	12.2 b	12.2 b	10.8 	10.9 	12.0 	12.4 	12.3 
THS,F,Y15-24,BE	140.5 	142.0 	143.2 	148.3 	158.1 b	150.0 	149.8 	160.3 	158.4 	155.4 	157.2 b	160.0 	146.3 	157.3 	152.9 b	163.6 	143.4 b
THS,F,Y15-24,BE1	9.8 	11.5 	9.8 	11.7 	11.0 b	10.5 	12.9 	12.6 	10.5 	12.6 	10.9 b	10.9 	9.4 u	12.5 	13.8 b	10.6 	10.4 b
THS,F,Y15-24,BE10	9.8 	11.5 	9.8 	11.7 	11.0 b	10.5 	12.9 	12.6 	10.5 	12.6 	10.9 b	10.9 	9.4 u	12.5 	13.8 b	10.6 	10.4 b
THS,F,Y15-24,BE2	92.9 	91.0 	94.6 	91.9 	103.1 b	97.1 	95.7 	106.9 	106.1 	103.8 	105.1 b	108.9 	102.4 	103.3 	103.0 b	111.8 	97.5 b
THS,F,Y15-24,BE21	27.7 	23.1 	25.1 	25.0 	29.4 b	25.9 	25.8 	29.2 	31.9 	29.8 	30.9 b	26.9 	27.7 	29.6 	27.2 b	28.0 	22.6 b
THS,F,Y15-24,BE22	12.1 	14.1 	12.7 	12.0 	15.0 b	12.9 	14.8 	14.5 	15.0 	14.4 	14.0 b	16.0 	14.0 	12.4 	13.2 b	14.9 	12.1 b
THS,F,Y15-24,BE23	21.0 	23.6 	22.4 	21.6 	22.5 b	24.7 	21.6 	25.1 	24.3 	22.1 	24.7 b	28.0 	23.1 	22.2 	28.2 b	26.1 	25.4 b
THS,F,Y15-24,BE24	12.1 	12.5 	15.5 	12.5 	15.4 b	14.1 	14.3 	16.1 	13.6 	15.4 	14.6 b	15.3 	15.0 	16.0 	13.9 b	15.8 	15.4 b
THS,F,Y15-24,BE25	20.0 	17.7 	18.9 	20.9 	20.8 b	19.4 	19.2 	22.0 	21.4 	22.0 	20.9 b	22.8 	22.5 	23.1 	20.6 b	27.0 	22.0 b
THS,F,Y15-24,BE3	37.8 	39.5 	38.8 	44.7 	43.9 b	42.4 	41.2 	40.8 	41.8 	39.1 	41.2 b	40.2 	34.5 	41.5 	36.0 b	41.2 	35.5 b
