unit,nace_r2,age,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
THS,A,Y15-24,AT	14.3 	16.8 	13.8 	14.5 	14.5 	15.8 	14.2 	13.1 b
THS,A,Y15-24,AT1	5.2 u	5.2 u	4.1 u	3.8 u	3.7 u	5.7 u	4.4 u	4.0 bu
THS,A,Y15-24,AT11	: u	: u	: u	: u	: u	: u	: u	: bu
THS,A,Y15-24,AT12	4.6 u	3.9 u	: u	: u	: u	4.9 u	3.2 u	3.1 bu
THS,A,Y15-24,AT13	: u	: u	: u	: u	: u	: c	: u	: bc
THS,A,Y15-24,AT2	3.2 u	4.3 u	4.3 u	4.8 u	4.7 u	3.9 u	4.2 u	3.6 bu
THS,A,Y15-24,AT21	: u	: u	: u	: u	: u	: u	: u	: bu
THS,A,Y15-24,AT22	: u	3.3 u	3.1 u	3.6 u	3.6 u	: u	3.2 u	: bu
THS,A,Y15-24,AT3	5.8 u	7.3 	5.4 u	5.9 u	6.1 	6.2 	5.6 u	5.5 bu
THS,A,Y15-24,AT31	3.4 u	4.6 u	: u	: u	3.7 u	: u	: u	: bu
THS,A,Y15-24,AT32	: u	: u	: u	: u	: u	: u	: u	: bu
THS,A,Y15-24,AT33	: u	: u	: u	: u	: u	: u	: u	: bu
THS,A,Y15-24,AT34	: u	: u	: u	: u	: u	: u	: u	: bu
THS,A,Y15-24,BE	2.9 u	3.1 u	3.1 u	2.3 u	4.0 bu	4.9 u	5.9 	4.1 bu
THS,A,Y15-24,BE1	: c	: 	: c	: 	: 	: 	: c	: bu
THS,A,Y15-24,BE10	: c	: 	: c	: 	: 	: 	: c	: bu
THS,A,Y15-24,BE2	: u	: u	: u	: u	2.5 bu	2.8 u	3.7 u	2.5 bu
THS,A,Y15-24,BE21	: c	: c	: c	: u	: bc	: c	: u	: bu
THS,A,Y15-24,BE22	: u	: u	: u	: c	: bu	: u	: u	: bc
THS,A,Y15-24,BE23	: c	: c	: c	: c	: bu	: c	: u	: bc
THS,A,Y15-24,BE24	: c	: 	: 	: c	: 	: u	: u	: bc
THS,A,Y15-24,BE25	: c	: u	: c	: u	: bu	: u	: u	: bu
THS,A,Y15-24,BE3	: u	: u	: u	: u	: bu	2.0 u	2.2 u	: bu
THS,A,Y15-24,BE31	: c	: 	: c	: c	: bc	: u	: u	: bu
THS,A,Y15-24,BE32	: c	: u	: c	: 	: bc	: c	: u	: bc
THS,A,Y15-24,BE33	: c	: c	: c	: u	: bu	: u	: u	: bu
THS,A,Y15-24,BE34	: u	: u	: u	: c	: bu	: u	: u	: bu
THS,A,Y15-24,BE35	: c	: c	: u	: c	: bc	: u	: c	: bc
THS,A,Y15-24,BG	11.2 	12.4 	10.7 	9.4 	7.8 b	12.1 b	15.3 	12.1 b
THS,A,Y15-24,BG3	4.9 u	6.6 u	6.2 u	5.7 u	4.5 bu	6.1 bu	7.9 	6.2 bu
THS,A,Y15-24,BG31	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,BG32	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,BG33	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,BG34	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,BG4	6.3 u	5.8 u	4.5 u	3.7 u	: bu	5.9 bu	7.4 u	5.8 bu
THS,A,Y15-24,BG41	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,BG42	4.7 u	4.4 u	: u	: u	: bu	3.7 bu	4.7 u	4.4 bu
THS,A,Y15-24,CH	13.7 	14.8 	17.2 	15.0 	14.6 	13.2 	12.1 	16.6 b
THS,A,Y15-24,CH0	13.7 	14.8 	17.2 	15.0 	14.6 	13.2 	12.1 	16.6 b
THS,A,Y15-24,CH01	1.8 u	1.1 u	2.7 u	1.9 u	2.2 u	1.9 u	: u	: bu
THS,A,Y15-24,CH02	4.1 u	4.2 u	4.4 u	3.5 u	3.9 u	4.1 u	4.7 u	7.2 b
THS,A,Y15-24,CH03	1.3 u	1.1 u	1.1 u	1.3 u	: u	: u	: c	: bu
THS,A,Y15-24,CH04	1.3 u	1.8 u	2.6 u	2.0 u	1.3 u	2.1 u	: c	2.4 bu
THS,A,Y15-24,CH05	2.7 u	4.8 u	4.2 u	3.6 u	4.5 u	2.3 u	2.0 u	2.7 bu
THS,A,Y15-24,CH06	2.2 u	1.4 u	1.5 u	2.3 u	1.7 u	2.1 u	: u	: bu
THS,A,Y15-24,CH07	: u	: u	: u	: u	: u	: c	: c	: bc
THS,A,Y15-24,CY	1.4 u	1.6 	0.8 u	0.7 u	: u	0.9 u	0.8 bu	0.6 bu
THS,A,Y15-24,CY0	1.4 u	1.6 	0.8 u	0.7 u	: u	0.9 u	0.8 bu	0.6 bu
THS,A,Y15-24,CY00	1.4 u	1.6 	0.8 u	0.7 u	: u	0.9 u	0.8 bu	0.6 bu
THS,A,Y15-24,CZ	7.0 	7.7 	5.9 	7.3 	7.0 b	7.6 	6.9 	5.4 b
THS,A,Y15-24,CZ0	7.0 	7.7 	5.9 	7.3 	7.0 b	7.6 	6.9 	5.4 b
THS,A,Y15-24,CZ01	: 	: c	: c	: 	: bc	0.7 u	: u	: 
THS,A,Y15-24,CZ02	1.0 u	0.7 u	0.9 u	0.6 u	: bu	0.7 u	0.9 u	: bu
THS,A,Y15-24,CZ03	1.4 u	1.0 u	0.8 u	1.7 u	2.1 bu	1.9 u	1.4 u	1.3 bu
THS,A,Y15-24,CZ04	0.8 u	0.9 u	0.5 u	0.7 u	: bu	: c	0.5 u	0.7 bu
THS,A,Y15-24,CZ05	1.4 u	1.7 u	1.0 u	1.4 u	1.0 bu	0.8 u	0.7 u	0.9 bu
THS,A,Y15-24,CZ06	1.2 u	2.0 u	1.2 u	1.2 u	1.1 bu	1.7 u	2.2 u	0.9 bu
THS,A,Y15-24,CZ07	: u	: u	0.9 u	0.6 u	: bu	0.8 u	0.6 u	0.7 bu
THS,A,Y15-24,CZ08	0.6 u	0.8 u	: u	1.1 u	1.7 bu	0.9 u	: c	0.6 bu
THS,A,Y15-24,DE	49.8 	47.3 	48.0 	55.6 	59.4 b	55.4 b	55.4 	61.9 b
THS,A,Y15-24,DE1	: u	: u	: u	6.1 	5.9 b	7.7 b	5.4 	6.2 b
THS,A,Y15-24,DE11	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE12	: u	: u	: u	: u	: bc	: bu	: u	: bu
THS,A,Y15-24,DE13	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE14	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE2	7.8 	6.4 	7.4 	7.9 	10.0 b	8.7 b	8.6 	10.2 b
THS,A,Y15-24,DE21	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE22	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE23	: u	: c	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE24	: u	: u	: c	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE25	: c	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE26	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE27	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE3	: c	: 	: 	: u	: bc	: bc	: c	: bc
THS,A,Y15-24,DE30	: c	: 	: 	: u	: bc	: bc	: c	: bc
THS,A,Y15-24,DE4	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE40	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE5	: c	: c	: c	: c	: 	: 	: c	: bc
THS,A,Y15-24,DE50	: c	: c	: c	: c	: 	: 	: c	: bc
THS,A,Y15-24,DE6	: c	: 	: c	: c	: bc	: bc	: c	: bu
THS,A,Y15-24,DE60	: c	: 	: c	: c	: bc	: bc	: c	: bu
THS,A,Y15-24,DE7	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE71	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE72	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE73	: u	: u	: u	: c	: bu	: bc	: u	: bu
THS,A,Y15-24,DE8	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE80	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE9	7.5 	8.8 	8.2 	10.3 	10.2 b	7.1 b	9.8 	6.7 b
THS,A,Y15-24,DE91	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE92	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE93	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DE94	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DEA	9.2 	9.1 	8.0 	7.1 	6.0 b	5.7 b	7.1 	9.2 b
THS,A,Y15-24,DEA1	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DEA2	: u	: u	: u	: u	: bu	: bu	: u	: bu
THS,A,Y15-24,DEA3	: u	: u	: u	: u	: bu	: bu	: u	: bu
