unit,sex,age,isced11,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS,F,Y25-64,ED0-2,AT	248.6 	259.7 b	272.1 	277.3 	281.4 	282.2 	294.4 	305.1 	330.8 b	313.9 b	283.5 b	283.6 b	322.2 	318.3 	320.3 	340.2 	354.0 
THS,F,Y25-64,ED0-2,AT1	102.4 	105.8 b	111.3 	122.2 	120.8 	115.0 	119.6 	124.4 	143.1 b	133.7 b	122.3 b	123.4 b	141.8 	141.2 	141.2 	144.6 	153.3 
THS,F,Y25-64,ED0-2,AT11	9.6 	9.1 b	11.6 	11.8 	11.3 	10.6 	11.2 	12.7 	13.3 b	13.6 b	12.8 b	11.3 b	13.3 	12.7 	14.7 	15.0 	15.2 
THS,F,Y25-64,ED0-2,AT12	45.5 	51.1 b	50.7 	57.8 	54.8 	49.5 	53.9 	54.4 	63.7 b	59.2 b	51.1 b	51.6 b	58.8 	59.4 	55.7 	63.6 	65.5 
THS,F,Y25-64,ED0-2,AT13	47.3 	45.5 b	49.1 	52.5 	54.7 	54.9 	54.5 	57.3 	66.1 b	60.9 b	58.4 b	60.5 b	69.7 	69.1 	70.8 	66.0 	72.7 
THS,F,Y25-64,ED0-2,AT2	43.6 	45.5 b	51.3 	45.2 	47.7 	51.8 	51.3 	53.7 	54.7 b	54.1 b	51.2 b	46.5 b	55.7 	51.5 	53.7 	63.0 	61.4 
THS,F,Y25-64,ED0-2,AT21	12.9 	12.2 b	13.2 	12.7 	13.2 	13.6 	12.4 	13.4 	14.3 b	14.2 b	14.5 b	14.1 b	12.2 	10.3 	15.1 	18.7 	17.5 
THS,F,Y25-64,ED0-2,AT22	30.7 	33.4 b	38.1 	32.6 	34.6 	38.2 	38.9 	40.3 	40.4 b	39.9 b	36.7 b	32.4 b	43.5 	41.2 	38.6 	44.3 	43.9 
THS,F,Y25-64,ED0-2,AT3	102.6 	108.4 b	109.5 	109.9 	112.9 	115.5 	123.5 	127.1 	133.0 b	126.2 b	110.0 b	113.8 b	124.7 	125.5 	125.3 	132.6 	139.3 
THS,F,Y25-64,ED0-2,AT31	50.0 	56.0 b	56.3 	55.4 	56.9 	58.0 	62.2 	62.9 	66.2 b	61.7 b	54.1 b	55.5 b	65.1 	66.3 	67.8 	67.5 	74.0 
THS,F,Y25-64,ED0-2,AT32	12.6 	13.9 b	15.2 	14.8 	13.5 	14.3 	16.2 	18.8 	20.4 b	18.6 b	17.5 b	18.7 b	17.6 	20.5 	21.2 	21.9 	21.4 
THS,F,Y25-64,ED0-2,AT33	27.8 	26.0 b	25.5 	26.0 	27.7 	28.2 	30.4 	30.2 	31.0 b	29.8 b	23.0 b	25.7 b	25.9 	23.0 	21.1 	25.1 	27.0 
THS,F,Y25-64,ED0-2,AT34	12.3 	12.6 b	12.5 	13.7 	14.7 	14.9 	14.7 	15.2 	15.3 b	16.1 b	15.4 b	13.9 b	16.2 	15.8 	15.2 	18.0 	16.9 
THS,F,Y25-64,ED0-2,BE	318.3 	331.5 b	339.0 	341.1 	348.6 b	375.8 	359.2 	378.9 b	401.1 	399.9 	401.2 b	431.0 	429.5 	425.5 	431.9 b	464.4 	472.4 b
THS,F,Y25-64,ED0-2,BE1	42.7 	46.9 b	44.6 	41.4 	42.9 b	45.7 	42.5 	43.3 b	40.9 	39.1 	38.8 b	35.4 	40.1 	38.5 	42.6 b	42.1 	46.1 b
THS,F,Y25-64,ED0-2,BE10	42.7 	46.9 b	44.6 	41.4 	42.9 b	45.7 	42.5 	43.3 b	40.9 	39.1 	38.8 b	35.4 	40.1 	38.5 	42.6 b	42.1 	46.1 b
THS,F,Y25-64,ED0-2,BE2	173.0 	179.0 b	179.9 	185.6 	190.7 b	204.0 	199.0 	213.0 b	230.4 	225.7 	227.1 b	250.7 	252.0 	247.7 	245.6 b	271.6 	266.7 b
THS,F,Y25-64,ED0-2,BE21	48.5 	43.8 b	51.6 	46.2 	50.0 b	54.3 	48.8 	52.2 b	61.7 	59.4 	62.7 b	67.5 	56.7 	60.0 	59.4 b	70.5 	71.8 b
THS,F,Y25-64,ED0-2,BE22	20.9 	23.7 b	24.5 	27.0 	27.8 b	29.7 	30.2 	26.3 b	29.7 	31.5 	30.8 b	24.4 	31.8 	33.3 	35.7 b	31.8 	35.3 b
THS,F,Y25-64,ED0-2,BE23	42.1 	48.0 b	43.1 	46.4 	47.5 b	47.2 	49.3 	54.7 b	53.6 	52.6 	54.2 b	64.7 	69.1 	63.9 	62.1 b	62.8 	60.0 b
THS,F,Y25-64,ED0-2,BE24	25.1 	25.0 b	24.0 	25.7 	27.9 b	27.7 	26.4 	33.7 b	33.9 	33.1 	32.9 b	36.9 	37.5 	41.0 	34.1 b	38.3 	41.5 b
THS,F,Y25-64,ED0-2,BE25	36.4 	38.5 b	36.7 	40.4 	37.5 b	45.2 	44.3 	46.1 b	51.5 	49.0 	46.5 b	57.1 	56.9 	49.4 	54.3 b	68.2 	58.1 b
THS,F,Y25-64,ED0-2,BE3	102.6 	105.6 b	114.4 	114.1 	115.0 b	126.0 	117.7 	122.6 b	129.8 	135.2 	135.3 b	144.9 	137.5 	139.3 	143.7 b	150.7 	159.6 b
THS,F,Y25-64,ED0-2,BE31	6.3 	8.7 b	8.3 	8.1 	7.2 b	10.5 	9.8 	9.4 b	12.1 	9.7 	10.7 b	12.6 	8.3 u	13.1 	12.7 b	16.5 	11.7 b
