unit,age,sex,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS,Y15-24,F,AT	26.3 	26.8 	27.2 	25.2 	24.6 	25.0 	28.2 	24.0 	26.7 b	26.1 	27.5 b	29.5 b	15.8 	15.4 	13.3 	13.2 	16.0 
THS,Y15-24,F,AT1	13.8 	14.3 	14.2 	12.4 	12.9 	11.9 	13.6 	11.9 	11.9 b	12.7 	12.6 b	16.7 b	7.9 u	5.9 u	5.8 u	4.9 u	6.3 u
THS,Y15-24,F,AT11	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
THS,Y15-24,F,AT12	5.6 u	5.6 u	6.1 	3.4 u	4.1 u	3.5 u	5.5 u	5.0 u	4.5 bu	3.9 u	4.4 bu	7.1 bu	: u	: u	: u	: u	: u
THS,Y15-24,F,AT13	7.4 	7.9 	7.7 	8.2 	8.1 	7.6 	7.4 	6.2 	6.6 b	7.9 	7.1 b	8.6 b	4.2 u	: u	: u	: u	: u
THS,Y15-24,F,AT2	5.4 u	4.6 u	5.7 u	5.0 u	3.9 u	5.5 u	5.8 u	4.2 u	5.1 bu	5.3 u	5.7 bu	: bu	: u	: u	4.4 u	: u	: u
THS,Y15-24,F,AT21	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
THS,Y15-24,F,AT22	3.8 u	: u	4.2 u	3.1 u	: u	4.1 u	4.3 u	: u	3.3 bu	3.7 u	3.2 bu	: bu	: u	: u	: u	: u	: u
THS,Y15-24,F,AT3	7.2 	8.0 	7.3 	7.8 	7.8 	7.7 	8.7 	7.9 	9.6 b	8.1 	9.2 b	9.2 b	5.4 u	5.6 u	: u	4.3 u	6.9 u
THS,Y15-24,F,AT31	4.0 u	4.6 u	4.0 u	3.6 u	3.4 u	3.1 u	4.0 u	3.6 u	4.8 bu	3.2 u	3.9 bu	4.6 bu	: u	: u	: u	: u	4.1 u
THS,Y15-24,F,AT32	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
THS,Y15-24,F,AT33	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
THS,Y15-24,F,AT34	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: c	: u
THS,Y15-24,F,BE	35.2 	40.8 	41.5 	34.5 	36.5 b	43.2 	43.5 	36.9 	41.8 	45.3 	44.5 b	38.8 	31.0 	28.1 	30.5 b	36.3 	41.5 b
THS,Y15-24,F,BE1	5.0 u	5.0 	5.5 	5.5 	5.3 b	6.7 	5.6 	6.1 	6.0 	7.2 	5.6 b	: u	: u	: u	: bu	: u	: bu
THS,Y15-24,F,BE10	5.0 u	5.0 	5.5 	5.5 	5.3 b	6.7 	5.6 	6.1 	6.0 	7.2 	5.6 b	: u	: u	: u	: bu	: u	: bu
THS,Y15-24,F,BE2	14.5 	17.6 	19.2 	11.6 	15.2 b	18.2 	17.5 	11.5 	15.1 	16.5 	17.7 b	18.1 	14.3 	11.6 	9.9 bu	12.9 	17.3 b
