age,agedef,unit,sex,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
TOTAL,COMPLET,NR,F,AT	24746 	23360 	23623 	22287 	22085 	22170 	22864 	22194 	21264 	30451 	28761 	29233 	28825 	32174 b	31277 	28755 	29750 	27736 	29220 	27782 	: 	: 	: 	: 	: 	: 
TOTAL,COMPLET,NR,F,BE	38673 	40814 	42557 	39302 	35213 b	28989 b	: 	: 	37662 	36806 	36085 	35451 	33568 	32356 	31948 	32369 	31706 	31177 	19270 	18172 	17724 	17823 	20590 	16493 	16701 	16059 
TOTAL,COMPLET,NR,F,BG	14110 p	12980 p	9837 p	7779 bp	: 	: 	: 	: 	1839 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,COMPLET,NR,F,CH	52587 	49970 	47820 	46787 	43795 b	44888 	39533 	39682 	41682 	40911 	38901 	37965 	36707 	37544 	39021 	42934 	43509 	45438 	47429 	49431 	47906 	47994 	50693 	54906 	48728 	46218 
TOTAL,COMPLET,NR,F,CY	9788 	13581 	13317 	12032 	2737 	2472 	2797 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,COMPLET,NR,F,CZ	12318 	13918 	12165 b	20474 	25275 	23648 	22896 	21808 b	7773 	13108 	9519 	10534 	10452 	10133 	6930 	: 	: 	: 	486 	430 	330 	: 	: 	: 	: 	: 
TOTAL,COMPLET,NR,F,DE	136515 	130793 	105980 	100774 	105619 	109623 	124358 b	289542 	244887 	244992 	238133 	261270 	233789 	232491 	222605 	247240 	248108 	284719 	269374 	235170 	243853 	267589 	262588 	260490 	225465 	257578 
TOTAL,COMPLET,NR,F,DK	21857 	21768 	21288 	21421 	20065 	19925 	18470 	17859 b	19558 	21960 	21878 	21420 	20689 	20634 	20944 	20836 	19932 	19442 	18736 	18010 	16854 	16947 	16025 	16009 	16173 	15786 
TOTAL,COMPLET,NR,F,EE	5645 b	2475 	3618 	3276 	3277 	2774 	2568 	2347 b	2304 	3003 	2512 	1541 	1738 	1079 	1157 	969 	1046 	1357 	1941 	3353 	4717 	4712 	: 	: 	: 	: 
TOTAL,COMPLET,NR,F,EL	44086 	39866 	42130 	44160 	33429 	29093 	19051 	18932 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
