unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PCH_PRE,AT	0.3 	0.5 	0.6 	3.1 	2.0 	-4.2 	1.7 	3.7 	3.7 	2.2 	2.9 	0.9 	1.6 	1.5 	3.9 
PCH_PRE,BE	1.3 	0.0 	0.1 	2.1 	2.5 	-2.3 	1.2 	3.4 	2.4 	2.2 	3.2 	1.1 	1.4 	1.5 	3.4 
PCH_PRE,BE1	1.0 	-1.2 	-0.3 	2.1 	1.3 	-2.7 	0.8 	1.8 	1.2 	3.2 	2.2 	: 	: 	: 	: 
PCH_PRE,BE10	1.0 	-1.2 	-0.3 	2.1 	1.3 	-2.7 	0.8 	1.8 	1.2 	3.2 	2.2 	: 	: 	: 	: 
PCH_PRE,BE2	1.5 	0.6 	0.5 	2.6 	2.4 	-1.7 	0.9 	4.2 	2.9 	2.2 	3.4 	: 	: 	: 	: 
PCH_PRE,BE21	0.5 	1.2 	0.1 	3.5 	3.0 	-2.3 	1.5 	4.0 	1.3 	3.2 	4.0 	: 	: 	: 	: 
PCH_PRE,BE22	2.8 	-0.3 	0.0 	3.4 	3.1 	-5.8 	2.0 	4.2 	3.9 	0.5 	1.8 	: 	: 	: 	: 
PCH_PRE,BE23	1.6 	0.1 	0.0 	2.0 	2.2 	0.1 	0.2 	4.8 	2.6 	1.6 	3.7 	: 	: 	: 	: 
PCH_PRE,BE24	1.7 	0.9 	2.0 	1.8 	0.9 	0.6 	0.9 	4.0 	4.5 	2.5 	3.4 	: 	: 	: 	: 
PCH_PRE,BE25	2.0 	0.4 	0.7 	2.1 	2.5 	-2.6 	-0.3 	4.1 	4.3 	1.5 	3.0 	: 	: 	: 	: 
PCH_PRE,BE3	1.3 	-0.7 	-0.6 	1.1 	3.7 	-3.3 	2.5 	2.7 	2.2 	1.4 	3.4 	: 	: 	: 	: 
PCH_PRE,BE31	3.8 	2.1 	-0.6 	-6.9 	13.4 	-3.3 	5.4 	3.9 	2.7 	2.6 	8.1 	: 	: 	: 	: 
PCH_PRE,BE32	0.3 	-1.2 	-0.6 	3.0 	1.8 	-5.0 	2.6 	2.5 	1.3 	0.8 	2.3 	: 	: 	: 	: 
PCH_PRE,BE33	0.9 	-1.0 	-0.2 	3.5 	1.4 	-2.4 	1.6 	3.0 	2.2 	1.2 	2.8 	: 	: 	: 	: 
PCH_PRE,BE34	1.6 	-1.0 	-1.7 	2.1 	2.1 	-2.5 	0.4 	0.8 	3.3 	2.3 	3.0 	: 	: 	: 	: 
PCH_PRE,BE35	1.6 	-1.6 	-0.9 	0.7 	3.0 	-1.4 	2.1 	2.1 	3.0 	1.4 	2.7 	: 	: 	: 	: 
PCH_PRE,BEZ	0.9 	-5.7 	2.8 	-2.0 	19.3 	1.9 	1.3 	-1.3 	-5.5 	-18.8 	-29.3 	: 	: 	: 	: 
PCH_PRE,BEZZ	0.9 	-5.7 	2.8 	-2.0 	19.3 	1.9 	1.3 	-1.3 	-5.5 	-18.8 	-29.3 	: 	: 	: 	: 
PCH_PRE,BG	1.8 	1.1 	-0.7 	1.8 	0.1 	-1.9 	5.6 	7.8 	7.0 	6.7 	5.0 	3.9 	7.8 	4.3 	4.3 
PCH_PRE,CY	-2.7 	-6.0 	-2.4 	0.3 	1.3 	-2.1 	3.8 	5.0 	4.4 	3.8 	4.7 	3.0 	3.2 	3.6 	5.5 
PCH_PRE,CY0	-2.7 	-6.0 	-2.4 	0.3 	1.3 	-2.1 	3.8 	5.0 	4.4 	3.8 	4.7 	3.0 	3.2 	3.6 	5.5 
PCH_PRE,CY00	-2.7 	-6.0 	-2.4 	0.3 	1.3 	-2.1 	3.8 	5.0 	4.4 	3.8 	4.7 	3.0 	3.2 	3.6 	5.5 
PCH_PRE,CZ	2.7 	-0.5 	-0.7 	2.0 	2.9 	-5.5 	3.6 	5.2 	7.5 	6.6 	4.9 	3.0 	2.1 	3.1 	4.5 
PCH_PRE,CZ0	2.7 	-0.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,CZ01	2.7 	0.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,CZ02	3.1 	-1.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
