unit,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR_HAB,B5N,AT	: 	24500.00 	24500.00 	23500.00 	22700.00 	22700.00 	23300.00 	22600.00 	21500.00 	20500.00 	19600.00 	18800.00 	18400.00 	18300.00 	17900.00 
EUR_HAB,B5N,AT1	: 	24500.00 	24600.00 	23800.00 	23100.00 	23200.00 	23700.00 	23000.00 	21900.00 	21000.00 	20200.00 	19500.00 	19100.00 	19100.00 	18900.00 
EUR_HAB,B5N,AT11	: 	23300.00 	23500.00 	22400.00 	21700.00 	21600.00 	22000.00 	21400.00 	20400.00 	19300.00 	18500.00 	17200.00 	16500.00 	16200.00 	15800.00 
EUR_HAB,B5N,AT12	: 	25400.00 	25400.00 	24400.00 	23500.00 	23400.00 	24000.00 	23200.00 	22000.00 	20900.00 	20000.00 	19200.00 	18600.00 	18600.00 	18100.00 
EUR_HAB,B5N,AT13	: 	23900.00 	24100.00 	23500.00 	23000.00 	23300.00 	23800.00 	23100.00 	22100.00 	21300.00 	20700.00 	20200.00 	20100.00 	20200.00 	20200.00 
EUR_HAB,B5N,AT2	: 	23000.00 	23000.00 	22100.00 	21300.00 	21200.00 	21800.00 	21100.00 	20100.00 	19100.00 	18000.00 	17200.00 	16800.00 	16600.00 	16200.00 
EUR_HAB,B5N,AT21	: 	22400.00 	22500.00 	21500.00 	20900.00 	20800.00 	21300.00 	20800.00 	19800.00 	18800.00 	17700.00 	16900.00 	16300.00 	16200.00 	15800.00 
EUR_HAB,B5N,AT22	: 	23300.00 	23300.00 	22300.00 	21400.00 	21400.00 	22000.00 	21300.00 	20200.00 	19200.00 	18100.00 	17400.00 	17000.00 	16800.00 	16400.00 
EUR_HAB,B5N,AT3	: 	25300.00 	25100.00 	24000.00 	23000.00 	23100.00 	23600.00 	22900.00 	21800.00 	20800.00 	19800.00 	18900.00 	18400.00 	18200.00 	17900.00 
EUR_HAB,B5N,AT31	: 	24900.00 	24900.00 	23900.00 	22900.00 	22900.00 	23500.00 	22700.00 	21600.00 	20500.00 	19500.00 	18400.00 	17900.00 	17800.00 	17400.00 
EUR_HAB,B5N,AT32	: 	25400.00 	25300.00 	24200.00 	23300.00 	23400.00 	23900.00 	23200.00 	22000.00 	21100.00 	20000.00 	19200.00 	18700.00 	18600.00 	18400.00 
EUR_HAB,B5N,AT33	: 	24600.00 	24400.00 	23200.00 	22300.00 	22400.00 	22800.00 	22200.00 	21300.00 	20400.00 	19500.00 	18800.00 	18200.00 	17800.00 	17500.00 
EUR_HAB,B5N,AT34	: 	27700.00 	27300.00 	25900.00 	24600.00 	24500.00 	24900.00 	24200.00 	23400.00 	22100.00 	21200.00 	20400.00 	20000.00 	19900.00 	19600.00 
EUR_HAB,B5N,BE	: 	24000.00 	23900.00 	23500.00 	23000.00 	22800.00 	23200.00 	22100.00 	21200.00 	20400.00 	19800.00 	19400.00 	19400.00 	19200.00 	18400.00 
EUR_HAB,B5N,BE1	: 	21500.00 	21300.00 	21400.00 	21400.00 	21400.00 	21800.00 	20900.00 	19900.00 	19200.00 	19100.00 	19100.00 	: 	: 	: 
EUR_HAB,B5N,BE10	: 	21500.00 	21300.00 	21400.00 	21400.00 	21400.00 	21800.00 	20900.00 	19900.00 	19200.00 	19100.00 	19100.00 	: 	: 	: 
EUR_HAB,B5N,BE2	: 	26100.00 	26000.00 	25400.00 	25000.00 	24700.00 	25100.00 	24000.00 	22900.00 	22000.00 	21400.00 	21000.00 	: 	: 	: 
EUR_HAB,B5N,BE21	: 	25300.00 	25200.00 	24800.00 	24600.00 	24300.00 	24700.00 	23600.00 	22600.00 	21800.00 	21200.00 	20800.00 	: 	: 	: 
EUR_HAB,B5N,BE22	: 	23100.00 	22900.00 	22500.00 	22000.00 	21700.00 	22200.00 	21100.00 	20300.00 	19400.00 	18900.00 	18500.00 	: 	: 	: 
EUR_HAB,B5N,BE23	: 	26700.00 	26500.00 	25900.00 	25300.00 	25100.00 	25400.00 	24300.00 	23100.00 	22200.00 	21500.00 	21000.00 	: 	: 	: 
EUR_HAB,B5N,BE24	: 	30600.00 	30500.00 	29900.00 	29400.00 	29200.00 	29700.00 	28400.00 	27100.00 	26200.00 	25500.00 	25100.00 	: 	: 	: 
EUR_HAB,B5N,BE25	: 	24700.00 	24400.00 	23800.00 	23300.00 	22900.00 	23200.00 	22200.00 	21200.00 	20300.00 	19700.00 	19100.00 	: 	: 	: 
EUR_HAB,B5N,BE3	: 	21100.00 	20900.00 	20500.00 	20000.00 	19900.00 	20200.00 	19200.00 	18400.00 	17700.00 	17200.00 	16900.00 	: 	: 	: 
EUR_HAB,B5N,BE31	: 	28400.00 	28300.00 	27800.00 	27400.00 	27100.00 	27500.00 	26400.00 	25400.00 	24600.00 	24000.00 	23500.00 	: 	: 	: 
EUR_HAB,B5N,BE32	: 	18800.00 	18700.00 	18400.00 	18000.00 	17800.00 	18100.00 	17300.00 	16500.00 	15800.00 	15300.00 	15100.00 	: 	: 	: 
EUR_HAB,B5N,BE33	: 	20400.00 	20100.00 	19900.00 	19300.00 	19300.00 	19500.00 	18500.00 	17800.00 	17100.00 	16800.00 	16400.00 	: 	: 	: 
EUR_HAB,B5N,BE34	: 	22100.00 	21700.00 	21300.00 	20800.00 	20600.00 	21100.00 	20200.00 	19500.00 	18200.00 	17600.00 	17100.00 	: 	: 	: 
EUR_HAB,B5N,BE35	: 	22300.00 	22100.00 	21600.00 	21100.00 	20800.00 	21000.00 	20100.00 	19200.00 	18300.00 	17700.00 	17400.00 	: 	: 	: 
EUR_HAB,B5N,BG	: 	3200.00 	3100.00 	3000.00 	2700.00 	2600.00 	2800.00 	2300.00 	2000.00 	1800.00 	1600.00 	1500.00 	1400.00 	1200.00 	1100.00 
EUR_HAB,B5N,BG3	: 	2900.00 	2700.00 	2700.00 	2300.00 	2100.00 	2300.00 	2000.00 	1800.00 	1600.00 	1500.00 	1300.00 	1200.00 	1100.00 	900.00 
EUR_HAB,B5N,BG31	: 	2400.00 	2000.00 	2000.00 	2000.00 	1800.00 	2000.00 	1900.00 	1400.00 	1300.00 	1300.00 	1200.00 	1000.00 	1000.00 	800.00 
EUR_HAB,B5N,BG32	: 	2700.00 	2600.00 	2600.00 	2200.00 	2000.00 	2300.00 	2000.00 	1900.00 	1700.00 	1400.00 	1300.00 	1400.00 	1100.00 	900.00 
EUR_HAB,B5N,BG33	: 	3300.00 	3100.00 	2800.00 	2500.00 	2200.00 	2300.00 	2000.00 	1900.00 	1700.00 	1600.00 	1400.00 	1200.00 	1100.00 	1000.00 
EUR_HAB,B5N,BG34	: 	2900.00 	2900.00 	3100.00 	2600.00 	2300.00 	2600.00 	2100.00 	2000.00 	1700.00 	1600.00 	1500.00 	1300.00 	1100.00 	1000.00 
EUR_HAB,B5N,BG4	: 	3500.00 	3500.00 	3400.00 	3100.00 	3200.00 	3300.00 	2700.00 	2200.00 	2000.00 	1800.00 	1600.00 	1500.00 	1400.00 	1200.00 
EUR_HAB,B5N,BG41	: 	3900.00 	3900.00 	3800.00 	3500.00 	4000.00 	4000.00 	3200.00 	2600.00 	2300.00 	2100.00 	1900.00 	1800.00 	1700.00 	1400.00 
