"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)"
"AT",1,0.282509773050407,3.82422310859653e-57,2.19247139331171e-14,0.524828260944605,0.0935647485696213,1.96142082382285e-27,2.82209114481488e-45,5.83731765796045e-06,0.0990913749050774,5.21260938457165e-09
"BE",1,0.457614674958386,3.62423368685963e-47,3.04214685589716e-11,0.527567028290269,0.0147973652104819,2.00811035279156e-21,1.27173999457031e-36,1.78273097830286e-05,3.10420065879949e-06,5.20715676331243e-21
"BG",2,1.92928969286328e-31,0.999999999996418,6.77041085844494e-20,1.72081703862455e-33,2.09120128402594e-51,3.58160093389532e-12,2.30585219145113e-30,4.19420182483492e-49,1.96943387753324e-76,7.15917616516462e-126
"CY",1,0.445178930463452,4.30740072664279e-17,0.0633156260858591,0.150763491880329,0.00233174773825801,0.0303062995312282,0.000469702525560351,0.307634201775313,3.69181338839189e-20,2.2010514469165e-63
"CZ",3,0.205107333694888,1.0659741880039e-08,0.768736385908157,0.0168172969795285,5.19070983683706e-14,0.00933897275762843,1.81725555068338e-23,4.09268181761221e-15,3.6078774368029e-27,2.24310956353285e-55
"DE",4,0.514146862680991,7.75757245462572e-50,2.06746652145653e-12,0.485819791742449,2.25747440418086e-05,8.81449921636146e-25,7.90418350108281e-48,4.10909861106895e-10,1.07703788669741e-05,4.06735878318855e-11
"DK",5,0.0809244389056735,1.79202111914821e-55,4.74806244229085e-14,0.160998600053724,0.750874443177975,1.04445426713222e-25,3.65758763431695e-39,0.000550679644394735,0.00665183821818428,9.48031044466142e-16
"EE",6,0.000482060454726449,0.00120714522850922,0.349303046845794,2.66985901415053e-05,1.34859701894777e-17,0.648981048880829,6.53961737599332e-20,9.18249565803237e-18,1.50808106909979e-33,2.8083027658874e-67
"EL",7,2.23463245579397e-06,2.54063983834427e-15,5.47457530475197e-05,5.88327438258542e-07,1.67861127722437e-08,0.00770397146322005,0.992189627267357,4.88157703663033e-05,1.2248462660841e-28,2.44514371482785e-79
"ES",8,6.89502875308941e-14,8.81119620088843e-50,1.70374975950074e-19,1.67429301781644e-13,0.000123888863798862,1.82976394991918e-21,3.05877054396235e-07,0.99987580525891,6.73584545508018e-21,9.77311459785712e-71
"FI",5,0.0246621249226571,2.63116851513383e-45,3.81557539104753e-11,0.0347300125327968,0.845940935488573,6.30865380843583e-19,1.03502706876182e-25,0.0946668882257866,3.8792031230124e-08,4.8244027914081e-33
"FR",4,0.57174579682993,3.83543305362352e-37,4.10072840510999e-08,0.423648775041853,0.0044378005870618,3.36963035572377e-15,8.63785008244822e-27,0.000167586453696315,8.01707707243268e-11,3.70845160105221e-34
"HR",7,6.3530338523077e-16,1.00691012425566e-11,1.14054116066499e-10,8.22596619056254e-17,4.75864297235553e-20,6.04816586304288e-05,0.999939518217242,3.74497941991013e-15,1.07371123661931e-44,5.28432737661172e-104
"HU",2,3.75471872876573e-10,0.978224724708375,9.55666306458141e-05,1.17100274642702e-11,6.58860672772604e-26,0.0216797082737978,8.15700277316003e-22,1.77441902952421e-25,2.43440905201706e-44,4.62852608017086e-82
"IE",9,1.40465854284098e-06,1.66119062998907e-72,4.30800951354091e-22,7.10187059437028e-06,0.351983696022668,5.89011357205474e-36,1.36680008442513e-45,0.000184147357166668,0.647823650078758,1.2269747644387e-11
"IT",8,0.227896378527335,3.97558203764824e-31,2.88535760958576e-06,0.160870326949488,0.12516474736084,2.33941834653895e-10,1.55656807506464e-14,0.486065661570654,1.16328092812394e-13,1.01857956119387e-47
"LT",6,0.00020919272932883,0.000491175322746438,0.189960851668113,1.2668076096687e-05,4.02306226535638e-17,0.809326112203715,6.14738146260166e-18,6.6306421568708e-17,1.11545451805216e-33,2.59318587057342e-69
"LU",10,1.05251023875048e-135,0,9.15059105146529e-190,1.5444366639913e-131,6.18010455531724e-103,4.80349601782531e-237,1.73021113037274e-252,1.33283737269206e-117,8.58835822622846e-62,1
"LV",2,3.19738185042242e-11,0.878762358173742,3.0811321913977e-05,1.18656147216325e-12,5.85478537357784e-25,0.121206830471183,5.43230524470467e-16,2.08626579451122e-23,2.3883370222087e-45,9.33709408709624e-89
"MT",1,0.548416373759295,2.76464467752131e-11,0.388461142148596,0.0605111247257713,7.49734500705114e-12,0.00261135933011003,1.25943998868521e-21,1.08413247370349e-12,6.4554608741308e-25,4.34337691076998e-54
"NL",5,0.000132892347909538,3.61135182836177e-66,5.86388819994313e-19,0.000479056385506003,0.763462979594647,4.56599542279992e-32,3.31647620748914e-43,0.00042018822761722,0.235504883443212,1.10743748826216e-12
"PL",6,3.21267839652725e-08,0.141246180898571,0.00236434917424985,1.46234771001466e-09,2.19042830297872e-21,0.856389436338046,9.10768880331774e-16,2.98870273113514e-20,1.81408735448915e-40,2.25363120655035e-81
"PT",6,0.0685980963102585,1.0998638460302e-12,0.22310510216369,0.0151607110211701,2.4258514460464e-06,0.692804021464147,5.75182180193123e-05,0.000272124970169946,6.45623506738656e-24,2.19792646727352e-67
"RO",2,3.81705882790297e-21,0.999999188539231,1.98717276999607e-12,6.99598713736178e-23,5.53971229443604e-38,8.11458781585234e-07,3.87740214328486e-23,4.44673577121799e-36,1.25446794181256e-60,6.37620952169868e-107
"SE",5,7.70755933173506e-09,1.19827731214048e-68,4.28367933929486e-22,4.09210071580394e-08,0.897559243554567,1.05313399703888e-32,3.15842382855789e-33,0.102411830280373,2.88775364932955e-05,2.67367518207224e-28
"SI",3,0.160837804451894,2.52516834386212e-09,0.769225040876846,0.0167954446805923,5.21614533028728e-12,0.053141707457122,3.26448179844003e-18,3.16138923894337e-12,1.73545257392725e-26,4.93018017850012e-59
"SK",3,0.00659637977980937,7.95541347856911e-09,0.241362874980831,0.000816689413334065,4.21707474914525e-11,0.751224047116228,6.29586531560334e-11,6.49254652404358e-10,3.91948549179249e-28,7.1577487257369e-68
"UK",4,0.419960127510447,8.62800205878056e-41,3.88179926914336e-09,0.423509787352766,0.148784400152655,1.10796370937784e-16,2.68990413068141e-26,0.00774567472669357,6.3756394330234e-09,1.50174769633361e-32
