Sets to variables test for over-representation
76 variables tested, 30 have p < 0.05 
Selected set size: 4 
    Universe size: 28 
                 vars        pval       adjp odds       exp obs size
1         disp_income 0.001221001 0.01159951  Inf 0.4285714   3    3
2        earn_OC7_B-F 0.001221001 0.01159951  Inf 0.4285714   3    3
3        earn_OC8_B-F 0.001221001 0.01159951  Inf 0.4285714   3    3
4        earn_OC7_G-N 0.001221001 0.01159951  Inf 0.4285714   3    3
5        earn_OC2_P-S 0.001221001 0.01159951  Inf 0.4285714   3    3
6        earn_OC7_P-S 0.001221001 0.01159951  Inf 0.4285714   3    3
7        earn_OC9_P-S 0.001221001 0.01159951  Inf 0.4285714   3    3
8        expend_ED5-8 0.001221001 0.01159951  Inf 0.4285714   3    3
9        earn_OC2_B-F 0.004737485 0.04000543   69 0.5714286   3    4
10       earn_OC6_B-F 0.015873016 0.10966811  Inf 0.2857143   2    2
11       earn_OC6_P-S 0.015873016 0.10966811  Inf 0.2857143   2    2
12 emp_Y15-24_NaceO-Q 0.045177045 0.11444851   23 0.4285714   2    3
13                GDP 0.045177045 0.11444851   23 0.4285714   2    3
14           training 0.045177045 0.11444851   23 0.4285714   2    3
15       earn_OC1_B-F 0.045177045 0.11444851   23 0.4285714   2    3
16       earn_OC3_B-F 0.045177045 0.11444851   23 0.4285714   2    3
17       earn_OC4_B-F 0.045177045 0.11444851   23 0.4285714   2    3
18       earn_OC5_B-F 0.045177045 0.11444851   23 0.4285714   2    3
19       earn_OC9_B-F 0.045177045 0.11444851   23 0.4285714   2    3
20       earn_OC2_G-N 0.045177045 0.11444851   23 0.4285714   2    3
21       earn_OC3_G-N 0.045177045 0.11444851   23 0.4285714   2    3
22       earn_OC4_G-N 0.045177045 0.11444851   23 0.4285714   2    3
23       earn_OC5_G-N 0.045177045 0.11444851   23 0.4285714   2    3
24       earn_OC8_G-N 0.045177045 0.11444851   23 0.4285714   2    3
25       earn_OC9_G-N 0.045177045 0.11444851   23 0.4285714   2    3
26       earn_OC1_P-S 0.045177045 0.11444851   23 0.4285714   2    3
27       earn_OC3_P-S 0.045177045 0.11444851   23 0.4285714   2    3
28       earn_OC4_P-S 0.045177045 0.11444851   23 0.4285714   2    3
29       earn_OC5_P-S 0.045177045 0.11444851   23 0.4285714   2    3
30       earn_OC8_P-S 0.045177045 0.11444851   23 0.4285714   2    3
