Sets to variables test for over-representation
76 variables tested, 31 have p < 0.05 
Selected set size: 4 
    Universe size: 28 
                 vars         pval       adjp odds       exp obs size
1                 GDP 0.0007326007 0.01113553  Inf 0.8571429   4    6
2         disp_income 0.0007326007 0.01113553  Inf 0.8571429   4    6
3        earn_OC8_B-F 0.0007326007 0.01113553  Inf 0.8571429   4    6
4        earn_OC3_P-S 0.0007326007 0.01113553  Inf 0.8571429   4    6
5        earn_OC4_P-S 0.0007326007 0.01113553  Inf 0.8571429   4    6
6        earn_OC6_B-F 0.0012210012 0.01546602  Inf 0.4285714   3    3
7            rooms_pp 0.0034188034 0.03711844  Inf 1.1428571   4    8
8        earn_OC6_G-N 0.0047374847 0.04500611   69 0.5714286   3    4
9        earn_OC5_B-F 0.0114774115 0.05448029   33 0.7142857   3    5
10       earn_OC7_P-S 0.0114774115 0.05448029   33 0.7142857   3    5
11       expend_ED5-8 0.0114774115 0.05448029   33 0.7142857   3    5
12 emp_Y15-24_NaceR-U 0.0222222222 0.05448029   21 0.8571429   3    6
13           training 0.0222222222 0.05448029   21 0.8571429   3    6
14       earn_OC1_B-F 0.0222222222 0.05448029   21 0.8571429   3    6
15       earn_OC2_B-F 0.0222222222 0.05448029   21 0.8571429   3    6
16       earn_OC3_B-F 0.0222222222 0.05448029   21 0.8571429   3    6
17       earn_OC4_B-F 0.0222222222 0.05448029   21 0.8571429   3    6
18       earn_OC7_B-F 0.0222222222 0.05448029   21 0.8571429   3    6
19       earn_OC9_B-F 0.0222222222 0.05448029   21 0.8571429   3    6
20       earn_OC1_G-N 0.0222222222 0.05448029   21 0.8571429   3    6
21       earn_OC2_G-N 0.0222222222 0.05448029   21 0.8571429   3    6
22       earn_OC3_G-N 0.0222222222 0.05448029   21 0.8571429   3    6
23       earn_OC4_G-N 0.0222222222 0.05448029   21 0.8571429   3    6
24       earn_OC5_G-N 0.0222222222 0.05448029   21 0.8571429   3    6
25       earn_OC7_G-N 0.0222222222 0.05448029   21 0.8571429   3    6
26       earn_OC8_G-N 0.0222222222 0.05448029   21 0.8571429   3    6
27       earn_OC9_G-N 0.0222222222 0.05448029   21 0.8571429   3    6
28       earn_OC1_P-S 0.0222222222 0.05448029   21 0.8571429   3    6
29       earn_OC2_P-S 0.0222222222 0.05448029   21 0.8571429   3    6
30       earn_OC5_P-S 0.0222222222 0.05448029   21 0.8571429   3    6
31       earn_OC9_P-S 0.0222222222 0.05448029   21 0.8571429   3    6
