Sets to variables test for over-representation
76 variables tested, 10 have p < 0.05 
Selected set size: 2 
    Universe size: 28 
                 vars       pval      adjp odds       exp obs size
1              emp_PT 0.03968254 0.3015873  Inf 0.4285714   2    6
2          emp_Y15-24 0.03968254 0.3015873  Inf 0.4285714   2    6
3          emp_Y25-64 0.03968254 0.3015873  Inf 0.4285714   2    6
4    emp_Y15-24_NaceF 0.03968254 0.3015873  Inf 0.4285714   2    6
5  emp_Y15-24_NaceG-I 0.03968254 0.3015873  Inf 0.4285714   2    6
6    emp_Y25-64_NaceL 0.03968254 0.3015873  Inf 0.4285714   2    6
7  emp_Y15-24_NaceM_N 0.03968254 0.3015873  Inf 0.4285714   2    6
8  emp_Y25-64_NaceM_N 0.03968254 0.3015873  Inf 0.4285714   2    6
9  emp_Y25-64_NaceO-Q 0.03968254 0.3015873  Inf 0.4285714   2    6
10           training 0.03968254 0.3015873  Inf 0.4285714   2    6
