Sets to variables test for over-representation
76 variables tested, 30 have p < 0.05 
Selected set size: 4 
    Universe size: 28 
                 vars         pval       adjp odds       exp obs size
1        earn_OC6_B-F 0.0002442002 0.01855922  Inf 0.7142857   4    5
2        earn_OC7_P-S 0.0034188034 0.02227106  Inf 1.1428571   4    8
3        expend_ED5-8 0.0034188034 0.02227106  Inf 1.1428571   4    8
4         disp_income 0.0061538462 0.02227106  Inf 1.2857143   4    9
5        earn_OC1_B-F 0.0061538462 0.02227106  Inf 1.2857143   4    9
6        earn_OC3_B-F 0.0061538462 0.02227106  Inf 1.2857143   4    9
7        earn_OC4_B-F 0.0061538462 0.02227106  Inf 1.2857143   4    9
8        earn_OC7_B-F 0.0061538462 0.02227106  Inf 1.2857143   4    9
9        earn_OC8_B-F 0.0061538462 0.02227106  Inf 1.2857143   4    9
10       earn_OC9_B-F 0.0061538462 0.02227106  Inf 1.2857143   4    9
11       earn_OC1_G-N 0.0061538462 0.02227106  Inf 1.2857143   4    9
12       earn_OC3_G-N 0.0061538462 0.02227106  Inf 1.2857143   4    9
13       earn_OC4_G-N 0.0061538462 0.02227106  Inf 1.2857143   4    9
14       earn_OC7_G-N 0.0061538462 0.02227106  Inf 1.2857143   4    9
15       earn_OC8_G-N 0.0061538462 0.02227106  Inf 1.2857143   4    9
16       earn_OC1_P-S 0.0061538462 0.02227106  Inf 1.2857143   4    9
17       earn_OC2_P-S 0.0061538462 0.02227106  Inf 1.2857143   4    9
18       earn_OC3_P-S 0.0061538462 0.02227106  Inf 1.2857143   4    9
19       earn_OC4_P-S 0.0061538462 0.02227106  Inf 1.2857143   4    9
20       earn_OC5_P-S 0.0061538462 0.02227106  Inf 1.2857143   4    9
21       earn_OC9_P-S 0.0061538462 0.02227106  Inf 1.2857143   4    9
22             emp_PT 0.0102564103 0.02886990  Inf 1.4285714   4   10
23   emp_Y25-64_NaceK 0.0102564103 0.02886990  Inf 1.4285714   4   10
24 emp_Y25-64_NaceM_N 0.0102564103 0.02886990  Inf 1.4285714   4   10
25 emp_Y25-64_NaceR-U 0.0102564103 0.02886990  Inf 1.4285714   4   10
26                GDP 0.0102564103 0.02886990  Inf 1.4285714   4   10
27           training 0.0102564103 0.02886990  Inf 1.4285714   4   10
28           rooms_pp 0.0161172161 0.04374673  Inf 1.5714286   4   11
29       earn_OC6_G-N 0.0222222222 0.05629630   21 0.8571429   3    6
30       earn_OC6_P-S 0.0222222222 0.05629630   21 0.8571429   3    6
