"","X1vsX2","X1vsX3","X1vsX4","X1vsX5","X1vsX6","X1vsX7","X1vsX8","X1vsX9","X1vsX10","X2vsX3","X2vsX4","X2vsX5","X2vsX6","X2vsX7","X2vsX8","X2vsX9","X2vsX10","X3vsX4","X3vsX5","X3vsX6","X3vsX7","X3vsX8","X3vsX9","X3vsX10","X4vsX5","X4vsX6","X4vsX7","X4vsX8","X4vsX9","X4vsX10","X5vsX6","X5vsX7","X5vsX8","X5vsX9","X5vsX10","X6vsX7","X6vsX8","X6vsX9","X6vsX10","X7vsX8","X7vsX9","X7vsX10","X8vsX9","X8vsX10","X9vsX10"
"pop_Total",0.755433157737927,0.89623020874698,0.00197823147835413,0.733882870106129,0.755433157737927,0.806758517009144,0.0113819196957801,0.944199067601084,0.780740832018989,0.780740832018989,0.00271365265439642,0.952918797011109,0.806758517009144,0.806758517009144,0.0173862967197449,0.806758517009144,0.755433157737927,0.00386918383196942,0.755433157737927,0.786064714150874,0.806758517009144,0.020382832551468,0.864937650018625,0.755433157737927,0.00197823147835413,0.0173862967197449,0.0173862967197449,0.402677047228593,0.0869832276986468,0.084565856777608,0.806758517009144,0.806758517009144,0.0128657575562454,0.780740832018989,0.572205845132626,0.806758517009144,0.126033141517911,0.806758517009144,0.806758517009144,0.0953546167255324,0.806758517009144,0.771610802224769,0.409211229913874,0.402677047228593,NA
"pop_Y0-14",0.614440763252539,0.711357962392351,0.724441925547306,0.318969997236357,0.648397563218995,0.648397563218995,0.648397563218995,0.0881650352207852,0.688689675486492,0.648397563218995,0.614440763252539,0.017637259235706,0.724441925547306,0.888391737258403,0.851488785330732,0.017637259235706,0.283367405817601,0.648397563218995,0.017637259235706,0.875117484094035,0.322520572117856,0.648397563218995,0.017637259235706,0.151818237289538,0.875117484094035,0.648397563218995,0.648397563218995,0.648397563218995,0.53990901707295,0.962070482877149,0.0186134382903192,0.017637259235706,0.0475607945252675,0.017637259235706,0.784425509589165,0.688689675486492,0.688689675486492,0.017637259235706,0.318969997236357,0.888391737258403,0.0535269548653197,0.151818237289538,0.290554599921361,0.643549835128691,NA
"pop_Y15-24",0.335414714824103,0.354897844847975,0.649595370951327,0.916111384697757,0.601537784647104,0.489658966527617,0.335414714824103,0.649595370951327,0.914113750482929,0.92885706119712,0.601537784647104,0.263517826899867,0.649595370951327,0.944107490869659,0.354897844847975,0.914113750482929,0.601537784647104,0.649595370951327,0.335414714824103,0.695369188026311,0.92885706119712,0.649595370951327,0.916111384697757,0.746855090272455,0.613631763034783,0.92885706119712,0.714865318144937,0.349012688831503,0.914113750482929,0.924666813660161,0.601537784647104,0.335414714824103,0.0572524705176828,0.354897844847975,0.746855090272455,0.746855090272455,0.354897844847975,0.916111384697757,0.916111384697757,0.601537784647104,0.924666813660161,0.746855090272455,0.335414714824103,0.335414714824103,NA
"pop_Y25-64",0.175277885566851,0.0956243744179828,0.348855268749607,0.0956243744179828,0.600167690383507,0.86280842281135,0.435661915832803,0.600167690383507,0.197478925671786,0.131599377016315,0.131599377016315,0.014037213051549,0.600167690383507,0.197478925671786,0.854247834628494,0.178032801628312,0.332381908848693,0.115669621294533,0.014037213051549,0.197478925671786,0.128033623726891,0.333240591092927,0.197478925671786,0.810377907391509,0.600167690383507,0.332381908848693,0.492769833261116,0.348855268749607,0.796437071558568,0.348855268749607,0.111538475704577,0.115669621294533,0.111538475704577,0.348855268749607,0.111538475704577,0.777079940426502,0.796437071558568,0.600167690383507,0.524333207018004,0.588834794927213,0.492769833261116,0.291396993120463,0.600167690383507,0.62907373443007,NA
"pop_Y65-74",0.741346682940242,0.942625561701505,0.940555486629119,0.332710844203821,0.878032419483543,0.878032419483543,0.878032419483543,0.453524982537072,0.453524982537072,0.741346682940242,0.74745008311998,0.571209099631666,0.571209099631666,0.878032419483543,0.878032419483543,0.332710844203821,0.332710844203821,0.903032240615395,0.353528420365208,0.940555486629119,0.878032419483543,0.878032419483543,0.571209099631666,0.571209099631666,0.235978399273725,0.852294563922537,0.852294563922537,0.878032419483543,0.332710844203821,0.332710844203821,0.235978399273725,0.332710844203821,0.453524982537072,0.150837455218044,0.150837455218044,0.712406669014852,0.779505909967706,0.354720543812383,0.353528420365208,0.975997401344487,0.235978399273725,0.235978399273725,0.571209099631666,0.571209099631666,NA
"pop_YGE75",0.610571803819215,0.610571803819215,0.412728482564919,0.718518800024296,0.432473271775641,0.40558034506714,0.40558034506714,0.412728482564919,0.615424973230231,0.409795284026259,0.414378352841355,0.718518800024296,0.610571803819215,0.40558034506714,0.40558034506714,0.40558034506714,0.40558034506714,0.40558034506714,0.412728482564919,0.40558034506714,0.40558034506714,0.40558034506714,0.587197887962613,0.878195826675748,0.408482253765878,0.718518800024296,0.718518800024296,0.615424973230231,0.40558034506714,0.412728482564919,0.466973657829536,0.40558034506714,0.40558034506714,0.40558034506714,0.40558034506714,0.582457000417481,0.463042126596496,0.40558034506714,0.412728482564919,0.868254200321388,0.412728482564919,0.465107124373215,0.412728482564919,0.432473271775641,NA
"ARPR",0.131040143635532,0.224857981783749,0.684218129787463,0.176872493051553,0.0479960317954993,0.0479960317954993,0.0479960317954993,0.432023418486049,0.432023418486049,0.108600713699177,0.256125159790421,0.0698481573031234,0.6689470091545,0.994275087153916,0.994275087153916,0.545660046700696,0.545660046700696,0.27821940131815,0.775324970533631,0.0486573235762457,0.108600713699177,0.108600713699177,0.43499863634141,0.43499863634141,0.238944614255354,0.176872493051553,0.176872493051553,0.176872493051553,0.81693871621914,0.81693871621914,0.0479960317954993,0.0479960317954993,0.0479960317954993,0.27821940131815,0.27821940131815,0.555276144633845,0.555276144633845,0.43499863634141,0.43499863634141,0.994275087153916,0.440908572425674,0.440908572425674,0.440908572425674,0.440908572425674,NA
"low_work",0.867987207150412,0.275725424552851,0.91097393269662,0.555416165612902,0.429095137882568,0.197309281704955,0.354443244651705,0.15857049972475,0.354443244651705,0.31298485937318,0.91097393269662,0.68490255647003,0.517311279556441,0.183994560461522,0.31298485937318,0.15857049972475,0.37808656627089,0.15857049972475,0.429095137882568,0.555416165612902,0.115377884385149,0.15857049972475,0.115377884385149,0.376454707419549,0.578677322758563,0.429095137882568,0.15857049972475,0.31298485937318,0.15857049972475,0.275725424552851,0.798175562947186,0.15857049972475,0.248844249821246,0.15857049972475,0.429095137882568,0.15857049972475,0.197309281704955,0.15857049972475,0.455399306070236,0.778144499597848,0.408716084363179,0.311194072189487,0.502272083151518,0.429095137882568,NA
"rooms_pp",0.00994790095903892,0.071883141269476,0.502577527159109,0.559551474620041,0.103465118916172,0.0704482491000006,0.373213857037058,0.937599314669587,0.937599314669587,0.230358063249967,0.00169883898215331,0.00038204014737529,0.158006869355257,0.801224913264262,0.113317156023157,0.0210656104385535,0.0210656104385535,0.0704482491000006,0.0210656104385535,0.608746849635883,0.445182648144742,0.388689177411989,0.222734309428167,0.222734309428167,0.456064134967179,0.158006869355257,0.0109465237165297,0.502577527159109,0.230358063249967,0.230358063249967,0.0720281351983003,0.00169883898215331,0.332366669146169,0.222734309428167,0.222734309428167,0.317765922345922,0.558394688748159,0.260634394111719,0.260634394111719,0.296831691115437,0.158006869355257,0.158006869355257,0.608746849635883,0.608746849635883,NA
"mat_depriv",0.0297638680508017,0.827991061344464,0.471995366553307,0.140441628852849,0.766290687355243,0.232486933168582,0.927881483748958,0.941163896900087,0.392421963635988,0.0289641938904242,0.0289641938904242,0.0100676157803574,0.0289641938904242,0.326169243736081,0.0859009028382628,0.182177791958494,0.104501506723007,0.35466889648978,0.0330481961154025,0.392421963635988,0.140441628852849,0.6267917487468,0.845094509148074,0.209271982277032,0.0859009028382628,0.177538640685053,0.0980645451449182,0.306782844363208,0.381614748383956,0.233434079976023,0.0289641938904242,0.0289641938904242,0.0680847099365271,0.0859009028382628,0.604675824076708,0.182177791958494,0.842319621991383,0.753099016621328,0.182177791958494,0.337130440722993,0.507406189865128,0.381614748383956,0.888150420325593,0.398967480507158,NA
