"","X1vsX2","X1vsX3","X1vsX4","X1vsX5","X1vsX6","X1vsX7","X1vsX8","X1vsX9","X1vsX10","X2vsX3","X2vsX4","X2vsX5","X2vsX6","X2vsX7","X2vsX8","X2vsX9","X2vsX10","X3vsX4","X3vsX5","X3vsX6","X3vsX7","X3vsX8","X3vsX9","X3vsX10","X4vsX5","X4vsX6","X4vsX7","X4vsX8","X4vsX9","X4vsX10","X5vsX6","X5vsX7","X5vsX8","X5vsX9","X5vsX10","X6vsX7","X6vsX8","X6vsX9","X6vsX10","X7vsX8","X7vsX9","X7vsX10","X8vsX9","X8vsX10","X9vsX10"
"pop_Total",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"pop_Y0-14",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"pop_Y15-24",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"pop_Y25-64",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"pop_Y65-74",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"pop_YGE75",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"ARPR",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"low_work",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"rooms_pp",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"mat_depriv",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"ARPR_socexcl",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y15-24_ED0-2",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y25-64_ED0-2",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y15-24_ED3-4",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y25-64_ED3-4",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y15-24_ED5-8",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y25-64_ED5-8",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_FT",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_PT",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y15-24",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y25-64",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_YGE65",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y15-24_NaceA",5,4,4,5,5,3,3,2,NA,5,5,6,6,4,4,3,NA,4,5,5,3,3,2,NA,5,5,3,3,2,NA,6,4,4,3,NA,4,4,3,NA,2,1,NA,1,NA,NA
"emp_Y25-64_NaceA",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
