"","X1vsX2","X1vsX3","X1vsX4","X1vsX5","X1vsX6","X1vsX7","X1vsX8","X1vsX9","X1vsX10","X2vsX3","X2vsX4","X2vsX5","X2vsX6","X2vsX7","X2vsX8","X2vsX9","X2vsX10","X3vsX4","X3vsX5","X3vsX6","X3vsX7","X3vsX8","X3vsX9","X3vsX10","X4vsX5","X4vsX6","X4vsX7","X4vsX8","X4vsX9","X4vsX10","X5vsX6","X5vsX7","X5vsX8","X5vsX9","X5vsX10","X6vsX7","X6vsX8","X6vsX9","X6vsX10","X7vsX8","X7vsX9","X7vsX10","X8vsX9","X8vsX10","X9vsX10"
"pop_Total",0.367361533410539,0.851058792874701,7.08551638665124e-05,0.317369513020524,0.408864843518964,0.633962174696887,0.00125913174039282,0.922976852741506,0.495580714822267,0.476993636821094,0.000197605264677834,0.937065951879584,0.726900146370708,0.735017978762431,0.00356118040583482,0.583317192868003,0.353820088300965,0.000369180970163679,0.408596800374683,0.516161386428603,0.719642574058845,0.0045606133267462,0.803727493511667,0.383106397019818,9.44355060532235e-05,0.0034500901034632,0.00316821152680532,0.147080300750914,0.0243626953923052,0.0217026466217726,0.685942238853863,0.708622140771025,0.00171107967612394,0.480568237608221,0.234346222196693,0.687939459130817,0.04001751111354,0.683148628790873,0.554634204959161,0.0280309005577017,0.697064686334094,0.4380308191642,0.157156303504144,0.145582333218633,NA
"pop_Y0-14",0.287088587635572,0.553595523930642,0.574736339817383,0.0883565336960946,0.53459456370097,0.480940918507121,0.430795521906704,0.0228203420468266,0.438390924358155,0.454647315612108,0.258238060726149,0.00124828051623965,0.406429611326893,0.850988148386183,0.939004639134135,0.00283552851957089,0.0713904410786053,0.426952092962359,0.000809698139505424,0.927999698756489,0.399220450592651,0.49062331193413,0.00347168438563229,0.0463766238677102,0.760377762299918,0.35933956723939,0.475256471623611,0.448560678879835,0.236777377328829,0.919049858299734,0.00127446940985516,0.00111893984597509,0.00756785914625361,0.000946302699132282,0.866239561373865,0.518590632949952,0.466544334964939,0.00161623997502975,0.0642921865412299,0.823468665985041,0.0102229790396991,0.0350225605662435,0.0950288589282231,0.289730597689968,NA
"pop_Y15-24",0.0572530381734998,0.135981342088479,0.292430542400377,0.611013253615665,0.316488715192418,0.136154274884405,0.0237228137366311,0.363280708230882,0.608869910101208,0.885868107750932,0.401171050755336,0.0184488840889327,0.389824414249968,0.745747733885943,0.0356803792464749,0.825361646960936,0.341382471989508,0.519054622409082,0.10901963384519,0.471517977180739,0.930290785795336,0.252070975228421,0.868989624016543,0.60672265614424,0.278701914116422,0.938675916821646,0.442982031209684,0.0688284117615015,0.767103413397089,0.848950656174618,0.394108102371019,0.0445261236334856,0.000840234399610636,0.102036545694955,0.433639336593528,0.437349975591382,0.0768451543408325,0.755373358714324,0.902501524266203,0.183697485562869,0.785874451491689,0.525616254781867,0.0423083077919805,0.030688119199037,NA
"pop_Y25-64",0.113830537160651,0.0104921116260339,0.167570700224279,0.01182095990255,0.674544309140296,0.990682400511093,0.339245536930271,0.547016588727691,0.156091642119177,0.0274029827508942,0.0326974811418452,0.00094337152606167,0.454983352289572,0.108506687954625,0.931058805206643,0.0873761144422191,0.274859620125542,0.0169913805027036,0.000636365968700341,0.068829430146596,0.0201240864003319,0.156896069271071,0.0562536938628749,0.526616091410481,0.472182035654803,0.161314199741917,0.300046643048981,0.172018948739944,0.6946994520925,0.210971946121099,0.0207947835256862,0.0311071463594602,0.0207579242798853,0.213343014988663,0.026075117379335,0.754905998302983,0.66745896253209,0.559909988583068,0.416404344138549,0.420448749862158,0.388518041737451,0.159319707614298,0.48084445379435,0.642026311332143,NA
"pop_Y65-74",0.47520911405901,0.831740881971472,0.798870133006872,0.108013866394854,0.781616367928742,0.666459738662001,0.771928304551838,0.193282752095716,0.210910228149774,0.394065619017501,0.634987935739807,0.28997647153368,0.276977105108629,0.828222476162091,0.793240154006239,0.0807526913966362,0.0884871986458806,0.660512839650071,0.0956593763159279,0.993573415905207,0.56766631165005,0.682001132068807,0.315498892667016,0.336805236738047,0.11351811115389,0.556419239161743,0.791410581493073,0.919244274046774,0.141229404278584,0.152224193267111,0.0341964083991977,0.0935773829244732,0.25527609075737,0.00762196379163638,0.00838110125050062,0.416759001059688,0.575258437383671,0.150113029705984,0.16716991816269,0.932277890476298,0.0391008616089961,0.0408488938608289,0.354381088060928,0.367475189186363,NA
"pop_YGE75",0.429827805439042,0.563531529542478,0.154167109898209,0.57139987832532,0.257773143078237,0.147379559301525,0.0877612030200919,0.241329478115116,0.617041967327667,0.156157975765496,0.200392217446308,0.70010435121989,0.497553942381478,0.128207592667181,0.0504848412728308,0.0311780078550505,0.139617008064279,0.0903580555980142,0.212620862389267,0.127855722997286,0.113697844615153,0.0728976363160091,0.425625979509732,0.910464894822508,0.137836306922328,0.614391501742345,0.692268363256361,0.44183500990069,0.0971094623158273,0.19606789427961,0.357468082638816,0.0954483437939823,0.0373354190916589,0.0358672836009127,0.175144604093616,0.425262459582573,0.251380230060908,0.0909511707224132,0.24139723562722,0.765786142963751,0.230825455020235,0.322796119449819,0.170123495686263,0.234160582652941,NA
"ARPR",0.0357382209915088,0.0868769475073576,0.590915657543718,0.0575649137629583,0.00654491342665899,0.00531587153632927,0.00559625882846134,0.235649137356027,0.235649137356027,0.0271501784247943,0.110599500818591,0.0126996649642043,0.562523621334466,0.994261277676403,0.994275087153916,0.421646399723265,0.421646399723265,0.139109700659075,0.687219860245718,0.00774093784167546,0.0260696683636478,0.0262773224586797,0.276817314035443,0.276817314035443,0.0977500694680995,0.0556331042437381,0.0640058160288689,0.0643172702005646,0.761238349204199,0.761238349204199,0.00210597998911875,0.00529315662146301,0.00541277611476869,0.13619017713993,0.13619017713993,0.45431684560951,0.443342593194464,0.272339050403001,0.272339050403001,0.981824189357809,0.313994410614073,0.313994410614073,0.320660779945945,0.320660779945945,NA
"low_work",0.828533243189029,0.10987134924683,0.903407208890326,0.467054502901758,0.305243896141284,0.0672645278539621,0.189429463090371,0.0372052673483419,0.19333267890093,0.153218383295202,0.91097393269662,0.607072720507526,0.411497608738078,0.0543620292272679,0.155732558695834,0.0335285855624931,0.223414789160071,0.0432464999249317,0.300499506175256,0.4591587089012,0.00512620338546115,0.0404018553295728,0.00524444929023403,0.213894720124744,0.499766778746032,0.312069191187323,0.0326026032696299,0.15649242968659,0.024806961112469,0.112796764589803,0.743754501837151,0.0283076227580231,0.0904888181168167,0.0221288189601744,0.287306204775209,0.0192734988656515,0.0654002768134247,0.0172858634103934,0.341549479552677,0.707404090543498,0.250803051768314,0.13437925844546,0.388119336980719,0.299950093345744,NA
"rooms_pp",0.000904354632639902,0.017970785317369,0.411199794948362,0.483249000808217,0.0305692396797781,0.0144576226827872,0.262946126548836,0.937599314669587,0.937599314669587,0.130885263210209,9.82232315384127e-05,8.68273062216567e-06,0.0602555691796047,0.764805599024978,0.0360554587346407,0.00383011098882791,0.00383011098882791,0.0160109657045456,0.0035612680335935,0.558110127413821,0.333886986108557,0.28268303811781,0.109129193625252,0.109129193625252,0.352413195201911,0.0607848180699374,0.00124392314960565,0.408461218285407,0.12961172022151,0.12961172022151,0.0196440368722637,0.000115829930601362,0.226613638054206,0.111367154714084,0.111367154714084,0.209436630637085,0.469559170083679,0.159934741841282,0.159934741841282,0.188892894346187,0.0646391738271508,0.0646391738271508,0.567241382615255,0.567241382615255,NA
"mat_depriv",0.00473516082626391,0.733901168009866,0.353996524914981,0.0484785460640679,0.661796502715892,0.116243466584291,0.906793268209209,0.941163896900087,0.276479110743537,0.00394966280323966,0.00234121999737444,0.000228809449553578,0.00330166574804627,0.185323433940955,0.0234275189558899,0.0764129142827248,0.0332504794118658,0.21763773193691,0.00600876293007318,0.275453426011224,0.0510696832192179,0.512829612611018,0.787474428978887,0.099879809723129,0.0221221321690683,0.068594474810134,0.0289736156109986,0.167336096925386,0.25151881143488,0.122022359987467,0.00323922531896496,0.00364660448586679,0.0139264179415624,0.0214663100495417,0.48099213278829,0.082808087253861,0.765745110901257,0.633287809431571,0.0812505526440182,0.199213442245405,0.392086601259417,0.244315691095436,0.84777994667443,0.290158167641569,NA
