"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",661900,3032000,4936000,5644000,7478000,17640000
"pop_Y0-14",11.42,13.79,15.19,15.59,17.02,25.43
"pop_Y15-24",7.25,10.59,11.4,11.21,12.25,13.79
"pop_Y25-64",49.06,51.97,54.71,54.38,56.52,60.39
"emp_Y25-64_ED0-2",1.845,7.196,10.66,11.22,14.25,35.51
"emp_Y25-64_ED3-4",12.09,29.89,36.09,35.18,42.2,55.65
"emp_Y25-64_ED5-8",9.101,19.87,25.24,24.95,29.74,44.68
"emp_FT",28.41,43.77,45.64,45.5,48.96,59.9
"emp_PT",1.355,6.915,11.46,12.34,16.89,33.71
"emp_Y15-24",10.59,22.21,30.84,33.39,44.13,60.98
"emp_Y25-64",47.48,68.85,73.28,71.62,76.8,82.97
"emp_YGE65",1.158,2.604,4.955,5.382,7.021,14.5
"emp_Y25-64_NaceB-E",2.687,9.642,11.93,12.32,15.49,24.06
"emp_Y25-64_NaceF",2.796,4.212,5.008,5.056,5.633,8.315
"emp_Y15-24_NaceG-I",2.964,7.782,10.84,11.84,14.73,28.51
"emp_Y25-64_NaceG-I",10.58,14.43,16,16.12,17.47,23.49
"emp_Y25-64_NaceJ",0.5533,1.31,1.827,2.084,2.585,5.662
"emp_Y25-64_NaceK",0.5927,1.408,1.979,2.07,2.533,5.719
"emp_Y25-64_NaceM_N",1.922,5.346,6.694,6.877,8.267,13.74
"emp_Y25-64_NaceO-Q",8.204,15.79,20.15,19.47,23.49,30.47
"emp_Y25-64_NaceR-U",1.086,2.867,3.538,3.549,4.082,7.264
"unemp_YGE25",1.957,3.508,4.541,5.654,6.324,21.27
"training",0.8,6.45,9.6,11.22,16.15,31.9
"earn_OC1_B-F",9.12,22.58,25.41,25.16,32.22,36.96
"earn_OC2_B-F",6.86,17.21,20.64,19.36,23.09,28.37
"earn_OC5_B-F",2.63,7.665,9.87,9.057,10.95,13.87
"earn_OC5_G-N",3.15,7.62,9.7,9.013,11.28,14.27
"earn_OC2_P-S",5.22,15.57,18.4,17.78,22.14,27.3
"earn_OC3_P-S",4.2,10.99,13.25,12.52,15.86,20.23
"earn_OC7_P-S",2.89,7.595,10.35,9.23,10.77,17.41
