"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.007798,0.037,0.06045,0.06918,0.09177,0.2169
"pop_Y0-14",0.1142,0.1379,0.1519,0.1559,0.1702,0.2543
"pop_Y15-24",0.0725,0.1059,0.114,0.1121,0.1225,0.1379
"pop_Y25-64",0.4906,0.5197,0.5471,0.5438,0.5652,0.6039
"emp_Y25-64_ED0-2",0.01845,0.07196,0.1066,0.1122,0.1425,0.3551
"emp_Y25-64_ED3-4",0.1209,0.2989,0.3609,0.3518,0.422,0.5565
"emp_Y25-64_ED5-8",0.09101,0.1987,0.2524,0.2495,0.2974,0.4468
"emp_FT",0.2841,0.4377,0.4564,0.455,0.4896,0.599
"emp_PT",0.01355,0.06915,0.1146,0.1234,0.1689,0.3371
"emp_Y15-24",0.1059,0.2221,0.3084,0.3339,0.4413,0.6098
"emp_Y25-64",0.4748,0.6885,0.7328,0.7162,0.768,0.8297
"emp_YGE65",0.01158,0.02604,0.04955,0.05382,0.07021,0.145
"emp_Y25-64_NaceB-E",0.02687,0.09642,0.1193,0.1232,0.1549,0.2406
"emp_Y25-64_NaceF",0.02796,0.04212,0.05008,0.05056,0.05633,0.08315
"emp_Y15-24_NaceG-I",0.02964,0.07782,0.1084,0.1184,0.1473,0.2851
"emp_Y25-64_NaceG-I",0.1058,0.1443,0.16,0.1612,0.1747,0.2349
"emp_Y25-64_NaceJ",0.005533,0.0131,0.01827,0.02084,0.02585,0.05662
"emp_Y25-64_NaceK",0.005927,0.01408,0.01979,0.0207,0.02533,0.05719
"emp_Y25-64_NaceM_N",0.01922,0.05346,0.06694,0.06877,0.08267,0.1374
"emp_Y25-64_NaceO-Q",0.08204,0.1579,0.2015,0.1947,0.2349,0.3047
"emp_Y25-64_NaceR-U",0.01086,0.02867,0.03538,0.03549,0.04082,0.07264
"unemp_YGE25",0.01957,0.03508,0.04541,0.05654,0.06324,0.2127
"training",0.008,0.0645,0.096,0.1122,0.1615,0.319
"earn_OC1_B-F",0.1965,0.585,0.6667,0.6596,0.8632,1
"earn_OC2_B-F",0.1313,0.43,0.529,0.4921,0.5997,0.7521
"earn_OC5_B-F",0.009235,0.1545,0.2182,0.1947,0.2494,0.3336
"earn_OC5_G-N",0.02424,0.1532,0.2133,0.1934,0.2589,0.3452
"earn_OC2_P-S",0.08398,0.3827,0.4644,0.4466,0.5723,0.7212
"earn_OC3_P-S",0.05455,0.2505,0.3157,0.2946,0.3911,0.5172
"earn_OC7_P-S",0.01674,0.1525,0.232,0.1997,0.2442,0.4358
