"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)","Prob(13)","Prob(14)","Prob(15)","Prob(16)","Prob(17)","Prob(18)","Prob(19)","Prob(21)","Prob(22)"
"AT1",1,0.705574574365275,1.41788492431452e-27,0.000802568180167136,0.26529627437382,4.52879147279808e-30,4.95522628490023e-21,1.18465540246207e-11,1.61172222354189e-11,0.0121468737589824,1.29427252874499e-07,4.52795061250292e-48,3.24106804786766e-16,6.61281977175531e-14,3.68052954811063e-53,4.60470571582763e-06,0.000164056703080439,7.76244941642057e-75,0.0160109184576771,2.8969450206931e-36
"AT2",1,0.909344761939792,1.50295178569973e-36,0.0358629064055732,0.00172800244103928,3.01768388013232e-20,2.36336138818429e-16,2.64719264185063e-05,0.0129496095019648,0.0400859159219623,2.78457499739026e-12,1.24208301754633e-59,2.99129618846036e-25,1.34062996437451e-17,8.55501914244474e-65,2.51237644050777e-17,3.39168090839187e-14,1.07755864972016e-88,2.33186043109671e-06,9.07195524164898e-22
"AT3",1,0.970420614937605,4.39935648323631e-44,0.000392302176335959,5.4417228078035e-05,7.77352929592636e-24,5.17322177092263e-30,5.57301099745839e-06,1.17855446460092e-10,0.00585062307282749,2.05679985520251e-07,1.29516228325504e-61,6.24454314316305e-29,5.6594459742762e-15,5.11389062085295e-68,1.0623070753581e-20,9.06097294436432e-18,1.31688539544168e-100,0.0163608314513963,0.00691543232491299
"BE1",2,5.28341068082111e-19,0.947565081053764,1.89199648510496e-09,0.000799782737839687,1.94387446841008e-21,2.24605473145406e-29,4.48448428265676e-21,2.56869623818211e-45,1.33165490490343e-08,1.17410766733314e-66,6.56802495942685e-10,0.0515763394649498,9.55500454637372e-09,3.26384375803795e-09,2.84317932811547e-07,4.44003152075322e-06,5.40437097970717e-05,2.36377439788032e-21,3.31399093144667e-155
"BE2",3,4.49676234381757e-11,1.03224947519107e-10,0.0521966881623999,0.889224724341998,2.59940269996985e-07,1.79196995027796e-22,1.35520970513646e-07,8.2486155836019e-29,0.0585772985100255,1.97022494263492e-57,4.74154329684592e-22,3.43190557966835e-09,8.89939809006632e-07,1.49041990393413e-22,5.69379067271047e-15,4.42317426958321e-12,6.7834464701701e-27,2.69910874811134e-16,5.08626015426664e-113
"BE3",4,5.12653843874102e-15,0.0126528859437344,0.0534591919143458,0.86624954144725,0.0542714833671419,1.4740598319809e-18,3.3728798824435e-08,2.54898372461224e-32,0.0133486175055502,1.07999143715102e-73,1.41834447291596e-13,1.68405772161347e-05,1.2945359005756e-06,2.92587438988643e-12,1.84901242357501e-15,2.46502412185286e-12,1.10974522225137e-07,2.28350719428223e-22,1.46047862104188e-145
"BG3",5,4.94608729224085e-30,1.54547278936205e-19,9.43051224492837e-13,2.19772053681904e-16,0.999999999999042,1.20409139010695e-15,1.25957660206248e-14,1.33949499183927e-30,1.03487708457587e-15,6.85977230706811e-101,8.28747138716865e-38,1.59437883169244e-26,3.42214626324249e-27,3.47811852597158e-35,2.87184010796076e-40,4.31187490244982e-35,2.59168389016942e-24,1.7365137238221e-45,3.59952681161737e-165
"BG4",5,7.01441383324877e-24,1.71962939078874e-16,1.38189287461303e-08,7.59687564954517e-12,0.999999971872469,1.42644617015858e-08,1.96526414568363e-11,6.80703300453044e-22,1.68906860092487e-11,7.65668422487827e-88,1.52687481098961e-37,2.18744729119935e-22,1.04942032269961e-24,1.53900452133199e-35,5.37356570906468e-33,3.97876202484016e-28,4.67574050409893e-26,3.2142205056772e-39,5.65331992464973e-151
"CZ0",6,7.57120974534656e-16,3.33333508204874e-15,1.28760215616166e-07,4.30252870466508e-08,2.27528499710313e-16,0.999999827011022,2.46483094567903e-15,3.94771674148731e-10,8.08621776883762e-10,1.07050115015079e-55,1.8353854580018e-43,2.7149146206964e-17,1.96888373517407e-26,1.71315608925772e-43,4.35262793006985e-17,7.54671780906748e-14,2.95358802798073e-38,7.23992444326796e-29,8.60166179497353e-122
"DE1",7,0.00619731391450686,7.83868556934712e-38,0.406521869783594,0.000367132327981128,1.40036409436433e-10,6.36245000172265e-20,0.363245627558591,1.20727259415635e-06,0.223666847466062,1.12023400288877e-25,5.22463394302176e-57,9.45180083905117e-28,2.94310409072525e-15,2.07454710506642e-61,3.72132454703083e-25,4.35069718370678e-21,6.62982184311136e-85,1.53663188265015e-09,3.17805212596495e-29
