"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y25_64_NaceB_E/2",-0.000274489576329251,5.68297012390139e-07,2,1.93346249968695e-06,0.00149766421316572
"emp_Y25_64_NaceB_E/3",0.000118169598372286,6.80189040649342e-08,2,1.93346249968695e-06,0.00051813339081672
"emp_Y25_64_NaceB_E/4",3.36625813857031e-06,3.89406648930086e-09,2,1.93346249968695e-06,0.000123973381519558
"emp_Y25_64_NaceB_E/5",0.00018298720745373,1.57019087390593e-07,2,1.93346249968695e-06,0.000787232455114276
"emp_Y25_64_NaceB_E/6",2.92522140941047e-06,2.71041438662419e-09,2,1.93346249968695e-06,0.000103429544691635
"emp_Y25_64_NaceB_E/7",1.64499358113274e-05,5.81866795565153e-09,2,1.93346249968695e-06,0.000151543932674867
"emp_Y25_64_NaceB_E/8",0.000395627167641867,1.4617899650019e-06,2,1.93346249968695e-06,0.0024019792649455
"emp_Y25_64_NaceB_E/9",6.80021423608094e-05,4.88238514301706e-07,2,1.93346249968695e-06,0.00138817041266074
"emp_Y25_64_NaceB_E/10",0.000147502565527494,1.3771744761004e-07,2,1.93346249968695e-06,0.000737260978805324
"emp_Y25_64_NaceB_E/11",-7.48026123169051e-05,4.24255806211204e-07,2,1.93346249968695e-06,0.00129401903028924
"emp_Y25_64_NaceB_E/12",3.01420014800309e-05,5.63964541224894e-08,2,1.93346249968695e-06,0.000471794273702045
"emp_Y25_64_NaceB_E/13",1.17557148949574e-05,7.12461572959592e-09,2,1.93346249968695e-06,0.000167690125069515
"emp_Y25_64_NaceB_E/14",3.88425823751463e-05,2.56024442857092e-08,2,1.93346249968695e-06,0.000317883130159893
"emp_Y25_64_NaceB_E/16",-0.000402641812462552,4.72744758973893e-06,2,1.93346249968695e-06,0.00431956613162156
"emp_Y25_64_NaceB_E/17",-0.000290627651239316,1.17580868763777e-06,2,1.93346249968695e-06,0.00215424502324184
"emp_Y25_64_NaceB_E/18",-0.000128555862505188,6.6634211743766e-07,2,1.93346249968695e-06,0.00162171822819157
"emp_Y25_64_NaceB_E/19",-0.000126025804143976,6.44505268820427e-07,2,1.93346249968695e-06,0.00159492403207068
"emp_Y25_64_NaceB_E/20",0.000215386099840076,2.23328474827025e-07,2,1.93346249968695e-06,0.000938855632214448
"pop_Y0_14/2",0.00029995573836029,3.60810205183797e-06,2,3.93090365144233e-06,0.00377368957670573
"pop_Y0_14/3",-0.000190680838353926,7.25456500384142e-07,2,3.93090365144233e-06,0.0016921250478667
"pop_Y0_14/4",0.000425675673691415,1.34612897886331e-06,2,3.93090365144233e-06,0.00230499561100104
"pop_Y0_14/5",0.000107762218182285,7.36380675622076e-07,2,3.93090365144233e-06,0.00170481774615689
"pop_Y0_14/6",0.000653408149711739,2.39880816625222e-06,2,3.93090365144233e-06,0.00307697895051885
"pop_Y0_14/7",0.000473736313126635,1.54699863727251e-06,2,3.93090365144233e-06,0.00247099423132413
"pop_Y0_14/8",-0.000173567463709457,2.92319510458249e-05,2,3.93090365144233e-06,0.0107412708373186
"pop_Y0_14/9",-0.000930371176906606,5.05752353100016e-06,2,3.93090365144233e-06,0.00446782055649842
"pop_Y0_14/10",-0.000294127306845333,1.81416484546562e-06,2,3.93090365144233e-06,0.00267587079412803
"pop_Y0_14/11",-2.00044610509028e-05,5.90670278824522e-07,2,3.93090365144233e-06,0.00152686037797172
"pop_Y0_14/12",0.000170817006126275,1.07848487444931e-06,2,3.93090365144233e-06,0.00206316420911268
"pop_Y0_14/13",-0.000455411043357516,2.1834561487457e-06,2,3.93090365144233e-06,0.00293561435739715
"pop_Y0_14/14",0.000609042805717262,2.92424910896464e-06,2,3.93090365144233e-06,0.00339730039077182
"pop_Y0_14/16",0.000336864979442867,5.94132823010406e-06,2,3.93090365144233e-06,0.00484248783986898
"pop_Y0_14/17",-6.77839064616047e-06,2.18894326673331e-08,2,3.93090365144233e-06,0.000293930070461082
"pop_Y0_14/18",0.000138622583766115,1.6183610445176e-06,2,3.93090365144233e-06,0.00252734467294869
"pop_Y0_14/19",0.000212565392520464,1.13291781842141e-06,2,3.93090365144233e-06,0.00211458900462658
"pop_Y0_14/20",4.12343791706306e-05,6.61289405599088e-07,2,3.93090365144233e-06,0.00161555797861893
"emp_Y25_64_NaceF/2",0.000352827766962121,1.11832137317607e-06,1,8.09638198892984e-06,0.00210092272406197
"emp_Y25_64_NaceF/3",0.000731996964604911,4.31271878061718e-06,1,8.09638198892984e-06,0.00412574456251994
"emp_Y25_64_NaceF/4",-0.000424796614225916,3.20883321069504e-06,1,8.09638198892984e-06,0.00355877341714777
"emp_Y25_64_NaceF/5",0.000652942244232476,4.73748287303029e-06,1,8.09638198892984e-06,0.00432414842353431
"emp_Y25_64_NaceF/6",-0.000724547003154348,4.21695840483015e-06,1,8.09638198892984e-06,0.00407968305423676
"emp_Y25_64_NaceF/7",-0.00138974178472805,1.02525169213505e-05,1,8.09638198892984e-06,0.00636124340052605
"emp_Y25_64_NaceF/8",0.000210617564768804,7.73259113609816e-06,1,8.09638198892984e-06,0.00552445308248365
"emp_Y25_64_NaceF/9",0.00265205906904885,3.46764382969091e-05,1,8.09638198892984e-06,0.0116988724978054
"emp_Y25_64_NaceF/10",-0.000127275965178906,1.05382880424639e-06,1,8.09638198892984e-06,0.00203944406417644
"emp_Y25_64_NaceF/11",0.000230260296084824,3.45314456311558e-05,1,8.09638198892984e-06,0.0116743886170485
"emp_Y25_64_NaceF/12",-0.00136284080124749,1.1146577282893e-05,1,8.09638198892984e-06,0.00663280961490032
"emp_Y25_64_NaceF/13",-0.000214642241394516,4.74885810946265e-06,1,8.09638198892984e-06,0.0043293366976425
"emp_Y25_64_NaceF/14",-0.000164427736924938,0.000409830127404032,1,8.09638198892984e-06,0.0402187627703347
"emp_Y25_64_NaceF/16",8.57904824117607e-05,2.30089401228632e-05,1,8.09638198892984e-06,0.00952960880279187
"emp_Y25_64_NaceF/17",-0.000284753317646428,4.45791942713852e-06,1,8.09638198892984e-06,0.0041946224153782
