Sets to variables test for over-representation
76 variables tested, 19 have p < 0.05 
Selected set size: 3 
    Universe size: 98 
                 vars       pval      adjp odds       exp obs size
1    emp_Y15-24_NaceF 0.02153903 0.1573743  Inf 0.8571429   3   28
2  emp_Y15-24_NaceM_N 0.02153903 0.1573743  Inf 0.8571429   3   28
3        earn_OC3_P-S 0.02402430 0.1573743  Inf 0.8877551   3   29
4        expend_ED5-8 0.02402430 0.1573743  Inf 0.8877551   3   29
5    emp_Y15-24_ED5-8 0.02669367 0.1573743  Inf 0.9183673   3   30
6  emp_Y15-24_NaceB-E 0.02955370 0.1573743  Inf 0.9489796   3   31
7        earn_OC4_B-F 0.02955370 0.1573743  Inf 0.9489796   3   31
8    emp_Y15-24_ED0-2 0.03261098 0.1573743  Inf 0.9795918   3   32
9  emp_Y15-24_NaceG-I 0.03261098 0.1573743  Inf 0.9795918   3   32
10        disp_income 0.03261098 0.1573743  Inf 0.9795918   3   32
11       earn_OC3_B-F 0.03261098 0.1573743  Inf 0.9795918   3   32
12       earn_OC4_P-S 0.03261098 0.1573743  Inf 0.9795918   3   32
13             emp_PT 0.03587208 0.1573743  Inf 1.0102041   3   33
14         emp_Y15-24 0.03587208 0.1573743  Inf 1.0102041   3   33
15   emp_Y25-64_NaceF 0.03587208 0.1573743  Inf 1.0102041   3   33
16                GDP 0.03587208 0.1573743  Inf 1.0102041   3   33
17           training 0.03587208 0.1573743  Inf 1.0102041   3   33
18       earn_OC1_G-N 0.03934357 0.1573743  Inf 1.0408163   3   34
19       earn_OC4_G-N 0.03934357 0.1573743  Inf 1.0408163   3   34
