Sets to variables test for under-representation
76 variables tested, 20 have p < 0.05 
Selected set size: 10 
    Universe size: 98 
                 vars        pval      adjp odds      exp obs size
1        earn_OC9_G-N 0.007676845 0.1559344    0 3.673469   0   36
2        earn_OC9_B-F 0.009125307 0.1559344    0 3.571429   0   35
3        earn_OC5_G-N 0.009125307 0.1559344    0 3.571429   0   35
4        earn_OC6_G-N 0.015063999 0.1559344    0 3.265306   0   32
5        earn_OC2_G-N 0.020759703 0.1559344    0 3.061224   0   30
6        earn_OC2_B-F 0.024278296 0.1559344    0 2.959184   0   29
7        earn_OC1_B-F 0.038285500 0.1559344    0 2.653061   0   26
8        earn_OC1_G-N 0.038285500 0.1559344    0 2.653061   0   26
9        earn_OC7_G-N 0.038285500 0.1559344    0 2.653061   0   26
10       earn_OC2_P-S 0.038285500 0.1559344    0 2.653061   0   26
11         pop_Y25-64 0.044362563 0.1559344    0 2.551020   0   25
12          pop_YGE75 0.044362563 0.1559344    0 2.551020   0   25
13   emp_Y25-64_ED0-2 0.044362563 0.1559344    0 2.551020   0   25
14   emp_Y25-64_ED3-4 0.044362563 0.1559344    0 2.551020   0   25
15             emp_FT 0.044362563 0.1559344    0 2.551020   0   25
16 emp_Y25-64_NaceB-E 0.044362563 0.1559344    0 2.551020   0   25
17        unemp_YGE25 0.044362563 0.1559344    0 2.551020   0   25
18       earn_OC3_B-F 0.044362563 0.1559344    0 2.551020   0   25
19       earn_OC3_G-N 0.044362563 0.1559344    0 2.551020   0   25
20       earn_OC4_G-N 0.044362563 0.1559344    0 2.551020   0   25
