Sets to variables test for over-representation
76 variables tested, 18 have p < 0.05 
Selected set size: 3 
    Universe size: 98 
                 vars        pval       adjp odds       exp obs size
1            rooms_pp 0.001880391 0.08119872  Inf 0.3979592   3   13
2  emp_Y15-24_NaceM_N 0.008744477 0.08119872  Inf 0.6428571   3   21
3        earn_OC7_P-S 0.011643962 0.08119872  Inf 0.7040816   3   23
4    emp_Y15-24_ED0-2 0.013307385 0.08119872  Inf 0.7346939   3   24
5  emp_Y15-24_NaceG-I 0.013307385 0.08119872  Inf 0.7346939   3   24
6  emp_Y25-64_NaceM_N 0.013307385 0.08119872  Inf 0.7346939   3   24
7        earn_OC8_G-N 0.013307385 0.08119872  Inf 0.7346939   3   24
8        earn_OC5_P-S 0.013307385 0.08119872  Inf 0.7346939   3   24
9        earn_OC6_P-S 0.013307385 0.08119872  Inf 0.7346939   3   24
10       earn_OC8_P-S 0.013307385 0.08119872  Inf 0.7346939   3   24
11             emp_PT 0.015122028 0.08119872  Inf 0.7653061   3   25
12         emp_Y15-24 0.015122028 0.08119872  Inf 0.7653061   3   25
13           training 0.015122028 0.08119872  Inf 0.7653061   3   25
14       earn_OC3_P-S 0.017094467 0.08119872  Inf 0.7959184   3   26
15       earn_OC4_P-S 0.017094467 0.08119872  Inf 0.7959184   3   26
16       expend_ED5-8 0.017094467 0.08119872  Inf 0.7959184   3   26
17       earn_OC5_B-F 0.021539028 0.09629213  Inf 0.8571429   3   28
18       earn_OC9_P-S 0.029553703 0.12478230  Inf 0.9489796   3   31
