Sets to variables test for over-representation
76 variables tested, 28 have p < 0.05 
Selected set size: 7 
    Universe size: 98 
                 vars         pval         adjp      odds      exp obs size
1        earn_OC4_B-F 2.501761e-05 0.0002581182       Inf 1.714286   7   24
2        earn_OC7_B-F 2.501761e-05 0.0002581182       Inf 1.714286   7   24
3        earn_OC8_B-F 2.501761e-05 0.0002581182       Inf 1.714286   7   24
4        earn_OC1_P-S 2.501761e-05 0.0002581182       Inf 1.714286   7   24
5         disp_income 3.474669e-05 0.0002581182       Inf 1.785714   7   25
6        earn_OC3_B-F 3.474669e-05 0.0002581182       Inf 1.785714   7   25
7        earn_OC3_G-N 3.474669e-05 0.0002581182       Inf 1.785714   7   25
8        earn_OC4_G-N 3.474669e-05 0.0002581182       Inf 1.785714   7   25
9        earn_OC1_B-F 4.754810e-05 0.0002581182       Inf 1.857143   7   26
10       earn_OC1_G-N 4.754810e-05 0.0002581182       Inf 1.857143   7   26
11       earn_OC7_G-N 4.754810e-05 0.0002581182       Inf 1.857143   7   26
12       earn_OC2_P-S 4.754810e-05 0.0002581182       Inf 1.857143   7   26
13       earn_OC3_P-S 4.754810e-05 0.0002581182       Inf 1.857143   7   26
14       earn_OC4_P-S 4.754810e-05 0.0002581182       Inf 1.857143   7   26
15       earn_OC6_B-F 7.386681e-05 0.0003742585 43.636364 1.214286   6   17
16       earn_OC2_B-F 1.128187e-04 0.0005358887       Inf 2.071429   7   29
17       earn_OC2_G-N 1.471548e-04 0.0006578684       Inf 2.142857   7   30
18       earn_OC9_P-S 1.900749e-04 0.0008025386       Inf 2.214286   7   31
19       earn_OC9_B-F 4.860719e-04 0.0018470734       Inf 2.500000   7   35
20       earn_OC5_G-N 4.860719e-04 0.0018470734       Inf 2.500000   7   35
21       earn_OC9_G-N 6.033996e-04 0.0021837321       Inf 2.571429   7   36
22       earn_OC6_P-S 7.449689e-04 0.0025735290 24.333333 1.714286   6   24
23       earn_OC6_G-N 4.566477e-03 0.0150892280 15.000000 2.285714   6   32
24 emp_Y15-24_NaceO-Q 7.314525e-03 0.0231626616 10.138889 1.642857   5   23
25   emp_Y15-24_ED0-2 9.043355e-03 0.0274917998  9.473684 1.714286   5   24
26          pop_YGE75 1.106188e-02 0.0300251071  8.875000 1.785714   5   25
27   emp_Y25-64_ED3-4 1.106188e-02 0.0300251071  8.875000 1.785714   5   25
28             emp_PT 1.106188e-02 0.0300251071  8.875000 1.785714   5   25
