Sets to variables test for over-representation
48 variables tested, 12 have p < 0.05 
Selected set size: 12 
    Universe size: 98 
                 vars         pval        adjp      odds      exp obs size
1            low_work 0.0001460162 0.007008777 20.500000 1.224490   6   10
2    emp_Y25-64_ED0-2 0.0016165986 0.038798366  8.117647 3.061224   8   25
3  emp_Y15-24_NaceR-U 0.0031949961 0.051119937  7.200000 2.571429   7   21
4  emp_Y25-64_NaceG-I 0.0105049981 0.100847981  5.288889 3.061224   7   25
5  emp_Y25-64_NaceR-U 0.0105049981 0.100847981  5.288889 3.061224   7   25
6                ARPR 0.0187320770 0.128448528  6.666667 1.224490   4   10
7        ARPR_socexcl 0.0187320770 0.128448528  6.666667 1.224490   4   10
8  emp_Y15-24_NaceG-I 0.0387108524 0.185812092  3.777778 2.938776   6   24
9        unemp_Y15-24 0.0387108524 0.185812092  3.777778 2.938776   6   24
10        unemp_YGE25 0.0387108524 0.185812092  3.777778 2.938776   6   24
11          pop_Total 0.0476179643 0.190471857  3.526316 3.061224   6   25
12         pop_Y25-64 0.0476179643 0.190471857  3.526316 3.061224   6   25
