Sets to variables test for over-representation
76 variables tested, 12 have p < 0.05 
Selected set size: 2 
    Universe size: 98 
                 vars       pval      adjp odds        exp obs size
1    emp_Y25-64_NaceJ 0.03597728 0.2571709  Inf 0.38775510   2   19
2    emp_Y25-64_NaceK 0.03597728 0.2571709  Inf 0.38775510   2   19
3         disp_income 0.03597728 0.2571709  Inf 0.38775510   2   19
4           pop_Total 0.03997475 0.2571709  Inf 0.40816327   2   20
5           pop_Y0-14 0.03997475 0.2571709  Inf 0.40816327   2   20
6    emp_Y25-64_ED5-8 0.03997475 0.2571709  Inf 0.40816327   2   20
7              emp_FT 0.03997475 0.2571709  Inf 0.40816327   2   20
8  emp_Y25-64_NaceM_N 0.03997475 0.2571709  Inf 0.40816327   2   20
9  emp_Y25-64_NaceR-U 0.03997475 0.2571709  Inf 0.40816327   2   20
10                GDP 0.03997475 0.2571709  Inf 0.40816327   2   20
11           training 0.03997475 0.2571709  Inf 0.40816327   2   20
12   emp_Y15-24_NaceL 0.04060593 0.2571709   95 0.04081633   1    2
