Sets to variables test for over-representation
76 variables tested, 23 have p < 0.05 
Selected set size: 5 
    Universe size: 98 
                 vars         pval        adjp     odds       exp obs size
1        earn_OC6_B-F 9.111944e-05 0.001897738      Inf 0.8673469   5   17
2  emp_Y15-24_NaceO-Q 1.261654e-04 0.001897738      Inf 0.9183673   5   18
3           pop_YGE75 2.282993e-04 0.001897738      Inf 1.0204082   5   20
4    emp_Y25-64_ED3-4 2.282993e-04 0.001897738      Inf 1.0204082   5   20
5    emp_Y25-64_NaceF 2.282993e-04 0.001897738      Inf 1.0204082   5   20
6        earn_OC2_B-F 2.282993e-04 0.001897738      Inf 1.0204082   5   20
7        earn_OC3_B-F 2.282993e-04 0.001897738      Inf 1.0204082   5   20
8        earn_OC4_B-F 2.282993e-04 0.001897738      Inf 1.0204082   5   20
9        earn_OC1_G-N 2.282993e-04 0.001897738      Inf 1.0204082   5   20
10       earn_OC1_B-F 2.996428e-04 0.001897738      Inf 1.0714286   5   21
11       earn_OC2_G-N 2.996428e-04 0.001897738      Inf 1.0714286   5   21
12       earn_OC4_G-N 2.996428e-04 0.001897738      Inf 1.0714286   5   21
13       earn_OC3_G-N 3.877730e-04 0.002105053      Inf 1.1224490   5   22
14       earn_OC3_P-S 3.877730e-04 0.002105053      Inf 1.1224490   5   22
15       earn_OC8_B-F 6.258792e-04 0.002798048      Inf 1.2244898   5   24
16       earn_OC1_P-S 6.258792e-04 0.002798048      Inf 1.2244898   5   24
17       earn_OC6_P-S 6.258792e-04 0.002798048      Inf 1.2244898   5   24
18       earn_OC7_G-N 9.686226e-04 0.003874491      Inf 1.3265306   5   26
19       earn_OC2_P-S 9.686226e-04 0.003874491      Inf 1.3265306   5   26
20       earn_OC9_P-S 2.501971e-03 0.009507489      Inf 1.5816327   5   31
21 emp_Y15-24_NaceB-E 4.680135e-03 0.016937631 20.80000 0.9693878   4   19
22         pop_Y65-74 5.793094e-03 0.020012506 19.25000 1.0204082   4   20
23   emp_Y15-24_ED0-2 4.864201e-02 0.160730124  7.21875 0.9693878   3   19
