Sets to variables test for over-representation
48 variables tested, 10 have p < 0.05 
Selected set size: 2 
    Universe size: 98 
                 vars        pval       adjp odds        exp obs size
1    emp_Y15-24_NaceK 0.001262361 0.05680623  Inf 0.08163265   2    4
2    emp_Y15-24_ED5-8 0.007574164 0.05680623  Inf 0.18367347   2    9
3           pop_Y0-14 0.009467705 0.05680623  Inf 0.20408163   2   10
4    emp_Y25-64_ED5-8 0.009467705 0.05680623  Inf 0.20408163   2   10
5    emp_Y25-64_NaceJ 0.009467705 0.05680623  Inf 0.20408163   2   10
6    emp_Y25-64_NaceK 0.009467705 0.05680623  Inf 0.20408163   2   10
7  emp_Y25-64_NaceM_N 0.009467705 0.05680623  Inf 0.20408163   2   10
8         disp_income 0.009467705 0.05680623  Inf 0.20408163   2   10
9                 GDP 0.011571639 0.06171541  Inf 0.22448980   2   11
10   emp_Y15-24_NaceL 0.020408163 0.09795918  Inf 0.02040816   1    1
