Sets to variables test for over-representation
76 variables tested, 11 have p < 0.05 
Selected set size: 3 
    Universe size: 98 
                 vars         pval        adjp odds       exp obs size
1        earn_OC6_P-S 0.0003681885 0.008566018  Inf 0.2448980   3    8
2  emp_Y15-24_NaceM_N 0.0005522828 0.008566018  Inf 0.2755102   3    9
3    emp_Y15-24_ED0-2 0.0007889754 0.008566018  Inf 0.3061224   3   10
4              emp_PT 0.0007889754 0.008566018  Inf 0.3061224   3   10
5          emp_Y15-24 0.0007889754 0.008566018  Inf 0.3061224   3   10
6  emp_Y15-24_NaceG-I 0.0007889754 0.008566018  Inf 0.3061224   3   10
7        earn_OC5_P-S 0.0007889754 0.008566018  Inf 0.3061224   3   10
8        earn_OC7_P-S 0.0014464549 0.010993057  Inf 0.3673469   3   12
9        earn_OC8_P-S 0.0014464549 0.010993057  Inf 0.3673469   3   12
10       expend_ED5-8 0.0014464549 0.010993057  Inf 0.3673469   3   12
11       earn_OC9_P-S 0.0018803913 0.012991795  Inf 0.3979592   3   13
