Sets to variables test for over-representation
48 variables tested, 11 have p < 0.05 
Selected set size: 3 
    Universe size: 98 
                 vars         pval       adjp  odds       exp obs size
1                ARPR 0.0007889754 0.01735746   Inf 0.3061224   3   10
2          mat_depriv 0.0007889754 0.01735746   Inf 0.3061224   3   10
3        ARPR_socexcl 0.0010848412 0.01735746   Inf 0.3367347   3   11
4    emp_Y15-24_NaceJ 0.0018803913 0.02256470   Inf 0.3979592   3   13
5    emp_Y15-24_NaceF 0.0087444772 0.06995582   Inf 0.6428571   3   21
6  emp_Y15-24_NaceR-U 0.0087444772 0.06995582   Inf 0.6428571   3   21
7  emp_Y15-24_NaceB-E 0.0116439617 0.07258574   Inf 0.7040816   3   23
8    emp_Y15-24_ED3-4 0.0133073848 0.07258574   Inf 0.7346939   3   24
9              emp_TF 0.0151220282 0.07258574   Inf 0.7653061   3   25
10   emp_Y25-64_NaceF 0.0151220282 0.07258574   Inf 0.7653061   3   25
11   emp_Y15-24_NaceK 0.0268251631 0.11705526 21.75 0.3061224   2   10
