"","v1","v2","cor"
"1127","emp_Y15-24_NaceA","emp_Y25-64_NaceA",0.945
"2266","mat_depriv","training",-0.923
"1225","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E",0.889
"2218","mat_depriv","disp_income",-0.857
"487","ARPR","ARPR_socexcl",0.855
"2253","GDP","disp_income",0.842
"490","mat_depriv","ARPR_socexcl",0.834
"2123","ARPR_socexcl","GDP",-0.816
"2265","rooms_pp","training",0.811
"2122","mat_depriv","GDP",-0.808
"980","emp_Y15-24","emp_Y25-64",0.806
"931","emp_TP","emp_Y15-24",0.797
"874","mat_depriv","emp_TP",-0.792
"1066","mat_depriv","emp_Y15-24_NaceA",0.769
"1800","emp_Y25-64_NaceA","emp_Y25-64_NaceM_N",-0.764
"1648","emp_Y15-24_ED5-8","emp_Y15-24_NaceL",0.762
"1649","emp_Y25-64_ED5-8","emp_Y15-24_NaceL",0.762
"2150","emp_Y25-64_NaceM_N","GDP",0.762
"2227","emp_TP","disp_income",0.76
"2219","ARPR_socexcl","disp_income",-0.758
"1067","ARPR_socexcl","emp_Y15-24_NaceA",0.756
"2135","emp_Y15-24_NaceA","GDP",-0.754
"685","emp_Y25-64_ED0-2","emp_Y25-64_ED3-4",-0.753
"441","rooms_pp","mat_depriv",-0.741
"1634","pop_Y0-14","emp_Y15-24_NaceL",0.738
"1635","pop_Y15-24","emp_Y15-24_NaceL",0.738
"1665","emp_Y15-24_NaceK","emp_Y15-24_NaceL",0.738
"1591","ARPR","emp_Y25-64_NaceK",-0.736
"1016","low_work","emp_YGE65",-0.735
"2217","rooms_pp","disp_income",0.733
"2009","emp_Y15-24_NaceR-U","emp_Y25-64_NaceR-U",0.728
"2231","emp_Y15-24_NaceA","disp_income",-0.728
"979","emp_TP","emp_Y25-64",0.727
"2131","emp_TP","GDP",0.727
"873","rooms_pp","emp_TP",0.724
"1167","emp_Y25-64_ED3-4","emp_Y15-24_NaceB-E",0.721
"2072","low_work","unemp_YGE25",0.72
"2119","ARPR","GDP",-0.717
"2121","rooms_pp","GDP",0.717
"2146","emp_Y25-64_NaceK","GDP",0.717
"1075","emp_TP","emp_Y15-24_NaceA",-0.714
"1215","emp_Y25-64_ED3-4","emp_Y25-64_NaceB-E",0.714
"2267","ARPR_socexcl","training",-0.713
"1799","emp_Y15-24_NaceA","emp_Y25-64_NaceM_N",-0.711
"971","ARPR_socexcl","emp_Y25-64",-0.701
"681","rooms_pp","emp_Y25-64_ED3-4",-0.7
"1640","low_work","emp_Y15-24_NaceL",-0.7
"2084","emp_Y15-24","unemp_YGE25",-0.7
"2136","emp_Y25-64_NaceA","GDP",-0.693
"1063","ARPR","emp_Y15-24_NaceA",0.688
