"","x"
"pop_Total",6444071148125.52
"pop_Y0-14",1.54553295649561
"pop_Y15-24",0.789832426302585
"pop_Y25-64",2.15529906433787
"pop_Y65-74",0.693304053149395
"pop_YGE75",1.01697299395351
"ARPR",39.5315555555556
"low_work",15.9838497732426
"rooms_pp",0.0285590277777778
"mat_depriv",17.2788911564626
"ARPR_socexcl",40.3908497732426
"emp_Y15-24_ED0-2",80.2069447574883
"emp_Y25-64_ED0-2",67.212482704673
"emp_Y15-24_ED3-4",77.1805429403205
"emp_Y25-64_ED3-4",60.6941843100134
"emp_Y15-24_ED5-8",43.7783774348807
"emp_Y25-64_ED5-8",44.3156127337454
"emp_TF",19.0375221790681
"emp_TP",5.68259295572707
"emp_Y15-24",55.3623219446751
"emp_Y25-64",26.5878604282027
"emp_YGE65",5.74713608139898
"emp_Y15-24_NaceA",99.4048859134553
"emp_Y25-64_NaceA",24.6427242857436
"emp_Y15-24_NaceB-E",33.4456916592209
"emp_Y25-64_NaceB-E",22.1092980301307
"emp_Y15-24_NaceF",4.13667531813215
"emp_Y25-64_NaceF",1.0509610689778
"emp_Y15-24_NaceG-I",48.210868353549
"emp_Y25-64_NaceG-I",11.7644002883284
"emp_Y15-24_NaceJ",1.34201242571109
"emp_Y25-64_NaceJ",1.43286427473079
"emp_Y15-24_NaceK",0.659096085690849
"emp_Y25-64_NaceK",0.832072369254308
"emp_Y15-24_NaceL",0.0295681052613889
"emp_Y25-64_NaceL",0.154109718228228
"emp_Y15-24_NaceM_N",3.4771810846243
"emp_Y25-64_NaceM_N",4.23522502080538
"emp_Y15-24_NaceO-Q",19.7074091749636
"emp_Y25-64_NaceO-Q",16.966105792602
"emp_Y15-24_NaceR-U",3.69226194354378
"emp_Y25-64_NaceR-U",1.63937992094562
"unemp_Y15-24",7.94444285999183
"unemp_YGE25",9.3344969773719
"GDP",18902837.7574806
"GVAgr",1.43942640692641
"disp_income",1507621.35642136
"training",6.84323169687455
