"","X1vsX2","X1vsX3","X1vsX4","X1vsX5","X1vsX6","X1vsX7","X1vsX8","X1vsX9","X1vsX10","X1vsX11","X1vsX12","X1vsX13","X1vsX14","X1vsX15","X1vsX16","X1vsX17","X1vsX18","X1vsX19","X1vsX20","X1vsX21","X2vsX3","X2vsX4","X2vsX5","X2vsX6","X2vsX7","X2vsX8","X2vsX9","X2vsX10","X2vsX11","X2vsX12","X2vsX13","X2vsX14","X2vsX15","X2vsX16","X2vsX17","X2vsX18","X2vsX19","X2vsX20","X2vsX21","X3vsX4","X3vsX5","X3vsX6","X3vsX7","X3vsX8","X3vsX9","X3vsX10","X3vsX11","X3vsX12","X3vsX13","X3vsX14","X3vsX15","X3vsX16","X3vsX17","X3vsX18","X3vsX19","X3vsX20","X3vsX21","X4vsX5","X4vsX6","X4vsX7","X4vsX8","X4vsX9","X4vsX10","X4vsX11","X4vsX12","X4vsX13","X4vsX14","X4vsX15","X4vsX16","X4vsX17","X4vsX18","X4vsX19","X4vsX20","X4vsX21","X5vsX6","X5vsX7","X5vsX8","X5vsX9","X5vsX10","X5vsX11","X5vsX12","X5vsX13","X5vsX14","X5vsX15","X5vsX16","X5vsX17","X5vsX18","X5vsX19","X5vsX20","X5vsX21","X6vsX7","X6vsX8","X6vsX9","X6vsX10","X6vsX11","X6vsX12","X6vsX13","X6vsX14","X6vsX15","X6vsX16","X6vsX17","X6vsX18","X6vsX19","X6vsX20","X6vsX21","X7vsX8","X7vsX9","X7vsX10","X7vsX11","X7vsX12","X7vsX13","X7vsX14","X7vsX15","X7vsX16","X7vsX17","X7vsX18","X7vsX19","X7vsX20","X7vsX21","X8vsX9","X8vsX10","X8vsX11","X8vsX12","X8vsX13","X8vsX14","X8vsX15","X8vsX16","X8vsX17","X8vsX18","X8vsX19","X8vsX20","X8vsX21","X9vsX10","X9vsX11","X9vsX12","X9vsX13","X9vsX14","X9vsX15","X9vsX16","X9vsX17","X9vsX18","X9vsX19","X9vsX20","X9vsX21","X10vsX11","X10vsX12","X10vsX13","X10vsX14","X10vsX15","X10vsX16","X10vsX17","X10vsX18","X10vsX19","X10vsX20","X10vsX21","X11vsX12","X11vsX13","X11vsX14","X11vsX15","X11vsX16","X11vsX17","X11vsX18","X11vsX19","X11vsX20","X11vsX21","X12vsX13","X12vsX14","X12vsX15","X12vsX16","X12vsX17","X12vsX18","X12vsX19","X12vsX20","X12vsX21","X13vsX14","X13vsX15","X13vsX16","X13vsX17","X13vsX18","X13vsX19","X13vsX20","X13vsX21","X14vsX15","X14vsX16","X14vsX17","X14vsX18","X14vsX19","X14vsX20","X14vsX21","X15vsX16","X15vsX17","X15vsX18","X15vsX19","X15vsX20","X15vsX21","X16vsX17","X16vsX18","X16vsX19","X16vsX20","X16vsX21","X17vsX18","X17vsX19","X17vsX20","X17vsX21","X18vsX19","X18vsX20","X18vsX21","X19vsX20","X19vsX21","X20vsX21"
"pop_Total",6,10,8,17,18,16,7,10,9,9,9,7,13,6,7,6,6,8,11,7,4,2,11,12,10,1,4,3,3,3,1,7,NA,1,NA,NA,2,5,1,6,15,16,14,5,8,7,7,7,5,11,4,5,4,4,6,9,5,13,14,12,3,6,5,5,5,3,9,2,3,2,2,4,7,3,23,21,12,15,14,14,14,12,18,11,12,11,11,13,16,12,22,13,16,15,15,15,13,19,12,13,12,12,14,17,13,11,14,13,13,13,11,17,10,11,10,10,12,15,11,5,4,4,4,2,8,1,2,1,1,3,6,2,7,7,7,5,11,4,5,4,4,6,9,5,6,6,4,10,3,4,3,3,5,8,4,6,4,10,3,4,3,3,5,8,4,4,10,3,4,3,3,5,8,4,8,1,2,1,1,3,6,2,7,8,7,7,9,12,8,1,NA,NA,2,5,1,1,1,3,6,2,NA,2,5,1,2,5,1,7,3,6
"pop_Y0-14",6,10,8,17,18,16,7,10,9,9,9,7,13,6,7,6,6,8,11,7,4,2,11,12,10,1,4,3,3,3,1,7,NA,1,NA,NA,2,5,1,6,15,16,14,5,8,7,7,7,5,11,4,5,4,4,6,9,5,13,14,12,3,6,5,5,5,3,9,2,3,2,2,4,7,3,23,21,12,15,14,14,14,12,18,11,12,11,11,13,16,12,22,13,16,15,15,15,13,19,12,13,12,12,14,17,13,11,14,13,13,13,11,17,10,11,10,10,12,15,11,5,4,4,4,2,8,1,2,1,1,3,6,2,7,7,7,5,11,4,5,4,4,6,9,5,6,6,4,10,3,4,3,3,5,8,4,6,4,10,3,4,3,3,5,8,4,4,10,3,4,3,3,5,8,4,8,1,2,1,1,3,6,2,7,8,7,7,9,12,8,1,NA,NA,2,5,1,1,1,3,6,2,NA,2,5,1,2,5,1,7,3,6
"pop_Y15-24",6,10,8,17,18,16,7,10,9,9,9,7,13,6,7,6,6,8,11,7,4,2,11,12,10,1,4,3,3,3,1,7,NA,1,NA,NA,2,5,1,6,15,16,14,5,8,7,7,7,5,11,4,5,4,4,6,9,5,13,14,12,3,6,5,5,5,3,9,2,3,2,2,4,7,3,23,21,12,15,14,14,14,12,18,11,12,11,11,13,16,12,22,13,16,15,15,15,13,19,12,13,12,12,14,17,13,11,14,13,13,13,11,17,10,11,10,10,12,15,11,5,4,4,4,2,8,1,2,1,1,3,6,2,7,7,7,5,11,4,5,4,4,6,9,5,6,6,4,10,3,4,3,3,5,8,4,6,4,10,3,4,3,3,5,8,4,4,10,3,4,3,3,5,8,4,8,1,2,1,1,3,6,2,7,8,7,7,9,12,8,1,NA,NA,2,5,1,1,1,3,6,2,NA,2,5,1,2,5,1,7,3,6
"pop_Y25-64",6,10,8,17,18,16,7,10,9,9,9,7,13,6,7,6,6,8,11,7,4,2,11,12,10,1,4,3,3,3,1,7,NA,1,NA,NA,2,5,1,6,15,16,14,5,8,7,7,7,5,11,4,5,4,4,6,9,5,13,14,12,3,6,5,5,5,3,9,2,3,2,2,4,7,3,23,21,12,15,14,14,14,12,18,11,12,11,11,13,16,12,22,13,16,15,15,15,13,19,12,13,12,12,14,17,13,11,14,13,13,13,11,17,10,11,10,10,12,15,11,5,4,4,4,2,8,1,2,1,1,3,6,2,7,7,7,5,11,4,5,4,4,6,9,5,6,6,4,10,3,4,3,3,5,8,4,6,4,10,3,4,3,3,5,8,4,4,10,3,4,3,3,5,8,4,8,1,2,1,1,3,6,2,7,8,7,7,9,12,8,1,NA,NA,2,5,1,1,1,3,6,2,NA,2,5,1,2,5,1,7,3,6
"pop_Y65-74",6,10,8,17,18,16,7,10,9,9,9,7,13,6,7,6,6,8,11,7,4,2,11,12,10,1,4,3,3,3,1,7,NA,1,NA,NA,2,5,1,6,15,16,14,5,8,7,7,7,5,11,4,5,4,4,6,9,5,13,14,12,3,6,5,5,5,3,9,2,3,2,2,4,7,3,23,21,12,15,14,14,14,12,18,11,12,11,11,13,16,12,22,13,16,15,15,15,13,19,12,13,12,12,14,17,13,11,14,13,13,13,11,17,10,11,10,10,12,15,11,5,4,4,4,2,8,1,2,1,1,3,6,2,7,7,7,5,11,4,5,4,4,6,9,5,6,6,4,10,3,4,3,3,5,8,4,6,4,10,3,4,3,3,5,8,4,4,10,3,4,3,3,5,8,4,8,1,2,1,1,3,6,2,7,8,7,7,9,12,8,1,NA,NA,2,5,1,1,1,3,6,2,NA,2,5,1,2,5,1,7,3,6
"pop_YGE75",6,10,8,17,18,16,7,10,9,9,9,7,13,6,7,6,6,8,11,7,4,2,11,12,10,1,4,3,3,3,1,7,NA,1,NA,NA,2,5,1,6,15,16,14,5,8,7,7,7,5,11,4,5,4,4,6,9,5,13,14,12,3,6,5,5,5,3,9,2,3,2,2,4,7,3,23,21,12,15,14,14,14,12,18,11,12,11,11,13,16,12,22,13,16,15,15,15,13,19,12,13,12,12,14,17,13,11,14,13,13,13,11,17,10,11,10,10,12,15,11,5,4,4,4,2,8,1,2,1,1,3,6,2,7,7,7,5,11,4,5,4,4,6,9,5,6,6,4,10,3,4,3,3,5,8,4,6,4,10,3,4,3,3,5,8,4,4,10,3,4,3,3,5,8,4,8,1,2,1,1,3,6,2,7,8,7,7,9,12,8,1,NA,NA,2,5,1,1,1,3,6,2,NA,2,5,1,2,5,1,7,3,6
"ARPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,7,NA,NA,3,3,3,2,1,1,NA,NA,1,3,5,NA,NA,14,NA,NA,10,10,10,9,8,8,NA,NA,8,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,7,6,6,NA,NA,6,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,2,NA,NA,2,4,6,NA,4,3,2,2,NA,NA,2,4,6,NA,3,2,2,NA,NA,2,4,6,NA,1,1,NA,NA,1,3,5,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,6,NA,NA
"low_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,7,NA,NA,3,3,3,2,1,1,NA,NA,1,3,5,NA,NA,14,NA,NA,10,10,10,9,8,8,NA,NA,8,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,7,6,6,NA,NA,6,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,2,NA,NA,2,4,6,NA,4,3,2,2,NA,NA,2,4,6,NA,3,2,2,NA,NA,2,4,6,NA,1,1,NA,NA,1,3,5,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,6,NA,NA
"rooms_pp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,9,NA,NA,3,4,3,2,1,1,NA,NA,1,3,6,NA,8,16,NA,NA,10,11,10,9,8,8,NA,NA,8,10,13,NA,8,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,10,11,10,9,8,8,NA,NA,8,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,2,2,NA,NA,2,4,7,NA,5,4,3,3,NA,NA,3,5,8,NA,3,2,2,NA,NA,2,4,7,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,7,NA,NA
"mat_depriv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,7,NA,NA,3,3,3,2,1,1,NA,NA,1,3,5,NA,NA,14,NA,NA,10,10,10,9,8,8,NA,NA,8,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,7,6,6,NA,NA,6,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,2,NA,NA,2,4,6,NA,4,3,2,2,NA,NA,2,4,6,NA,3,2,2,NA,NA,2,4,6,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,6,NA,NA
