"","estimate","se","zval","pval"
"(Intercept)/2",-83.570410257272,888.000930293313,-0.0941107237688007,0.925021201855994
"(Intercept)/3",25.4286502940437,25.4480983005128,0.999235777611378,0.317680488072618
"(Intercept)/4",10.7369316951366,27.6325641575541,0.388560816647968,0.697601057133126
"(Intercept)/5",110.803068198464,50.4137644184112,2.19787332838011,0.027958134056236
"(Intercept)/6",101.20222181921,56.1522452712052,1.80228272850751,0.0715009344859755
"(Intercept)/7",53.2385218985529,33.0506729727175,1.61081506396254,0.107220036781503
"(Intercept)/8",-107.627110620526,125.472802631932,-0.857772428469975,0.391018137128126
"(Intercept)/9",-61.621727700578,198.915351965405,-0.309788697009646,0.756721647549201
"(Intercept)/10",5.22301538634495,44.0990875314252,0.118438173638468,0.905720480434226
"(Intercept)/11",-217.273630351443,505.885339847043,-0.429491849708744,0.667565323906154
"(Intercept)/12",13.6520584963207,202.132528726237,0.0675401360797829,0.946151710983516
"(Intercept)/13",144.350342115181,66.3107372756317,2.17687735117715,0.029489719718522
"(Intercept)/14",162.897480402683,59.1435663071057,2.75427219854871,0.00588228233833286
"(Intercept)/15",82.7042015576449,57.3443831356856,1.44223718235758,0.149235474551598
"(Intercept)/16",22.9946680106471,253.716937782755,0.0906311900640087,0.927785647825727
"(Intercept)/17",113.201009108548,52.1190317048772,2.1719706872059,0.0298578739780481
"(Intercept)/18",-110.808668173376,336.589437466751,-0.329210176669081,0.741996831415297
"(Intercept)/19",47.8260314644433,33.1859201562593,1.44115429794472,0.149541096510303
"(Intercept)/20",140.860772200533,67.5341875111049,2.08576985067557,0.0369994756700324
"(Intercept)/21",100.420983579259,55.7839537691342,1.80017687514332,0.0718327140302903
"(Intercept)/22",114.681870388422,125.461121542987,0.914082936434845,0.360673267928034
"(Intercept)/23",83.8473056926481,75.6805032563136,1.10791157675941,0.267900005394329
"(Intercept)/24",-167.504493266298,219.454721424148,-0.763275869296773,0.445298890018235
"(Intercept)/25",-118.55261187004,0.000635605605986251,-186519.141356668,0
"pop_Total/2",-33.8452464231221,92.8220605503816,-0.364625027956061,0.71539132965627
"pop_Total/3",-38.9566151121048,118.292257615178,-0.329325146864947,0.741909938806137
"pop_Total/4",-125.548789327102,153.177644015615,-0.819628674497066,0.412427821935654
"pop_Total/5",-163.480920676894,334.173853127043,-0.489209192003253,0.624693602514766
"pop_Total/6",-178.699346507127,373.217985648051,-0.478806899396438,0.632076007952555
"pop_Total/7",-32.1396965341225,240.661556350657,-0.133547281175616,0.893760574146959
"pop_Total/8",-51.2206435893495,2348.47113848031,-0.0218102078199242,0.982599351461912
"pop_Total/9",298.845190188416,341.22925276027,0.875790067149867,0.381144170872225
"pop_Total/10",341.165149340888,249.021767430409,1.37002139556426,0.170680222915506
"pop_Total/11",8.30727164006279,327.465830990994,0.0253683616850127,0.979761146700351
"pop_Total/12",-126.10872098846,511.73836753217,-0.246432022669341,0.805347819908261
"pop_Total/13",271.898457880503,339.008657363592,0.802039865279567,0.422529898317459
"pop_Total/14",-228.820745421069,380.173787189727,-0.601884593655256,0.547250960137592
"pop_Total/15",-94.3775259481798,772.345287695454,-0.122196027413835,0.902743772543637
"pop_Total/16",243.769863355153,1066.35291839563,0.228601487509327,0.819178668316187
"pop_Total/17",-94.470790916104,332.728292302572,-0.283927736539445,0.776465760144525
"pop_Total/18",343.666987312936,395.076885753823,0.869873687136126,0.3843694365734
"pop_Total/19",-34.2191342758788,243.429681360685,-0.140570920048065,0.888208922521859
"pop_Total/20",-45.2919416690673,422.719373039052,-0.107144229855023,0.914674558750985
"pop_Total/21",317.583637622637,310.035694775431,1.02434539949561,0.305672161536168
"pop_Total/22",14.4219606730263,447.637721870781,0.0322179297418314,0.974298257734843
"pop_Total/23",-60.2127935667524,399.330518063418,-0.150784352417538,0.880145830090868
"pop_Total/24",53.0225392821232,271.706353670238,0.195146482832989,0.845278273990305
"pop_Total/25",-9.89036302074782,1.74230559842471e-05,-567659.486928705,0
"emp_Y15_24_ED3_4/2",103.257105529745,1043.36075849223,0.0989658703275016,0.921165368567966
"emp_Y15_24_ED3_4/3",-71.914183841706,66.3880396346297,-1.08324005705681,0.278701884076182
"emp_Y15_24_ED3_4/4",73.2144089035416,48.8664762194,1.49825431600234,0.134067188453364
"emp_Y15_24_ED3_4/5",14.3979438869775,33.0577437108301,0.435539219280129,0.663171077893326
"emp_Y15_24_ED3_4/6",84.5363582503899,51.7913302952853,1.63224921561989,0.102626996763204
"emp_Y15_24_ED3_4/7",3.47417069930678,31.1597061943119,0.111495618015197,0.911223340253259
"emp_Y15_24_ED3_4/8",228.557390070171,156.060849529766,1.46454021465889,0.143046403560676
"emp_Y15_24_ED3_4/9",55.2005029090893,307.854198315762,0.179307292903866,0.857696420747375
"emp_Y15_24_ED3_4/10",56.0640106065542,52.5204466462038,1.06747017945641,0.285759572590505
