"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)","Prob(11)","Prob(12)","Prob(13)","Prob(14)","Prob(15)","Prob(16)","Prob(17)","Prob(18)","Prob(19)","Prob(20)","Prob(21)","Prob(22)","Prob(23)","Prob(24)","Prob(25)"
"AT11",1,0.681179133508986,5.61321056033981e-38,0.0668564114602501,0.0290142141569003,7.21539035092062e-21,4.42173736840551e-49,0.210143476888039,2.21009819652498e-31,2.85291861401836e-16,1.34509056184312e-09,1.92322723287066e-43,3.38402414983275e-18,1.29334607622858e-62,1.85130299937153e-40,3.73763152107262e-16,2.74887391248228e-10,5.41674733077186e-42,4.64082192935155e-25,0.0128067623602733,6.30499587248688e-51,1.13258214648077e-43,1.65247180219067e-25,6.27273489441119e-14,5.50996500255777e-12,7.51790296597229e-33
"AT12",1,0.999866687127584,3.7161187909511e-39,7.96544734155972e-05,3.19752747401664e-09,3.43149004020944e-33,7.77756931249275e-63,1.06337748367546e-05,2.54535618071363e-34,7.39217138844912e-14,3.90719285028797e-10,4.00158108082096e-37,1.83552202395039e-20,3.17666025970556e-77,4.48498740667417e-58,1.38315645541148e-19,1.33121102646461e-08,1.58301996211529e-55,7.98239849058807e-23,2.86051181123989e-06,1.00921427781572e-63,2.38147905320165e-52,5.80657220901394e-22,3.52458234198439e-19,4.01472119214796e-05,2.23714291341562e-26
"AT13",1,0.0630011961955562,1.34856662297873e-20,2.95210277216294e-17,3.11077109865949e-26,9.74071347686877e-38,1.28098152474445e-67,1.44701591382715e-18,2.44665878331249e-32,2.10553373266885e-13,7.32978865539973e-14,1.08704773475738e-17,2.35290668809118e-19,5.93690598548528e-61,3.78218074447153e-65,1.52244205833286e-12,1.94101336211638e-05,2.09620537831242e-45,1.42869935388916e-13,3.49581320676958e-11,1.72007091549354e-64,2.76800618276416e-51,5.70081923656387e-22,6.02146718142921e-23,0.936979393633915,1.82323119538174e-18
"AT21",1,0.999966385372234,5.35761469948399e-35,1.29236642837514e-06,5.23079985359821e-07,8.97678979427442e-30,6.75046118514395e-52,2.8813399170797e-05,5.90294258041077e-27,7.58806705104605e-13,1.1029450769542e-09,5.13101666435856e-36,3.46838487715498e-18,7.4482562303942e-75,1.93723550280549e-51,1.76943474554841e-23,1.64542364406073e-14,5.87953282379726e-53,1.72260861501713e-26,1.07189117963222e-06,5.57186974843879e-55,1.24126606836698e-45,5.34483273535261e-22,6.88599346234524e-15,1.91278727477542e-06,1.41299875748466e-31
"AT22",1,0.999600881195415,9.13767420817364e-31,2.37355317108729e-08,1.09981876284304e-08,1.09301230978707e-30,4.65522587912177e-54,1.07990355863973e-07,5.97503482045648e-25,7.73307051699813e-11,1.21735343035829e-08,1.62207171419421e-31,3.26983662626914e-19,2.71015043451663e-71,1.15086157132278e-53,1.03296545271747e-23,9.47050308222246e-14,2.10170256143264e-51,1.22094261764285e-21,1.25620455547948e-07,5.97251249684176e-57,4.41889091811253e-45,4.5306177381457e-27,9.75209499968354e-17,0.000398838209094812,1.05472552482337e-30
"AT31",1,0.999697422143028,1.93151216893659e-34,3.92632401336965e-05,8.06513337458003e-14,1.47323517881868e-39,1.05610414975444e-63,2.22572756947974e-12,3.63726581012298e-34,3.89565112979526e-09,4.14861931953072e-12,5.31813026605024e-37,1.80756652903151e-24,1.81342245757786e-85,1.41170397674872e-63,2.3850472806861e-23,1.11796967726426e-13,2.45721696024084e-65,3.93023349261476e-25,3.37486943469545e-12,6.83404337034606e-66,2.84238060898774e-52,5.12015486394682e-15,4.95104787637952e-20,0.000263310711240926,2.04215655338741e-22
"AT32",1,0.998271974796907,2.60075249000539e-26,0.000347871461616082,2.70428264469298e-15,3.07664644360371e-39,2.79347431201821e-65,1.89662942231176e-18,2.42348357755504e-33,7.0246536496661e-07,7.42775371273497e-15,5.86163333311418e-35,1.66816579764544e-28,2.09015233088808e-82,4.46325993831278e-63,1.16841903810709e-21,5.51046315421097e-16,7.78052034795843e-64,3.02130764863348e-21,2.1784425992585e-15,7.46670674856823e-69,9.59751393218556e-54,1.02315934290539e-20,7.14573475943211e-23,0.0013794512760993,1.49896524962645e-18
"AT33",1,0.989314484617185,1.47692420795762e-28,1.41525787034539e-07,2.57298779341249e-13,1.51538057022866e-37,4.60893037487055e-60,9.14574059293708e-14,2.64264926732412e-28,1.43631286190293e-08,2.90978970839681e-12,9.42803373028797e-32,1.96754202957977e-23,1.81638238441373e-81,2.57719474532638e-61,9.61119745278624e-25,2.32943930118393e-16,3.26963694187564e-61,3.31174368397589e-23,1.50055608101905e-12,1.14877717567847e-63,2.33800828348543e-50,1.89882974367316e-21,1.14476445168705e-19,0.0106853594891402,2.16343194075347e-24
"AT34",1,0.989020123494605,1.14093011983324e-30,2.56847076375482e-05,1.84894999294634e-14,5.34241020937196e-39,7.51053134182963e-67,8.40831703503842e-15,4.74377017656317e-34,1.88457009824523e-10,6.52315194558739e-15,1.13995798923839e-33,2.62203682126731e-25,2.6425209630427e-84,2.93804021253188e-64,6.94633905030988e-21,9.25613094333037e-14,9.47759049537845e-63,1.64366595411038e-22,1.13512260266331e-12,1.11648134837777e-69,1.02226006832609e-56,9.0857196664678e-21,1.47547801697679e-22,0.0109541916080396,8.91694923125995e-20
"BE10",2,2.20463940425795e-10,0.999998593394974,1.54804185468645e-12,5.39533379741535e-33,2.17223064671062e-22,1.89483990641413e-43,1.19381755256097e-41,5.07384022518982e-41,6.23888160690028e-07,1.93113524908196e-21,4.09089423863169e-48,9.26165601815425e-42,3.12729798627628e-17,1.42808643540201e-30,7.82494853007656e-07,8.73366089509734e-21,1.21469630106416e-26,3.05486481927151e-16,2.7223844736744e-27,6.09745313716627e-41,2.85942743648318e-23,2.40216519115796e-24,1.06002477700388e-22,1.34479421199118e-31,1.06467634944145e-24
