Sets to variables test for under-representation
48 variables tested, 10 have p < 0.05 
Selected set size: 12 
    Universe size: 276 
                 vars       pval      adjp odds      exp obs size
1         disp_income 0.02587925 0.1651045    0 3.086957   0   71
2           pop_Total 0.02917110 0.1651045    0 3.000000   0   69
3          pop_Y25-64 0.02917110 0.1651045    0 3.000000   0   69
4    emp_Y25-64_ED0-2 0.02917110 0.1651045    0 3.000000   0   69
5    emp_Y25-64_ED3-4 0.02917110 0.1651045    0 3.000000   0   69
6  emp_Y25-64_NaceG-I 0.02917110 0.1651045    0 3.000000   0   69
7  emp_Y25-64_NaceM_N 0.02917110 0.1651045    0 3.000000   0   69
8         unemp_YGE25 0.02917110 0.1651045    0 3.000000   0   69
9  emp_Y25-64_NaceB-E 0.03095709 0.1651045    0 2.956522   0   68
10   emp_Y25-64_NaceK 0.03914980 0.1879190    0 2.782609   0   64
