Sets to variables test for over-representation
76 variables tested, 35 have p < 0.05 
Selected set size: 4 
    Universe size: 276 
                 vars         pval       adjp odds       exp obs size
1            rooms_pp 0.0002213380 0.01321238  Inf 0.5072464   4   35
2               GVAgr 0.0003476942 0.01321238  Inf 0.5652174   4   39
3        earn_OC6_B-F 0.0005216829 0.01321597  Inf 0.6231884   4   43
4  emp_Y15-24_NaceR-U 0.0008225351 0.01562817  Inf 0.6956522   4   48
5        earn_OC6_P-S 0.0034425957 0.04281340  Inf 0.9855072   4   68
6    emp_Y15-24_ED0-2 0.0066857082 0.04281340  Inf 1.1594203   4   80
7        earn_OC6_G-N 0.0081564516 0.04281340  Inf 1.2173913   4   84
8        earn_OC4_P-S 0.0094093783 0.04281340  Inf 1.2608696   4   87
9  emp_Y15-24_NaceG-I 0.0098574439 0.04281340  Inf 1.2753623   4   88
10       earn_OC1_B-F 0.0103213237 0.04281340  Inf 1.2898551   4   89
11       earn_OC2_B-F 0.0103213237 0.04281340  Inf 1.2898551   4   89
12       earn_OC2_G-N 0.0103213237 0.04281340  Inf 1.2898551   4   89
13       earn_OC3_B-F 0.0112980006 0.04281340  Inf 1.3188406   4   91
14       earn_OC5_B-F 0.0112980006 0.04281340  Inf 1.3188406   4   91
15       earn_OC4_G-N 0.0112980006 0.04281340  Inf 1.3188406   4   91
16       earn_OC1_P-S 0.0112980006 0.04281340  Inf 1.3188406   4   91
17       earn_OC2_P-S 0.0112980006 0.04281340  Inf 1.3188406   4   91
18         emp_Y15-24 0.0118115461 0.04281340  Inf 1.3333333   4   92
19 emp_Y25-64_NaceO-Q 0.0118115461 0.04281340  Inf 1.3333333   4   92
20           training 0.0123424021 0.04281340  Inf 1.3478261   4   93
21       earn_OC9_B-F 0.0140427012 0.04281340  Inf 1.3913043   4   96
22       earn_OC5_G-N 0.0140427012 0.04281340  Inf 1.3913043   4   96
23       earn_OC7_B-F 0.0146466883 0.04281340  Inf 1.4057971   4   97
24       earn_OC3_G-N 0.0146466883 0.04281340  Inf 1.4057971   4   97
25       earn_OC7_G-N 0.0146466883 0.04281340  Inf 1.4057971   4   97
26       earn_OC9_G-N 0.0146466883 0.04281340  Inf 1.4057971   4   97
27       earn_OC1_G-N 0.0152699517 0.04298209  Inf 1.4202899   4   98
28       earn_OC9_P-S 0.0186897626 0.05072936  Inf 1.4927536   4  103
29       earn_OC3_P-S 0.0202071492 0.05295667  Inf 1.5217391   4  105
30       earn_OC8_B-F 0.0226541469 0.05620454  Inf 1.5652174   4  108
31       earn_OC5_P-S 0.0235171620 0.05620454  Inf 1.5797101   4  109
32       earn_OC7_P-S 0.0244046021 0.05620454  Inf 1.5942029   4  110
33       earn_OC8_P-S 0.0244046021 0.05620454  Inf 1.5942029   4  110
34       earn_OC4_B-F 0.0324390938 0.07043918  Inf 1.7101449   4  118
35       earn_OC8_G-N 0.0324390938 0.07043918  Inf 1.7101449   4  118
