Sets to variables test for over-representation
76 variables tested, 22 have p < 0.05 
Selected set size: 8 
    Universe size: 276 
                 vars         pval        adjp     odds      exp obs size
1        earn_OC6_G-N 5.782950e-05 0.001120754      Inf 2.434783   8   84
2        earn_OC2_B-F 9.368527e-05 0.001120754      Inf 2.579710   8   89
3        earn_OC2_G-N 9.368527e-05 0.001120754      Inf 2.579710   8   89
4        earn_OC5_B-F 1.127362e-04 0.001120754      Inf 2.637681   8   91
5           pop_Total 1.234729e-04 0.001120754      Inf 2.666667   8   92
6           pop_Y0-14 1.234729e-04 0.001120754      Inf 2.666667   8   92
7            training 1.350939e-04 0.001120754      Inf 2.695652   8   93
8        earn_OC9_B-F 1.758969e-04 0.001120754      Inf 2.782609   8   96
9        earn_OC5_G-N 1.758969e-04 0.001120754      Inf 2.782609   8   96
10       earn_OC7_B-F 1.917078e-04 0.001120754      Inf 2.811594   8   97
11       earn_OC3_G-N 1.917078e-04 0.001120754      Inf 2.811594   8   97
12       earn_OC7_G-N 1.917078e-04 0.001120754      Inf 2.811594   8   97
13       earn_OC9_G-N 1.917078e-04 0.001120754      Inf 2.811594   8   97
14       earn_OC3_P-S 3.698567e-04 0.002007793      Inf 3.043478   8  105
15       earn_OC8_B-F 4.669663e-04 0.002294692      Inf 3.130435   8  108
16       earn_OC5_P-S 5.039538e-04 0.002294692      Inf 3.159420   8  109
17       earn_OC7_P-S 5.434796e-04 0.002294692      Inf 3.188406   8  110
18       earn_OC8_P-S 5.434796e-04 0.002294692      Inf 3.188406   8  110
19       earn_OC4_B-F 9.703731e-04 0.003604391      Inf 3.420290   8  118
20       earn_OC8_G-N 9.703731e-04 0.003604391      Inf 3.420290   8  118
21   emp_Y25-64_NaceL 9.959502e-04 0.003604391 13.40816 1.594203   6   55
22 emp_Y25-64_NaceO-Q 2.261734e-03 0.007813262 15.07059 2.666667   7   92
