Sets to variables test for over-representation
76 variables tested, 12 have p < 0.05 
Selected set size: 3 
    Universe size: 276 
               vars         pval        adjp odds       exp obs size
1              ARPR 0.0003837166 0.007290615  Inf 0.2282609   3   21
2          low_work 0.0003837166 0.007290615  Inf 0.2282609   3   21
3        mat_depriv 0.0003837166 0.007290615  Inf 0.2282609   3   21
4      ARPR_socexcl 0.0003837166 0.007290615  Inf 0.2282609   3   21
5      unemp_Y15-24 0.0126020600 0.133362825  Inf 0.7065217   3   65
6         pop_Total 0.0151161248 0.133362825  Inf 0.7500000   3   69
7  emp_Y25-64_ED0-2 0.0151161248 0.133362825  Inf 0.7500000   3   69
8       unemp_YGE25 0.0151161248 0.133362825  Inf 0.7500000   3   69
9      earn_OC1_P-S 0.0157929662 0.133362825  Inf 0.7608696   3   70
10     earn_OC2_P-S 0.0179440870 0.134599799  Inf 0.7934783   3   73
11     earn_OC1_B-F 0.0194815499 0.134599799  Inf 0.8152174   3   75
12     earn_OC5_B-F 0.0350494792 0.221980035  Inf 0.9891304   3   91
