Sets to variables test for over-representation
76 variables tested, 20 have p < 0.05 
Selected set size: 6 
    Universe size: 276 
                 vars         pval         adjp     odds       exp obs size
1  emp_Y15-24_NaceM_N 9.025056e-06 0.0006859042      Inf 0.9130435   6   42
2    emp_Y15-24_ED0-2 8.613182e-05 0.0015605306      Inf 1.3043478   6   60
3        earn_OC6_P-S 1.168961e-04 0.0015605306      Inf 1.3695652   6   63
4  emp_Y15-24_NaceG-I 1.563170e-04 0.0015605306      Inf 1.4347826   6   66
5              emp_PT 2.062419e-04 0.0015605306      Inf 1.5000000   6   69
6          emp_Y15-24 2.062419e-04 0.0015605306      Inf 1.5000000   6   69
7            training 2.062419e-04 0.0015605306      Inf 1.5000000   6   69
8        earn_OC3_P-S 2.062419e-04 0.0015605306      Inf 1.5000000   6   69
9        earn_OC4_P-S 2.062419e-04 0.0015605306      Inf 1.5000000   6   69
10       earn_OC7_P-S 2.255771e-04 0.0015605306      Inf 1.5217391   6   70
11       earn_OC8_G-N 2.463996e-04 0.0015605306      Inf 1.5434783   6   71
12       earn_OC5_P-S 2.463996e-04 0.0015605306      Inf 1.5434783   6   71
13       earn_OC4_B-F 3.464269e-04 0.0020252647      Inf 1.6304348   6   75
14       expend_ED5-8 3.761206e-04 0.0020417974      Inf 1.6521739   6   76
15       earn_OC3_B-F 4.079054e-04 0.0020667208      Inf 1.6739130   6   77
16       earn_OC8_P-S 4.418975e-04 0.0020990133      Inf 1.6956522   6   78
17       earn_OC9_P-S 6.024321e-04 0.0026932258      Inf 1.7826087   6   82
18       earn_OC5_B-F 1.146783e-03 0.0048419711      Inf 1.9782609   6   91
19         pop_Y65-74 3.591980e-02 0.1364952493 6.307692 1.5000000   4   69
20 emp_Y25-64_NaceO-Q 3.591980e-02 0.1364952493 6.307692 1.5000000   4   69
