Sets to variables test for under-representation
76 variables tested, 30 have p < 0.05 
Selected set size: 9 
    Universe size: 276 
               vars        pval       adjp odds      exp obs size
1      earn_OC4_B-F 0.005973006 0.08252146    0 3.847826   0  118
2      earn_OC8_G-N 0.005973006 0.08252146    0 3.847826   0  118
3      earn_OC5_P-S 0.009959876 0.08252146    0 3.554348   0  109
4      earn_OC8_B-F 0.010523643 0.08252146    0 3.521739   0  108
5      earn_OC3_P-S 0.012389020 0.08252146    0 3.423913   0  105
6      earn_OC9_P-S 0.013790501 0.08252146    0 3.358696   0  103
7      earn_OC1_G-N 0.017929526 0.08252146    0 3.195652   0   98
8      earn_OC7_B-F 0.018878736 0.08252146    0 3.163043   0   97
9      earn_OC3_G-N 0.018878736 0.08252146    0 3.163043   0   97
10     earn_OC7_G-N 0.018878736 0.08252146    0 3.163043   0   97
11     earn_OC9_G-N 0.018878736 0.08252146    0 3.163043   0   97
12     earn_OC9_B-F 0.019872353 0.08252146    0 3.130435   0   96
13     earn_OC5_G-N 0.019872353 0.08252146    0 3.130435   0   96
14       pop_Y65-74 0.024327996 0.08252146    0 3.000000   0   92
15        pop_YGE75 0.024327996 0.08252146    0 3.000000   0   92
16 emp_Y25-64_ED0-2 0.024327996 0.08252146    0 3.000000   0   92
17 emp_Y25-64_ED3-4 0.024327996 0.08252146    0 3.000000   0   92
18      unemp_YGE25 0.024327996 0.08252146    0 3.000000   0   92
19     earn_OC3_B-F 0.025572041 0.08252146    0 2.967391   0   91
20     earn_OC5_B-F 0.025572041 0.08252146    0 2.967391   0   91
21     earn_OC4_G-N 0.025572041 0.08252146    0 2.967391   0   91
22     earn_OC1_P-S 0.025572041 0.08252146    0 2.967391   0   91
23     earn_OC2_P-S 0.025572041 0.08252146    0 2.967391   0   91
24     earn_OC1_B-F 0.028231027 0.08252146    0 2.902174   0   89
25     earn_OC2_B-F 0.028231027 0.08252146    0 2.902174   0   89
26     earn_OC2_G-N 0.028231027 0.08252146    0 2.902174   0   89
27     earn_OC4_P-S 0.031132987 0.08763359    0 2.836957   0   87
28     earn_OC6_G-N 0.035983875 0.09767052    0 2.739130   0   84
29 emp_Y25-64_NaceA 0.037743956 0.09891520    0 2.706522   0   83
30 emp_Y15-24_ED0-2 0.043492418 0.11018079    0 2.608696   0   80
