Sets to variables test for over-representation
76 variables tested, 15 have p < 0.05 
Selected set size: 5 
    Universe size: 276 
                 vars         pval        adjp      odds       exp obs size
1  emp_Y15-24_NaceM_N 0.0000216223 0.001643295       Inf 0.6159420   5   34
2    emp_Y15-24_ED0-2 0.0001330572 0.003759777       Inf 0.8695652   5   48
3  emp_Y15-24_NaceG-I 0.0002229932 0.003759777       Inf 0.9601449   5   53
4          emp_Y15-24 0.0002703223 0.003759777       Inf 0.9963768   5   55
5  emp_Y25-64_NaceM_N 0.0002703223 0.003759777       Inf 0.9963768   5   55
6              emp_PT 0.0002968245 0.003759777       Inf 1.0144928   5   56
7            training 0.0003890287 0.004223741       Inf 1.0688406   5   59
8        earn_OC6_P-S 0.0005461871 0.005188778       Inf 1.1413043   5   63
9        earn_OC7_P-S 0.0009404829 0.007689160       Inf 1.2681159   5   70
10       earn_OC5_P-S 0.0010117316 0.007689160       Inf 1.2862319   5   71
11       expend_ED5-8 0.0014356152 0.009918796       Inf 1.3768116   5   76
12       earn_OC8_P-S 0.0016404689 0.010389637       Inf 1.4130435   5   78
13       earn_OC9_P-S 0.0021202480 0.012395296       Inf 1.4855072   5   82
14                GDP 0.0070475364 0.038258055 16.452830 1.0326087   4   57
15   emp_Y25-64_NaceK 0.0478058913 0.242216516  6.795918 0.9420290   3   52
