Sets to variables test for over-representation
76 variables tested, 24 have p < 0.05 
Selected set size: 6 
    Universe size: 276 
               vars         pval         adjp     odds      exp obs size
1      earn_OC5_B-F 3.502559e-05 0.0004070992      Inf 1.130435   6   52
2      earn_OC9_G-N 3.949695e-05 0.0004070992      Inf 1.152174   6   53
3      earn_OC2_B-F 4.443407e-05 0.0004070992      Inf 1.173913   6   54
4      earn_OC3_B-F 4.443407e-05 0.0004070992      Inf 1.173913   6   54
5      earn_OC4_B-F 4.443407e-05 0.0004070992      Inf 1.173913   6   54
6      earn_OC1_G-N 4.987497e-05 0.0004070992      Inf 1.195652   6   55
7      earn_OC4_G-N 4.987497e-05 0.0004070992      Inf 1.195652   6   55
8      earn_OC2_G-N 5.585997e-05 0.0004070992      Inf 1.217391   6   56
9      earn_OC3_G-N 6.243173e-05 0.0004070992      Inf 1.239130   6   57
10     earn_OC3_P-S 6.243173e-05 0.0004070992      Inf 1.239130   6   57
11     earn_OC4_P-S 6.243173e-05 0.0004070992      Inf 1.239130   6   57
12     earn_OC9_B-F 6.963539e-05 0.0004070992      Inf 1.260870   6   58
13     earn_OC5_G-N 6.963539e-05 0.0004070992      Inf 1.260870   6   58
14     earn_OC8_G-N 7.751864e-05 0.0004208155      Inf 1.282609   6   59
15     earn_OC7_B-F 1.057632e-04 0.0005358667      Inf 1.347826   6   62
16     earn_OC8_B-F 1.289888e-04 0.0006126970      Inf 1.391304   6   64
17     earn_OC7_G-N 2.062419e-04 0.0009023083      Inf 1.500000   6   69
18     earn_OC1_P-S 2.255771e-04 0.0009023083      Inf 1.521739   6   70
19     earn_OC7_P-S 2.255771e-04 0.0009023083      Inf 1.521739   6   70
20     earn_OC5_P-S 2.463996e-04 0.0009363184      Inf 1.543478   6   71
21     earn_OC2_P-S 2.928711e-04 0.0010599146      Inf 1.586957   6   73
22     earn_OC8_P-S 4.418975e-04 0.0015265551      Inf 1.695652   6   78
23     earn_OC9_P-S 6.024321e-04 0.0019906452      Inf 1.782609   6   82
24 emp_Y25-64_ED5-8 1.672412e-02 0.0529597154 8.384615 1.217391   4   56
