Sets to variables test for over-representation
76 variables tested, 27 have p < 0.05 
Selected set size: 4 
    Universe size: 276 
                 vars         pval         adjp odds       exp obs size
1               GVAgr 1.394987e-06 0.0001060190  Inf 0.1594203   4   11
2            rooms_pp 1.006082e-05 0.0003823110  Inf 0.2463768   4   17
3    emp_Y15-24_ED0-2 4.491859e-05 0.0006577998  Inf 0.3478261   4   24
4        earn_OC6_P-S 5.347451e-05 0.0006577998  Inf 0.3623188   4   25
5        earn_OC7_P-S 6.319714e-05 0.0006577998  Inf 0.3768116   4   26
6        earn_OC8_P-S 6.319714e-05 0.0006577998  Inf 0.3768116   4   26
7  emp_Y15-24_NaceG-I 7.418795e-05 0.0006577998  Inf 0.3913043   4   27
8        earn_OC9_P-S 7.418795e-05 0.0006577998  Inf 0.3913043   4   27
9  emp_Y25-64_NaceO-Q 8.655261e-05 0.0006577998  Inf 0.4057971   4   28
10           training 8.655261e-05 0.0006577998  Inf 0.4057971   4   28
11       earn_OC9_B-F 1.004010e-04 0.0006739169  Inf 0.4202899   4   29
12       earn_OC5_G-N 1.330099e-04 0.0006739169  Inf 0.4492754   4   31
13       earn_OC7_G-N 1.330099e-04 0.0006739169  Inf 0.4492754   4   31
14       earn_OC8_G-N 1.330099e-04 0.0006739169  Inf 0.4492754   4   31
15       earn_OC5_P-S 1.330099e-04 0.0006739169  Inf 0.4492754   4   31
16       earn_OC6_G-N 1.520113e-04 0.0007220538  Inf 0.4637681   4   32
17       earn_OC2_B-F 5.216829e-04 0.0020867316  Inf 0.6231884   4   43
18       earn_OC4_B-F 5.216829e-04 0.0020867316  Inf 0.6231884   4   43
19       earn_OC6_B-F 5.216829e-04 0.0020867316  Inf 0.6231884   4   43
20       earn_OC4_G-N 5.738512e-04 0.0021806346  Inf 0.6376812   4   44
21       earn_OC2_G-N 6.298367e-04 0.0022794089  Inf 0.6521739   4   45
22       earn_OC9_G-N 1.237840e-03 0.0042761735  Inf 0.7681159   4   53
23       earn_OC3_G-N 1.669800e-03 0.0050761907  Inf 0.8260870   4   57
24       earn_OC3_P-S 1.669800e-03 0.0050761907  Inf 0.8260870   4   57
25       earn_OC4_P-S 1.669800e-03 0.0050761907  Inf 0.8260870   4   57
26       earn_OC7_B-F 2.358141e-03 0.0068930280  Inf 0.8985507   4   62
27       earn_OC8_B-F 2.685883e-03 0.0075602628  Inf 0.9275362   4   64
