"vars","pval","adjp","odds","exp","obs","size"
"ARPR",0.0326086956521739,1,Inf,0.0326086956521739,1,9
"low_work",0.0326086956521739,1,Inf,0.0326086956521739,1,9
"unemp_Y15-24",0.0942028985507246,1,Inf,0.0942028985507246,1,26
"pop_Total",0.101449275362319,1,Inf,0.101449275362319,1,28
"unemp_YGE25",0.101449275362319,1,Inf,0.101449275362319,1,28
"pop_Y0-14",1,1,0,0.101449275362319,0,28
"pop_Y15-24",1,1,0,0.101449275362319,0,28
"pop_Y25-64",1,1,0,0.101449275362319,0,28
"pop_Y65-74",1,1,0,0.101449275362319,0,28
"pop_YGE75",1,1,0,0.101449275362319,0,28
"rooms_pp",1,1,0,0.0615942028985507,0,17
"mat_depriv",1,1,0,0.0326086956521739,0,9
"ARPR_socexcl",1,1,0,0.0326086956521739,0,9
"emp_Y15-24_ED0-2",1,1,0,0.0869565217391304,0,24
"emp_Y25-64_ED0-2",1,1,0,0.101449275362319,0,28
"emp_Y15-24_ED3-4",1,1,0,0.0978260869565217,0,27
"emp_Y25-64_ED3-4",1,1,0,0.101449275362319,0,28
"emp_Y15-24_ED5-8",1,1,0,0.072463768115942,0,20
"emp_Y25-64_ED5-8",1,1,0,0.101449275362319,0,28
"emp_FT",1,1,0,0.101449275362319,0,28
"emp_PT",1,1,0,0.101449275362319,0,28
"emp_Y15-24",1,1,0,0.101449275362319,0,28
"emp_Y25-64",1,1,0,0.101449275362319,0,28
"emp_YGE65",1,1,0,0.0942028985507246,0,26
"emp_Y15-24_NaceA",1,1,0,0.0289855072463768,0,8
"emp_Y25-64_NaceA",1,1,0,0.0905797101449275,0,25
"emp_Y15-24_NaceB-E",1,1,0,0.0833333333333333,0,23
"emp_Y25-64_NaceB-E",1,1,0,0.101449275362319,0,28
"emp_Y15-24_NaceF",1,1,0,0.0615942028985507,0,17
"emp_Y25-64_NaceF",1,1,0,0.101449275362319,0,28
"emp_Y15-24_NaceG-I",1,1,0,0.0978260869565217,0,27
"emp_Y25-64_NaceG-I",1,1,0,0.101449275362319,0,28
"emp_Y15-24_NaceJ",1,1,0,0.0217391304347826,0,6
"emp_Y25-64_NaceJ",1,1,0,0.0905797101449275,0,25
"emp_Y15-24_NaceK",1,1,0,0.0144927536231884,0,4
"emp_Y25-64_NaceK",1,1,0,0.0942028985507246,0,26
"emp_Y15-24_NaceL",1,1,0,0.0036231884057971,0,1
"emp_Y25-64_NaceL",1,1,0,0.0615942028985507,0,17
"emp_Y15-24_NaceM_N",1,1,0,0.0615942028985507,0,17
"emp_Y25-64_NaceM_N",1,1,0,0.101449275362319,0,28
"emp_Y15-24_NaceO-Q",1,1,0,0.0797101449275362,0,22
"emp_Y25-64_NaceO-Q",1,1,0,0.101449275362319,0,28
"emp_Y15-24_NaceR-U",1,1,0,0.0543478260869565,0,15
"emp_Y25-64_NaceR-U",1,1,0,0.101449275362319,0,28
"GDP",1,1,0,0.105072463768116,0,29
"GVAgr",1,1,0,0.0398550724637681,0,11
"disp_income",1,1,0,0.115942028985507,0,32
"training",1,1,0,0.101449275362319,0,28
"earn_OC1_B-F",1,1,0,0.213768115942029,0,59
"earn_OC2_B-F",1,1,0,0.155797101449275,0,43
"earn_OC3_B-F",1,1,0,0.13768115942029,0,38
"earn_OC4_B-F",1,1,0,0.155797101449275,0,43
"earn_OC5_B-F",1,1,0,0.0942028985507246,0,26
"earn_OC6_B-F",1,1,0,0.155797101449275,0,43
"earn_OC7_B-F",1,1,0,0.22463768115942,0,62
"earn_OC8_B-F",1,1,0,0.231884057971014,0,64
"earn_OC9_B-F",1,1,0,0.105072463768116,0,29
"earn_OC1_G-N",1,1,0,0.13768115942029,0,38
"earn_OC2_G-N",1,1,0,0.16304347826087,0,45
"earn_OC3_G-N",1,1,0,0.206521739130435,0,57
"earn_OC4_G-N",1,1,0,0.159420289855072,0,44
"earn_OC5_G-N",1,1,0,0.11231884057971,0,31
"earn_OC6_G-N",1,1,0,0.115942028985507,0,32
"earn_OC7_G-N",1,1,0,0.11231884057971,0,31
"earn_OC8_G-N",1,1,0,0.11231884057971,0,31
"earn_OC9_G-N",1,1,0,0.192028985507246,0,53
"earn_OC1_P-S",1,1,0,0.115942028985507,0,32
"earn_OC2_P-S",1,1,0,0.126811594202899,0,35
"earn_OC3_P-S",1,1,0,0.206521739130435,0,57
"earn_OC4_P-S",1,1,0,0.206521739130435,0,57
"earn_OC5_P-S",1,1,0,0.11231884057971,0,31
"earn_OC6_P-S",1,1,0,0.0905797101449275,0,25
"earn_OC7_P-S",1,1,0,0.0942028985507246,0,26
"earn_OC8_P-S",1,1,0,0.0942028985507246,0,26
"earn_OC9_P-S",1,1,0,0.0978260869565217,0,27
"expend_ED5-8",1,1,0,0.123188405797101,0,34
