Sets to variables test for over-representation
76 variables tested, 15 have p < 0.05 
Selected set size: 10 
    Universe size: 276 
                 vars         pval         adjp       odds       exp obs size
1            training 2.879766e-09 2.188622e-07 117.000000 1.0144928   9   28
2        earn_OC5_B-F 8.244085e-08 3.132752e-06  55.111111 0.9420290   8   26
3        earn_OC9_B-F 2.217232e-07 5.088457e-06  46.666667 1.0507246   8   29
4        earn_OC5_G-N 4.017203e-07 5.088457e-06  42.260870 1.1231884   8   31
5        earn_OC7_G-N 4.017203e-07 5.088457e-06  42.260870 1.1231884   8   31
6        earn_OC8_G-N 4.017203e-07 5.088457e-06  42.260870 1.1231884   8   31
7        expend_ED5-8 9.047514e-07 9.823015e-06  36.923077 1.2318841   8   34
8          pop_Y65-74 1.018146e-04 8.597676e-04  16.636364 1.0144928   6   28
9  emp_Y25-64_NaceO-Q 1.018146e-04 8.597676e-04  16.636364 1.0144928   6   28
10         emp_Y25-64 1.332739e-03 1.012881e-02  10.565217 1.0144928   5   28
11       earn_OC9_G-N 4.348675e-03 3.004539e-02   6.989362 1.9202899   6   53
12       earn_OC6_P-S 7.658670e-03 4.822497e-02   7.777778 0.9057971   4   25
13       earn_OC7_P-S 8.883547e-03 4.822497e-02   7.393939 0.9420290   4   26
14       earn_OC8_P-S 8.883547e-03 4.822497e-02   7.393939 0.9420290   4   26
15       earn_OC9_P-S 1.023496e-02 5.185712e-02   7.043478 0.9782609   4   27
