Sets to variables test for over-representation
76 variables tested, 34 have p < 0.05 
Selected set size: 12 
    Universe size: 276 
                 vars         pval         adjp      odds       exp obs size
1        earn_OC8_G-N 1.480431e-10 1.125127e-08 121.00000 1.4347826  11   33
2        earn_OC5_B-F 1.272502e-09 1.628176e-08  68.33333 1.2173913  10   28
3        earn_OC3_B-F 1.928103e-09 1.628176e-08  64.47368 1.2608696  10   29
4        earn_OC3_G-N 1.928103e-09 1.628176e-08  64.47368 1.2608696  10   29
5        earn_OC4_G-N 1.928103e-09 1.628176e-08  64.47368 1.2608696  10   29
6        earn_OC5_G-N 1.928103e-09 1.628176e-08  64.47368 1.2608696  10   29
7        earn_OC9_G-N 1.928103e-09 1.628176e-08  64.47368 1.2608696  10   29
8        earn_OC2_P-S 1.928103e-09 1.628176e-08  64.47368 1.2608696  10   29
9        earn_OC9_P-S 1.928103e-09 1.628176e-08  64.47368 1.2608696  10   29
10             emp_PT 5.546883e-08 2.479783e-07  38.68421 1.2173913   9   28
11       earn_OC1_G-N 5.546883e-08 2.479783e-07  38.68421 1.2173913   9   28
12       earn_OC1_P-S 5.546883e-08 2.479783e-07  38.68421 1.2173913   9   28
13       earn_OC3_P-S 5.546883e-08 2.479783e-07  38.68421 1.2173913   9   28
14       earn_OC4_P-S 5.546883e-08 2.479783e-07  38.68421 1.2173913   9   28
15       earn_OC5_P-S 5.546883e-08 2.479783e-07  38.68421 1.2173913   9   28
16       earn_OC7_P-S 5.546883e-08 2.479783e-07  38.68421 1.2173913   9   28
17       earn_OC8_P-S 5.546883e-08 2.479783e-07  38.68421 1.2173913   9   28
18       earn_OC6_G-N 7.026219e-08 2.966626e-07  42.00000 0.8695652   8   20
19       earn_OC6_P-S 1.119349e-07 4.477396e-07  38.61538 0.9130435   8   21
20       earn_OC8_B-F 2.835214e-06 1.077381e-05  22.00000 1.3043478   8   30
21       earn_OC7_B-F 2.237690e-05 7.394107e-05  17.08000 1.1739130   7   27
22       earn_OC9_B-F 2.237690e-05 7.394107e-05  17.08000 1.1739130   7   27
23       earn_OC7_G-N 2.237690e-05 7.394107e-05  17.08000 1.1739130   7   27
24       earn_OC1_B-F 2.931945e-05 8.913113e-05  16.20000 1.2173913   7   28
25       earn_OC4_B-F 2.931945e-05 8.913113e-05  16.20000 1.2173913   7   28
26           training 3.797728e-05 1.110105e-04  15.40000 1.2608696   7   29
27       earn_OC6_B-F 1.010920e-04 2.845553e-04  20.23810 0.6086957   5   14
28           rooms_pp 1.482988e-04 4.025252e-04  18.14286 0.6521739   5   15
29       earn_OC2_B-F 2.173065e-04 5.505097e-04  10.92000 1.6086957   7   37
30       earn_OC2_G-N 2.173065e-04 5.505097e-04  10.92000 1.6086957   7   37
31        disp_income 5.856715e-04 1.435840e-03  10.00000 1.3043478   6   30
32       expend_ED5-8 1.696017e-03 4.028041e-03   7.80000 1.5652174   6   36
33   emp_Y25-64_ED5-8 2.386973e-02 5.335586e-02   5.00000 1.2173913   4   28
34 emp_Y25-64_NaceM_N 2.386973e-02 5.335586e-02   5.00000 1.2173913   4   28
