Sets to variables test for over-representation
76 variables tested, 13 have p < 0.05 
Selected set size: 2 
    Universe size: 276 
               vars         pval       adjp odds        exp obs size
1              ARPR 0.0009486166 0.06775582  Inf 0.06521739   2    9
2        pop_Y15-24 0.0099604743 0.06775582  Inf 0.20289855   2   28
3  emp_Y25-64_ED0-2 0.0099604743 0.06775582  Inf 0.20289855   2   28
4      earn_OC5_B-F 0.0099604743 0.06775582  Inf 0.20289855   2   28
5      earn_OC8_P-S 0.0099604743 0.06775582  Inf 0.20289855   2   28
6      earn_OC3_B-F 0.0106982872 0.06775582  Inf 0.21014493   2   29
7      earn_OC3_G-N 0.0106982872 0.06775582  Inf 0.21014493   2   29
8      earn_OC4_G-N 0.0106982872 0.06775582  Inf 0.21014493   2   29
9      earn_OC5_G-N 0.0106982872 0.06775582  Inf 0.21014493   2   29
10     earn_OC9_G-N 0.0106982872 0.06775582  Inf 0.21014493   2   29
11     earn_OC2_P-S 0.0106982872 0.06775582  Inf 0.21014493   2   29
12     earn_OC9_P-S 0.0106982872 0.06775582  Inf 0.21014493   2   29
13     earn_OC8_G-N 0.0139130435 0.08133779  Inf 0.23913043   2   33
