Sets to variables test for under-representation
76 variables tested, 19 have p < 0.05 
Selected set size: 13 
    Universe size: 276 
               vars       pval      adjp odds      exp obs size
1      earn_OC8_G-N 0.03808620 0.1681014    0 2.826087   0   60
2      earn_OC1_B-F 0.04051327 0.1681014    0 2.778986   0   59
3      earn_OC3_B-F 0.04051327 0.1681014    0 2.778986   0   59
4      earn_OC4_B-F 0.04051327 0.1681014    0 2.778986   0   59
5      earn_OC7_B-F 0.04051327 0.1681014    0 2.778986   0   59
6      earn_OC8_B-F 0.04051327 0.1681014    0 2.778986   0   59
7      earn_OC9_B-F 0.04051327 0.1681014    0 2.778986   0   59
8      earn_OC4_G-N 0.04051327 0.1681014    0 2.778986   0   59
9      earn_OC5_G-N 0.04051327 0.1681014    0 2.778986   0   59
10     earn_OC7_G-N 0.04051327 0.1681014    0 2.778986   0   59
11     earn_OC9_G-N 0.04051327 0.1681014    0 2.778986   0   59
12     earn_OC1_P-S 0.04051327 0.1681014    0 2.778986   0   59
13     earn_OC3_P-S 0.04051327 0.1681014    0 2.778986   0   59
14     earn_OC4_P-S 0.04051327 0.1681014    0 2.778986   0   59
15     earn_OC5_P-S 0.04051327 0.1681014    0 2.778986   0   59
16     earn_OC7_P-S 0.04051327 0.1681014    0 2.778986   0   59
17     earn_OC9_P-S 0.04051327 0.1681014    0 2.778986   0   59
18       pop_Y25-64 0.04867760 0.1681014    0 2.637681   0   56
19 emp_Y25-64_ED0-2 0.04867760 0.1681014    0 2.637681   0   56
