Sets to variables test for over-representation
76 variables tested, 26 have p < 0.05 
Selected set size: 5 
    Universe size: 276 
               vars         pval         adjp     odds       exp obs size
1      earn_OC6_B-F 9.228036e-06 0.0007013307      Inf 0.5253623   5   29
2      earn_OC6_G-N 7.480012e-05 0.0012854863      Inf 0.7789855   5   43
3      earn_OC5_B-F 2.019561e-04 0.0012854863      Inf 0.9420290   5   52
4      earn_OC2_B-F 2.229932e-04 0.0012854863      Inf 0.9601449   5   53
5      earn_OC2_G-N 2.229932e-04 0.0012854863      Inf 0.9601449   5   53
6  emp_Y25-64_ED3-4 2.968245e-04 0.0012854863      Inf 1.0144928   5   56
7      expend_ED5-8 3.560602e-04 0.0012854863      Inf 1.0507246   5   58
8      earn_OC1_B-F 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
9      earn_OC3_B-F 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
10     earn_OC4_B-F 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
11     earn_OC7_B-F 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
12     earn_OC8_B-F 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
13     earn_OC9_B-F 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
14     earn_OC4_G-N 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
15     earn_OC5_G-N 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
16     earn_OC7_G-N 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
17     earn_OC9_G-N 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
18     earn_OC1_P-S 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
19     earn_OC3_P-S 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
20     earn_OC4_P-S 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
21     earn_OC5_P-S 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
22     earn_OC7_P-S 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
23     earn_OC9_P-S 3.890287e-04 0.0012854863      Inf 1.0688406   5   59
24     earn_OC8_G-N 4.243950e-04 0.0013439175      Inf 1.0869565   5   60
25            GVAgr 3.991479e-03 0.0121340952 19.89474 0.3985507   3   22
26        pop_Total 6.575805e-03 0.0192215843 16.84615 1.0144928   4   56
