Sets to variables test for over-representation
76 variables tested, 33 have p < 0.05 
Selected set size: 2 
    Universe size: 276 
               vars        pval      adjp odds       exp obs size
1              ARPR 0.003583663 0.1021344  Inf 0.1231884   2   17
2          low_work 0.004031621 0.1021344  Inf 0.1304348   2   18
3      ARPR_socexcl 0.004031621 0.1021344  Inf 0.1304348   2   18
4      earn_OC6_P-S 0.026086957 0.1070784  Inf 0.3260870   2   45
5  emp_Y25-64_NaceA 0.032279315 0.1070784  Inf 0.3623188   2   50
6      unemp_Y15-24 0.034940711 0.1070784  Inf 0.3768116   2   52
7      earn_OC5_B-F 0.034940711 0.1070784  Inf 0.3768116   2   52
8      earn_OC8_P-S 0.034940711 0.1070784  Inf 0.3768116   2   52
9      earn_OC2_B-F 0.036310935 0.1070784  Inf 0.3840580   2   53
10     earn_OC1_G-N 0.036310935 0.1070784  Inf 0.3840580   2   53
11     earn_OC2_G-N 0.036310935 0.1070784  Inf 0.3840580   2   53
12     earn_OC3_G-N 0.036310935 0.1070784  Inf 0.3840580   2   53
13     earn_OC2_P-S 0.037707510 0.1070784  Inf 0.3913043   2   54
14       pop_Y15-24 0.040579710 0.1070784  Inf 0.4057971   2   56
15        pop_YGE75 0.040579710 0.1070784  Inf 0.4057971   2   56
16 emp_Y25-64_ED0-2 0.040579710 0.1070784  Inf 0.4057971   2   56
17     earn_OC1_B-F 0.045085639 0.1070784  Inf 0.4275362   2   59
18     earn_OC3_B-F 0.045085639 0.1070784  Inf 0.4275362   2   59
19     earn_OC4_B-F 0.045085639 0.1070784  Inf 0.4275362   2   59
20     earn_OC7_B-F 0.045085639 0.1070784  Inf 0.4275362   2   59
21     earn_OC8_B-F 0.045085639 0.1070784  Inf 0.4275362   2   59
22     earn_OC9_B-F 0.045085639 0.1070784  Inf 0.4275362   2   59
23     earn_OC4_G-N 0.045085639 0.1070784  Inf 0.4275362   2   59
24     earn_OC5_G-N 0.045085639 0.1070784  Inf 0.4275362   2   59
25     earn_OC7_G-N 0.045085639 0.1070784  Inf 0.4275362   2   59
26     earn_OC9_G-N 0.045085639 0.1070784  Inf 0.4275362   2   59
27     earn_OC1_P-S 0.045085639 0.1070784  Inf 0.4275362   2   59
28     earn_OC3_P-S 0.045085639 0.1070784  Inf 0.4275362   2   59
29     earn_OC4_P-S 0.045085639 0.1070784  Inf 0.4275362   2   59
30     earn_OC5_P-S 0.045085639 0.1070784  Inf 0.4275362   2   59
31     earn_OC7_P-S 0.045085639 0.1070784  Inf 0.4275362   2   59
32     earn_OC9_P-S 0.045085639 0.1070784  Inf 0.4275362   2   59
33     earn_OC8_G-N 0.046640316 0.1074141  Inf 0.4347826   2   60
