"vars","pval","adjp","odds","exp","obs","size"
"emp_Y25-64_ED0-2",1.26614609063481e-09,1.92454205776492e-08,Inf,3.5,14,69
"emp_Y25-64_NaceM_N",1.26614609063481e-09,1.92454205776492e-08,Inf,3.5,14,69
"emp_Y25-64_NaceR-U",1.26614609063481e-09,1.92454205776492e-08,Inf,3.5,14,69
"GDP",1.26614609063481e-09,1.92454205776492e-08,Inf,3.5,14,69
"training",1.26614609063481e-09,1.92454205776492e-08,Inf,3.5,14,69
"disp_income",1.58268261329352e-09,2.00473131017179e-08,Inf,3.55072463768116,14,70
"earn_OC6_G-N",3.36516143269289e-08,3.65360384120942e-07,34.3076923076923,2.58695652173913,12,51
"emp_PT",6.67892062809862e-08,6.34497459669369e-07,47.8214285714286,3.5,13,69
"earn_OC6_P-S",6.24769655678475e-07,5.27583264795157e-06,24.2307692307692,3.2463768115942,12,64
"pop_Y65-74",1.60600635706836e-06,1.22056483137196e-05,21.5789473684211,3.5,12,69
"earn_OC2_P-S",1.92138818206728e-06,1.32750456215558e-05,21.1034482758621,3.55072463768116,12,70
"earn_OC5_B-F",9.94706483430041e-06,3.78001363284291e-05,17.1176470588235,4.05797101449275,12,80
"earn_OC3_P-S",9.94706483430041e-06,3.78001363284291e-05,17.1176470588235,4.05797101449275,12,80
"earn_OC8_P-S",9.94706483430041e-06,3.78001363284291e-05,17.1176470588235,4.05797101449275,12,80
"earn_OC1_P-S",1.15701347961874e-05,3.78001363284291e-05,16.7826086956522,4.10869565217391,12,81
"earn_OC4_P-S",1.15701347961874e-05,3.78001363284291e-05,16.7826086956522,4.10869565217391,12,81
"earn_OC5_P-S",1.15701347961874e-05,3.78001363284291e-05,16.7826086956522,4.10869565217391,12,81
"earn_OC9_P-S",1.15701347961874e-05,3.78001363284291e-05,16.7826086956522,4.10869565217391,12,81
"earn_OC2_B-F",1.34289958008893e-05,3.78001363284291e-05,16.4571428571429,4.15942028985507,12,82
"earn_OC3_B-F",1.34289958008893e-05,3.78001363284291e-05,16.4571428571429,4.15942028985507,12,82
"earn_OC4_B-F",1.34289958008893e-05,3.78001363284291e-05,16.4571428571429,4.15942028985507,12,82
"earn_OC7_B-F",1.34289958008893e-05,3.78001363284291e-05,16.4571428571429,4.15942028985507,12,82
"earn_OC9_B-F",1.34289958008893e-05,3.78001363284291e-05,16.4571428571429,4.15942028985507,12,82
"earn_OC2_G-N",1.34289958008893e-05,3.78001363284291e-05,16.4571428571429,4.15942028985507,12,82
"earn_OC3_G-N",1.34289958008893e-05,3.78001363284291e-05,16.4571428571429,4.15942028985507,12,82
"earn_OC4_G-N",1.34289958008893e-05,3.78001363284291e-05,16.4571428571429,4.15942028985507,12,82
"earn_OC7_P-S",1.34289958008893e-05,3.78001363284291e-05,16.4571428571429,4.15942028985507,12,82
"earn_OC7_G-N",1.55537168447419e-05,4.2217231435728e-05,16.1408450704225,4.21014492753623,12,83
"earn_OC8_G-N",1.79776663775712e-05,4.71138842998417e-05,15.8333333333333,4.26086956521739,12,84
"emp_Y25-64",2.33673522819935e-05,5.91972924477168e-05,12.8965517241379,3.5,11,69
"earn_OC1_G-N",6.08256989958039e-05,0.000149121068505842,13.4074074074074,4.71739130434783,12,93
"emp_Y15-24_NaceG-I",0.000150353714400713,0.000357090071701694,9.19642857142857,3.34782608695652,10,66
"earn_OC5_G-N",0.000180341626201995,0.000415332230040959,11.4666666666667,5.17391304347826,12,102
"earn_OC1_B-F",0.000202048772847033,0.000426547409343736,11.2747252747253,5.22463768115942,12,103
"earn_OC8_B-F",0.000202048772847033,0.000426547409343736,11.2747252747253,5.22463768115942,12,103
"earn_OC9_G-N",0.000202048772847033,0.000426547409343736,11.2747252747253,5.22463768115942,12,103
"emp_Y25-64_NaceK",0.000879184740472786,0.00180589298043059,6.77454545454545,3.2463768115942,9,64
"pop_YGE75",0.00163042430701912,0.00317723711111419,6.06,3.5,9,69
"emp_Y15-24",0.00163042430701912,0.00317723711111419,6.06,3.5,9,69
