Sets to variables test for over-representation
76 variables tested, 32 have p < 0.05 
Selected set size: 5 
    Universe size: 276 
               vars         pval        adjp     odds       exp obs size
1             GVAgr 3.900416e-05 0.002212858      Inf 0.6884058   5   38
2      earn_OC6_B-F 5.823310e-05 0.002212858      Inf 0.7427536   5   41
3      earn_OC6_G-N 6.418470e-04 0.016260124      Inf 1.1775362   5   65
4      expend_ED5-8 1.535311e-03 0.025849591      Inf 1.3949275   5   77
5      earn_OC8_P-S 3.225414e-03 0.025849591      Inf 1.6123188   5   89
6       disp_income 3.613699e-03 0.025849591      Inf 1.6485507   5   91
7      earn_OC7_P-S 3.613699e-03 0.025849591      Inf 1.6485507   5   91
8  emp_Y25-64_ED3-4 3.821383e-03 0.025849591      Inf 1.6666667   5   92
9  emp_Y25-64_ED5-8 3.821383e-03 0.025849591      Inf 1.6666667   5   92
10              GDP 3.821383e-03 0.025849591      Inf 1.6666667   5   92
11     earn_OC2_P-S 5.007875e-03 0.025849591      Inf 1.7572464   5   97
12     earn_OC2_B-F 6.155034e-03 0.025849591      Inf 1.8297101   5  101
13     earn_OC5_G-N 6.472304e-03 0.025849591      Inf 1.8478261   5  102
14     earn_OC1_B-F 6.802524e-03 0.025849591      Inf 1.8659420   5  103
15     earn_OC3_B-F 6.802524e-03 0.025849591      Inf 1.8659420   5  103
16     earn_OC7_B-F 6.802524e-03 0.025849591      Inf 1.8659420   5  103
17     earn_OC8_B-F 6.802524e-03 0.025849591      Inf 1.8659420   5  103
18     earn_OC2_G-N 6.802524e-03 0.025849591      Inf 1.8659420   5  103
19     earn_OC7_G-N 6.802524e-03 0.025849591      Inf 1.8659420   5  103
20     earn_OC9_G-N 6.802524e-03 0.025849591      Inf 1.8659420   5  103
21     earn_OC5_B-F 1.419210e-02 0.040805985      Inf 2.1557971   5  119
22     earn_OC3_P-S 1.480915e-02 0.040805985      Inf 2.1739130   5  120
23     earn_OC1_P-S 1.544748e-02 0.040805985      Inf 2.1920290   5  121
24     earn_OC4_P-S 1.544748e-02 0.040805985      Inf 2.1920290   5  121
25     earn_OC5_P-S 1.544748e-02 0.040805985      Inf 2.1920290   5  121
26     earn_OC4_B-F 1.610763e-02 0.040805985      Inf 2.2101449   5  122
27     earn_OC9_B-F 1.610763e-02 0.040805985      Inf 2.2101449   5  122
28     earn_OC3_G-N 1.610763e-02 0.040805985      Inf 2.2101449   5  122
29     earn_OC4_G-N 1.610763e-02 0.040805985      Inf 2.2101449   5  122
30     earn_OC9_P-S 1.610763e-02 0.040805985      Inf 2.2101449   5  122
31     earn_OC8_G-N 1.749562e-02 0.042892489      Inf 2.2463768   5  124
32        pop_Total 4.377220e-02 0.103958976 8.318182 1.6666667   4   92
