Sets to variables test for under-representation
76 variables tested, 38 have p < 0.05 
Selected set size: 11 
    Universe size: 276 
                 vars       pval       adjp odds      exp obs size
1        earn_OC8_G-N 0.01687476 0.08553653    0 3.347826   0   84
2        earn_OC7_G-N 0.01789466 0.08553653    0 3.307971   0   83
3        earn_OC2_B-F 0.01897029 0.08553653    0 3.268116   0   82
4        earn_OC3_B-F 0.01897029 0.08553653    0 3.268116   0   82
5        earn_OC4_B-F 0.01897029 0.08553653    0 3.268116   0   82
6        earn_OC7_B-F 0.01897029 0.08553653    0 3.268116   0   82
7        earn_OC9_B-F 0.01897029 0.08553653    0 3.268116   0   82
8        earn_OC2_G-N 0.01897029 0.08553653    0 3.268116   0   82
9        earn_OC3_G-N 0.01897029 0.08553653    0 3.268116   0   82
10       earn_OC4_G-N 0.01897029 0.08553653    0 3.268116   0   82
11       earn_OC7_P-S 0.01897029 0.08553653    0 3.268116   0   82
12       earn_OC1_P-S 0.02010439 0.08553653    0 3.228261   0   81
13       earn_OC4_P-S 0.02010439 0.08553653    0 3.228261   0   81
14       earn_OC5_P-S 0.02010439 0.08553653    0 3.228261   0   81
15       earn_OC9_P-S 0.02010439 0.08553653    0 3.228261   0   81
16       earn_OC5_B-F 0.02129978 0.08553653    0 3.188406   0   80
17       earn_OC3_P-S 0.02129978 0.08553653    0 3.188406   0   80
18       earn_OC8_P-S 0.02129978 0.08553653    0 3.188406   0   80
19        disp_income 0.03734465 0.08553653    0 2.789855   0   70
20       earn_OC2_P-S 0.03734465 0.08553653    0 2.789855   0   70
21          pop_Y0-14 0.03944052 0.08553653    0 2.750000   0   69
22         pop_Y15-24 0.03944052 0.08553653    0 2.750000   0   69
23         pop_Y65-74 0.03944052 0.08553653    0 2.750000   0   69
24          pop_YGE75 0.03944052 0.08553653    0 2.750000   0   69
25   emp_Y25-64_ED0-2 0.03944052 0.08553653    0 2.750000   0   69
26   emp_Y25-64_ED3-4 0.03944052 0.08553653    0 2.750000   0   69
27   emp_Y25-64_ED5-8 0.03944052 0.08553653    0 2.750000   0   69
28             emp_PT 0.03944052 0.08553653    0 2.750000   0   69
29         emp_Y15-24 0.03944052 0.08553653    0 2.750000   0   69
30         emp_Y25-64 0.03944052 0.08553653    0 2.750000   0   69
31 emp_Y25-64_NaceM_N 0.03944052 0.08553653    0 2.750000   0   69
32 emp_Y25-64_NaceO-Q 0.03944052 0.08553653    0 2.750000   0   69
33 emp_Y25-64_NaceR-U 0.03944052 0.08553653    0 2.750000   0   69
34                GDP 0.03944052 0.08553653    0 2.750000   0   69
35           training 0.03944052 0.08553653    0 2.750000   0   69
36   emp_Y15-24_ED3-4 0.04164278 0.08553653    0 2.710145   0   68
37   emp_Y25-64_NaceF 0.04164278 0.08553653    0 2.710145   0   68
38 emp_Y15-24_NaceG-I 0.04638601 0.09277203    0 2.630435   0   66
